x,y,group
116478.87999999896,496704.75,rolling stock
174766.0,448804.0,infrastructure
182885.0,446421.1700000018,infrastructure
190217.2809999995,444188.3579999991,rolling stock
186945.3200000003,440801.87999999896,rolling stock
187196.00400000066,436476.1559999995,rolling stock
187084.21799999848,428451.9919999987,rolling stock
183156.69700000063,426245.11499999836,rolling stock
187541.10799999908,430611.2129999995,rolling stock
178719.5780000016,424834.47100000083,rolling stock
184984.52100000158,426605.91600000113,rolling stock
209579.60399999842,375390.243999999,logistical
99766.30799999833,440930.98000000045,infrastructure
108263.39999999851,447890.19999999925,infrastructure
110563.73200000077,447619.76900000125,infrastructure
102049.77899999917,442145.29300000146,infrastructure
97680.75499999896,440700.9059999995,infrastructure
91862.17399999872,437774.2890000008,infrastructure
92850.46299999952,439724.63500000164,infrastructure
136044.60599999875,455672.31599999964,infrastructure
131387.59600000083,456949.1979999989,infrastructure
129010.16800000146,457257.5689999983,infrastructure
121129.1559999995,455298.1240000017,infrastructure
132946.47800000012,456794.83999999985,infrastructure
179581.6719999984,323080.6979999989,accidents
183019.0,328677.0,accidents
185718.0,331853.0,accidents
177424.90100000054,317875.55000000075,accidents
188107.28400000185,334803.7129999995,accidents
199187.2749999985,447045.78500000015,rolling stock
195738.52800000086,445318.3759999983,rolling stock
251049.9290000014,475794.1479999982,rolling stock
252757.4299999997,476616.48600000143,rolling stock
260468.06599999964,480930.23600000143,rolling stock
101846.0,486046.0,infrastructure
98960.91200000048,479727.8590000011,infrastructure
104030.89799999818,489175.83399999887,infrastructure
112887.829,400891.08300000057,rolling stock
91862.17399999872,437774.2890000008,rolling stock
191231.16699999943,508156.1079999991,rolling stock
202723.989,502201.27899999917,rolling stock
200070.2199999988,504657.1550000012,rolling stock
241403.60200000182,486200.6220000014,rolling stock
207852.39699999988,474619.59099999815,rolling stock
211462.296,473906.5029999986,rolling stock
225502.59200000018,477830.7010000013,rolling stock
232222.24399999902,481037.0320000015,rolling stock
237049.61199999973,486636.2109999992,rolling stock
141262.83100000024,522594.88899999857,rolling stock
132487.6950000003,517579.1099999994,rolling stock
134545.61199999973,518472.3759999983,rolling stock
204486.76399999857,483245.83199999854,accidents
206289.83399999887,489450.2129999995,accidents
202723.989,502201.27899999917,accidents
111025.98000000045,455004.71400000155,accidents
121129.1559999995,455298.1240000017,accidents
112887.829,400891.08300000057,rolling stock
123057.0,399520.0,rolling stock
133967.19999999925,396901.37999999896,rolling stock
127816.56100000069,398350.50400000066,rolling stock
131771.06599999964,397381.2129999995,rolling stock
147018.0639999993,432726.8960000016,rolling stock
157389.9690000005,433404.0150000006,rolling stock
155265.49799999967,431640.8029999994,rolling stock
121860.19999999925,488006.5,rolling stock
117637.09600000083,489170.6719999984,rolling stock
104030.89799999818,489175.83399999887,rolling stock
106378.9849999994,488584.14499999955,rolling stock
111523.0,488833.0,rolling stock
121860.19999999925,488006.5,accidents
117315.25899999961,485704.4310000017,accidents
117637.09600000083,489170.6719999984,accidents
104030.89799999818,489175.83399999887,accidents
106378.9849999994,488584.14499999955,accidents
112377.12999999896,480358.21599999815,accidents
111523.0,488833.0,accidents
121860.19999999925,488006.5,accidents
117315.25899999961,485704.4310000017,accidents
117637.09600000083,489170.6719999984,accidents
91862.17399999872,437774.2890000008,accidents
112377.12999999896,480358.21599999815,accidents
121860.19999999925,488006.5,accidents
117637.09600000083,489170.6719999984,accidents
143490.1559999995,487482.6409999989,accidents
147575.0159999989,489608.7120000012,accidents
149123.9609999992,490618.7719999999,accidents
145310.26799999923,487663.3350000009,accidents
111185.65500000119,516904.6090000011,accidents
112846.0940000005,517566.61100000143,accidents
116835.2659999989,520429.63500000164,accidents
79227.09299999848,390031.7320000008,rolling stock
90576.44299999997,395008.93299999833,rolling stock
136044.60599999875,455672.31599999964,rolling stock
131387.59600000083,456949.1979999989,rolling stock
129010.16800000146,457257.5689999983,rolling stock
121129.1559999995,455298.1240000017,rolling stock
132946.47800000012,456794.83999999985,rolling stock
139936.33700000122,449620.5159999989,rolling stock
136044.60599999875,455672.31599999964,rolling stock
138202.97399999946,453276.98999999836,rolling stock
136872.12999999896,454504.6090000011,rolling stock
126966.6099999994,476868.51199999824,infrastructure
122988.94999999925,484411.118999999,infrastructure
124990.14999999851,480577.1499999985,infrastructure
121860.19999999925,488006.5,infrastructure
123884.03599999845,485920.8839999996,infrastructure
125859.85000000149,478992.8990000002,infrastructure
127871.08100000024,464858.32400000095,infrastructure
124288.24599999934,481810.7650000006,infrastructure
130807.43800000101,460866.3999999985,infrastructure
136044.60599999875,455672.31599999964,infrastructure
134605.20699999854,457252.3960000016,infrastructure
99766.30799999833,440930.98000000045,rolling stock
108263.39999999851,447890.19999999925,rolling stock
110563.73200000077,447619.76900000125,rolling stock
102049.77899999917,442145.29300000146,rolling stock
97680.75499999896,440700.9059999995,rolling stock
91862.17399999872,437774.2890000008,rolling stock
92850.46299999952,439724.63500000164,rolling stock
136044.60599999875,455672.31599999964,rolling stock
131387.59600000083,456949.1979999989,rolling stock
129010.16800000146,457257.5689999983,rolling stock
121129.1559999995,455298.1240000017,rolling stock
132946.47800000012,456794.83999999985,rolling stock
92589.60599999875,451421.70899999887,accidents
93732.1400000006,451263.01999999955,accidents
235028.9609999992,580495.9829999991,accidents
233603.33999999985,581086.0949999988,accidents
237254.99399999902,577322.7019999996,accidents
84277.99700000137,446959.6020000018,engineering work
84776.37200000137,445217.45800000057,engineering work
82008.80000000075,454021.1000000015,engineering work
81018.79100000113,452205.9459999986,engineering work
81729.10700000077,450693.54399999976,engineering work
91862.17399999872,437774.2890000008,engineering work
87727.3359999992,437508.2280000001,engineering work
153854.01000000164,462814.186999999,infrastructure
156141.69999999925,465181.36100000143,infrastructure
158131.5540000014,467108.2479999997,infrastructure
170498.76000000164,479263.8350000009,infrastructure
170811.98099999875,483304.6499999985,infrastructure
189393.15199999884,491358.6959999986,infrastructure
162305.11800000072,470490.8830000013,infrastructure
182124.08999999985,487092.4120000005,infrastructure
167849.26999999955,475261.24500000104,infrastructure
196785.95699999854,496388.6550000012,infrastructure
202723.989,502201.27899999917,infrastructure
153854.01000000164,462814.186999999,infrastructure
142442.05600000173,460210.0029999986,infrastructure
145123.71799999848,461372.704,infrastructure
136044.60599999875,455672.31599999964,infrastructure
137016.6000000015,457997.6000000015,infrastructure
111185.65500000119,516904.6090000011,external
103312.45800000057,490992.16899999976,external
105372.69200000167,499237.7280000001,external
105578.62900000066,506720.8189999983,external
104083.60500000045,495234.50499999896,external
107406.31300000101,501023.8110000007,external
104030.89799999818,489175.83399999887,external
108485.03700000048,512657.9070000015,external
103687.89200000092,494328.381000001,external
103580.50800000131,492770.9059999995,external
108489.62000000104,504028.24500000104,external
108263.39999999851,447890.19999999925,infrastructure
110563.73200000077,447619.76900000125,infrastructure
82104.65399999917,455332.3759999983,infrastructure
84561.32800000161,453628.58100000024,infrastructure
86688.47300000116,452401.2490000017,infrastructure
92589.60599999875,451421.70899999887,infrastructure
93732.1400000006,451263.01999999955,infrastructure
95409.9290000014,450656.58300000057,infrastructure
97542.9140000008,429869.5879999995,rolling stock
105421.83999999985,424528.1099999994,rolling stock
96070.45600000024,432731.11100000143,rolling stock
93171.1099999994,437276.80099999905,rolling stock
91862.17399999872,437774.2890000008,rolling stock
95168.23900000006,434454.9140000008,rolling stock
94678.6640000008,435422.19099999964,rolling stock
103549.454,425454.69999999925,rolling stock
101846.0,486046.0,rolling stock
98960.91200000048,479727.8590000011,rolling stock
104030.89799999818,489175.83399999887,rolling stock
93054.8909999989,464606.0159999989,rolling stock
93309.9609999992,471106.8280000016,rolling stock
91303.07400000095,462544.5379999988,rolling stock
82104.65399999917,455332.3759999983,rolling stock
85258.5,456321.69999999925,rolling stock
93054.8909999989,464606.0159999989,rolling stock
89635.96499999985,460122.2470000014,rolling stock
132487.6950000003,517579.1099999994,rolling stock
134545.61199999973,518472.3759999983,rolling stock
112377.12999999896,480358.21599999815,rolling stock
84277.99700000137,446959.6020000018,infrastructure
84776.37200000137,445217.45800000057,infrastructure
82008.80000000075,454021.1000000015,infrastructure
81018.79100000113,452205.9459999986,infrastructure
81729.10700000077,450693.54399999976,infrastructure
91862.17399999872,437774.2890000008,infrastructure
87727.3359999992,437508.2280000001,infrastructure
142442.05600000173,460210.0029999986,rolling stock
145123.71799999848,461372.704,rolling stock
93054.8909999989,464606.0159999989,external
126966.6099999994,476868.51199999824,logistical
124990.14999999851,480577.1499999985,logistical
119947.16200000048,483562.193,logistical
125859.85000000149,478992.8990000002,logistical
127871.08100000024,464858.32400000095,logistical
124288.24599999934,481810.7650000006,logistical
130807.43800000101,460866.3999999985,logistical
121120.6099999994,483353.0920000002,logistical
112377.12999999896,480358.21599999815,logistical
136044.60599999875,455672.31599999964,logistical
134605.20699999854,457252.3960000016,logistical
91862.17399999872,437774.2890000008,logistical
112377.12999999896,480358.21599999815,logistical
112887.829,400891.08300000057,external
91862.17399999872,437774.2890000008,external
126067.7190000005,427324.81599999964,rolling stock
153854.01000000164,462814.186999999,infrastructure
142442.05600000173,460210.0029999986,infrastructure
145123.71799999848,461372.704,infrastructure
108263.39999999851,447890.19999999925,infrastructure
110563.73200000077,447619.76900000125,infrastructure
82104.65399999917,455332.3759999983,infrastructure
136044.60599999875,455672.31599999964,infrastructure
137016.6000000015,457997.6000000015,infrastructure
131387.59600000083,456949.1979999989,infrastructure
84561.32800000161,453628.58100000024,infrastructure
129010.16800000146,457257.5689999983,infrastructure
121129.1559999995,455298.1240000017,infrastructure
86688.47300000116,452401.2490000017,infrastructure
92589.60599999875,451421.70899999887,infrastructure
93732.1400000006,451263.01999999955,infrastructure
132946.47800000012,456794.83999999985,infrastructure
95409.9290000014,450656.58300000057,infrastructure
95838.27400000021,400231.98600000143,accidents
104936.80000000075,411602.30000000075,accidents
101198.06399999931,406104.56500000134,accidents
105050.30000000075,459798.1000000015,rolling stock
111025.98000000045,455004.71400000155,rolling stock
99766.30799999833,440930.98000000045,infrastructure
108263.39999999851,447890.19999999925,infrastructure
110563.73200000077,447619.76900000125,infrastructure
102049.77899999917,442145.29300000146,infrastructure
97680.75499999896,440700.9059999995,infrastructure
91862.17399999872,437774.2890000008,infrastructure
92850.46299999952,439724.63500000164,infrastructure
136044.60599999875,455672.31599999964,infrastructure
131387.59600000083,456949.1979999989,infrastructure
129010.16800000146,457257.5689999983,infrastructure
121129.1559999995,455298.1240000017,infrastructure
132946.47800000012,456794.83999999985,infrastructure
112887.829,400891.08300000057,rolling stock
91862.17399999872,437774.2890000008,rolling stock
121860.19999999925,488006.5,infrastructure
117315.25899999961,485704.4310000017,infrastructure
117637.09600000083,489170.6719999984,infrastructure
91862.17399999872,437774.2890000008,infrastructure
112377.12999999896,480358.21599999815,infrastructure
121860.19999999925,488006.5,rolling stock
117315.25899999961,485704.4310000017,rolling stock
117637.09600000083,489170.6719999984,rolling stock
91862.17399999872,437774.2890000008,rolling stock
112377.12999999896,480358.21599999815,rolling stock
108136.01199999824,478591.05799999833,rolling stock
93054.8909999989,464606.0159999989,rolling stock
104370.18499999866,474816.08199999854,rolling stock
95572.61199999973,470050.5009999983,rolling stock
97542.9140000008,429869.5879999995,rolling stock
105421.83999999985,424528.1099999994,rolling stock
84277.99700000137,446959.6020000018,rolling stock
84776.37200000137,445217.45800000057,rolling stock
82008.80000000075,454021.1000000015,rolling stock
82104.65399999917,455332.3759999983,rolling stock
81018.79100000113,452205.9459999986,rolling stock
96070.45600000024,432731.11100000143,rolling stock
81729.10700000077,450693.54399999976,rolling stock
93171.1099999994,437276.80099999905,rolling stock
91862.17399999872,437774.2890000008,rolling stock
95168.23900000006,434454.9140000008,rolling stock
94678.6640000008,435422.19099999964,rolling stock
87727.3359999992,437508.2280000001,rolling stock
103549.454,425454.69999999925,rolling stock
149123.9609999992,490618.7719999999,rolling stock
160805.875,502368.82499999925,rolling stock
117637.09600000083,489170.6719999984,accidents
104030.89799999818,489175.83399999887,accidents
106378.9849999994,488584.14499999955,accidents
111523.0,488833.0,accidents
105624.9140000008,422628.51399999857,rolling stock
104936.80000000075,411602.30000000075,rolling stock
153854.01000000164,462814.186999999,rolling stock
194859.1339999996,469180.4129999988,rolling stock
236957.29800000042,437647.6030000001,infrastructure
246247.30000000075,443001.1490000002,infrastructure
196364.94799999893,322507.0859999992,rolling stock
194878.34299999848,323104.3740000017,rolling stock
190430.0,319742.0,rolling stock
180507.34299999848,321485.4470000006,rolling stock
177424.90100000054,317875.55000000075,rolling stock
189125.296,318606.3040000014,rolling stock
193191.3350000009,322056.19999999925,rolling stock
186325.943,320080.43400000036,rolling stock
178248.84200000018,320120.3770000003,rolling stock
189393.15199999884,491358.6959999986,rolling stock
196785.95699999854,496388.6550000012,rolling stock
202723.989,502201.27899999917,rolling stock
203295.3900000006,366203.34600000083,accidents
207618.0,372446.5,accidents
209579.60399999842,375390.243999999,accidents
189393.15199999884,491358.6959999986,rolling stock
196785.95699999854,496388.6550000012,rolling stock
202723.989,502201.27899999917,rolling stock
236957.29800000042,437647.6030000001,infrastructure
246247.30000000075,443001.1490000002,infrastructure
95838.27400000021,400231.98600000143,infrastructure
101198.06399999931,406104.56500000134,infrastructure
251049.9290000014,475794.1479999982,rolling stock
252757.4299999997,476616.48600000143,rolling stock
260468.06599999964,480930.23600000143,rolling stock
112377.12999999896,480358.21599999815,rolling stock
207076.20699999854,456157.8530000001,accidents
204127.17300000042,450987.61499999836,accidents
210240.0700000003,462160.375,accidents
239135.39699999988,510166.2890000008,rolling stock
235641.0540000014,503062.5949999988,rolling stock
84277.99700000137,446959.6020000018,external
81729.10700000077,450693.54399999976,external
251049.9290000014,475794.1479999982,rolling stock
252757.4299999997,476616.48600000143,rolling stock
260468.06599999964,480930.23600000143,rolling stock
207618.0,372446.5,infrastructure
209579.60399999842,375390.243999999,infrastructure
97542.9140000008,429869.5879999995,rolling stock
105421.83999999985,424528.1099999994,rolling stock
105624.9140000008,422628.51399999857,rolling stock
96070.45600000024,432731.11100000143,rolling stock
104936.80000000075,411602.30000000075,rolling stock
103549.454,425454.69999999925,rolling stock
117315.25899999961,485704.4310000017,rolling stock
112377.12999999896,480358.21599999815,rolling stock
122988.94999999925,484411.118999999,infrastructure
121860.19999999925,488006.5,infrastructure
123884.03599999845,485920.8839999996,infrastructure
121860.19999999925,488006.5,infrastructure
117637.09600000083,489170.6719999984,infrastructure
112057.0,500999.0,infrastructure
108489.62000000104,504028.24500000104,infrastructure
114599.41099999845,500343.51199999824,infrastructure
116006.55200000107,494683.29,infrastructure
115472.94799999893,496929.3900000006,infrastructure
115448.84699999914,498108.88800000027,infrastructure
235856.71700000018,495407.2710000016,rolling stock
235368.96700000018,497262.8370000012,rolling stock
237559.6330000013,491174.76000000164,rolling stock
126966.6099999994,476868.51199999824,engineering work
122988.94999999925,484411.118999999,engineering work
124990.14999999851,480577.1499999985,engineering work
121860.19999999925,488006.5,engineering work
123884.03599999845,485920.8839999996,engineering work
125859.85000000149,478992.8990000002,engineering work
127871.08100000024,464858.32400000095,engineering work
124288.24599999934,481810.7650000006,engineering work
130807.43800000101,460866.3999999985,engineering work
136044.60599999875,455672.31599999964,engineering work
134605.20699999854,457252.3960000016,engineering work
208461.31599999964,376202.9239999987,engineering work
182927.61899999902,385282.5469999984,engineering work
200483.0,382191.0,engineering work
198135.23800000176,439624.9620000012,rolling stock
202110.47300000116,437405.1550000012,rolling stock
202155.71400000155,323136.58900000155,rolling stock
199478.6559999995,323158.59600000083,rolling stock
187036.4849999994,330929.0229999982,rolling stock
193241.88199999928,324097.7289999984,rolling stock
196364.94799999893,322507.0859999992,rolling stock
190573.4200000018,325676.23999999836,rolling stock
187550.4549999982,328276.6469999999,rolling stock
189349.24799999967,327792.04,rolling stock
188107.28400000185,334803.7129999995,rolling stock
196364.94799999893,322507.0859999992,rolling stock
194878.34299999848,323104.3740000017,rolling stock
190430.0,319742.0,rolling stock
189125.296,318606.3040000014,rolling stock
193191.3350000009,322056.19999999925,rolling stock
186325.943,320080.43400000036,rolling stock
207852.39699999988,474619.59099999815,rolling stock
203680.19999999925,472461.19999999925,rolling stock
193241.30200000107,444554.3599999994,rolling stock
195738.52800000086,445318.3759999983,rolling stock
168891.9360000007,461356.243999999,rolling stock
169430.69999999925,463700.3999999985,rolling stock
208461.31599999964,376202.9239999987,weather
182927.61899999902,385282.5469999984,weather
161551.2049999982,383796.2250000015,weather
174075.4549999982,387409.0859999992,weather
176965.27899999917,386850.125,weather
170404.6000000015,385956.30000000075,weather
171990.36800000072,386591.2259999998,weather
200483.0,382191.0,weather
209579.60399999842,375390.243999999,weather
194859.1339999996,469180.4129999988,rolling stock
197261.76700000092,469899.90900000185,rolling stock
207852.39699999988,474619.59099999815,rolling stock
203680.19999999925,472461.19999999925,rolling stock
196364.94799999893,322507.0859999992,rolling stock
194878.34299999848,323104.3740000017,rolling stock
190430.0,319742.0,rolling stock
189125.296,318606.3040000014,rolling stock
193191.3350000009,322056.19999999925,rolling stock
186325.943,320080.43400000036,rolling stock
82008.80000000075,454021.1000000015,rolling stock
82104.65399999917,455332.3759999983,rolling stock
85258.5,456321.69999999925,rolling stock
234495.0,556742.1000000015,rolling stock
235028.9609999992,580495.9829999991,rolling stock
233603.33999999985,581086.0949999988,rolling stock
237254.99399999902,577322.7019999996,rolling stock
161551.2049999982,383796.2250000015,external
166378.2190000005,381209.5300000012,external
167693.58300000057,377346.70699999854,external
171917.26799999923,368440.7729999982,external
177102.46499999985,362199.8379999995,external
197465.05099999905,356141.34899999946,logistical
203295.3900000006,366203.34600000083,logistical
200056.51999999955,360927.46400000155,logistical
207618.0,372446.5,logistical
209579.60399999842,375390.243999999,logistical
155079.76700000092,391282.59099999815,external
150294.35599999875,399482.12999999896,external
161551.2049999982,383796.2250000015,external
159820.06899999827,384627.368999999,external
207852.39699999988,474619.59099999815,rolling stock
211462.296,473906.5029999986,rolling stock
225502.59200000018,477830.7010000013,rolling stock
232222.24399999902,481037.0320000015,rolling stock
143957.57400000095,439853.7529999986,infrastructure
147018.0639999993,432726.8960000016,infrastructure
139936.33700000122,449620.5159999989,infrastructure
140726.8909999989,447676.4470000006,infrastructure
136044.60599999875,455672.31599999964,infrastructure
138202.97399999946,453276.98999999836,infrastructure
136872.12999999896,454504.6090000011,infrastructure
126966.6099999994,476868.51199999824,infrastructure
122988.94999999925,484411.118999999,infrastructure
124990.14999999851,480577.1499999985,infrastructure
121860.19999999925,488006.5,infrastructure
123884.03599999845,485920.8839999996,infrastructure
125859.85000000149,478992.8990000002,infrastructure
127871.08100000024,464858.32400000095,infrastructure
124288.24599999934,481810.7650000006,infrastructure
130807.43800000101,460866.3999999985,infrastructure
136044.60599999875,455672.31599999964,infrastructure
134605.20699999854,457252.3960000016,infrastructure
207852.39699999988,474619.59099999815,accidents
210240.0700000003,462160.375,accidents
190217.2809999995,444188.3579999991,external
141846.6400000006,452784.29,external
146174.0,453005.0,external
174766.0,448804.0,external
167810.0,450850.0,external
153857.54100000113,452869.6649999991,external
186067.1499999985,445292.796,external
136044.60599999875,455672.31599999964,external
182885.0,446421.1700000018,external
136872.12999999896,454504.6090000011,external
141846.6400000006,452784.29,external
146174.0,453005.0,external
153857.54100000113,452869.6649999991,external
136044.60599999875,455672.31599999964,external
166092.6649999991,447980.18299999833,external
164909.9200000018,448871.136,external
136872.12999999896,454504.6090000011,external
126966.6099999994,476868.51199999824,external
124990.14999999851,480577.1499999985,external
119947.16200000048,483562.193,external
125859.85000000149,478992.8990000002,external
127871.08100000024,464858.32400000095,external
124288.24599999934,481810.7650000006,external
130807.43800000101,460866.3999999985,external
121120.6099999994,483353.0920000002,external
112377.12999999896,480358.21599999815,external
136044.60599999875,455672.31599999964,external
134605.20699999854,457252.3960000016,external
108136.01199999824,478591.05799999833,external
93054.8909999989,464606.0159999989,external
104370.18499999866,474816.08199999854,external
112377.12999999896,480358.21599999815,external
95572.61199999973,470050.5009999983,external
182927.61899999902,385282.5469999984,engineering work
174075.4549999982,387409.0859999992,engineering work
176965.27899999917,386850.125,engineering work
126966.6099999994,476868.51199999824,infrastructure
124990.14999999851,480577.1499999985,infrastructure
119947.16200000048,483562.193,infrastructure
125859.85000000149,478992.8990000002,infrastructure
127871.08100000024,464858.32400000095,infrastructure
124288.24599999934,481810.7650000006,infrastructure
130807.43800000101,460866.3999999985,infrastructure
121120.6099999994,483353.0920000002,infrastructure
112377.12999999896,480358.21599999815,infrastructure
136044.60599999875,455672.31599999964,infrastructure
134605.20699999854,457252.3960000016,infrastructure
127871.08100000024,464858.32400000095,infrastructure
141846.6400000006,452784.29,infrastructure
146174.0,453005.0,infrastructure
130807.43800000101,460866.3999999985,infrastructure
153857.54100000113,452869.6649999991,infrastructure
136044.60599999875,455672.31599999964,infrastructure
134605.20699999854,457252.3960000016,infrastructure
166092.6649999991,447980.18299999833,infrastructure
164909.9200000018,448871.136,infrastructure
136872.12999999896,454504.6090000011,infrastructure
182074.9050000012,578890.1970000006,rolling stock
176837.00499999896,571528.9649999999,rolling stock
155079.76700000092,391282.59099999815,infrastructure
150294.35599999875,399482.12999999896,infrastructure
143957.57400000095,439853.7529999986,infrastructure
161551.2049999982,383796.2250000015,infrastructure
147018.0639999993,432726.8960000016,infrastructure
148539.0,411325.0,infrastructure
139936.33700000122,449620.5159999989,infrastructure
140726.8909999989,447676.4470000006,infrastructure
136044.60599999875,455672.31599999964,infrastructure
148407.98099999875,407434.88500000164,infrastructure
146453.79,424424.55999999866,infrastructure
159820.06899999827,384627.368999999,infrastructure
138202.97399999946,453276.98999999836,infrastructure
136872.12999999896,454504.6090000011,infrastructure
251049.9290000014,475794.1479999982,rolling stock
252757.4299999997,476616.48600000143,rolling stock
260468.06599999964,480930.23600000143,rolling stock
84277.99700000137,446959.6020000018,external
84776.37200000137,445217.45800000057,external
82008.80000000075,454021.1000000015,external
81018.79100000113,452205.9459999986,external
81729.10700000077,450693.54399999976,external
91862.17399999872,437774.2890000008,external
112377.12999999896,480358.21599999815,external
234495.0,556742.1000000015,accidents
235028.9609999992,580495.9829999991,accidents
233603.33999999985,581086.0949999988,accidents
237254.99399999902,577322.7019999996,accidents
117315.25899999961,485704.4310000017,rolling stock
112377.12999999896,480358.21599999815,rolling stock
112057.0,500999.0,rolling stock
108489.62000000104,504028.24500000104,rolling stock
114599.41099999845,500343.51199999824,rolling stock
187084.21799999848,428451.9919999987,accidents
183156.69700000063,426245.11499999836,accidents
164962.3500000015,419637.05000000075,accidents
172157.56899999827,422868.33300000057,accidents
178719.5780000016,424834.47100000083,accidents
184984.52100000158,426605.91600000113,accidents
190217.2809999995,444188.3579999991,accidents
186945.3200000003,440801.87999999896,accidents
187196.00400000066,436476.1559999995,accidents
187084.21799999848,428451.9919999987,accidents
187541.10799999908,430611.2129999995,accidents
112057.0,500999.0,infrastructure
108489.62000000104,504028.24500000104,infrastructure
114599.41099999845,500343.51199999824,infrastructure
116006.55200000107,494683.29,infrastructure
115472.94799999893,496929.3900000006,infrastructure
115448.84699999914,498108.88800000027,infrastructure
111185.65500000119,516904.6090000011,infrastructure
103312.45800000057,490992.16899999976,infrastructure
105372.69200000167,499237.7280000001,infrastructure
105578.62900000066,506720.8189999983,infrastructure
104083.60500000045,495234.50499999896,infrastructure
107406.31300000101,501023.8110000007,infrastructure
104030.89799999818,489175.83399999887,infrastructure
108485.03700000048,512657.9070000015,infrastructure
103687.89200000092,494328.381000001,infrastructure
103580.50800000131,492770.9059999995,infrastructure
108489.62000000104,504028.24500000104,infrastructure
121860.19999999925,488006.5,infrastructure
117637.09600000083,489170.6719999984,infrastructure
104030.89799999818,489175.83399999887,infrastructure
106378.9849999994,488584.14499999955,infrastructure
111523.0,488833.0,infrastructure
143490.1559999995,487482.6409999989,rolling stock
147575.0159999989,489608.7120000012,rolling stock
149123.9609999992,490618.7719999999,rolling stock
145310.26799999923,487663.3350000009,rolling stock
160805.875,502368.82499999925,rolling stock
174766.0,448804.0,accidents
167810.0,450850.0,accidents
153857.54100000113,452869.6649999991,accidents
108136.01199999824,478591.05799999833,infrastructure
93054.8909999989,464606.0159999989,infrastructure
104370.18499999866,474816.08199999854,infrastructure
95572.61199999973,470050.5009999983,infrastructure
91303.07400000095,462544.5379999988,infrastructure
82104.65399999917,455332.3759999983,infrastructure
85258.5,456321.69999999925,infrastructure
93054.8909999989,464606.0159999989,infrastructure
89635.96499999985,460122.2470000014,infrastructure
126966.6099999994,476868.51199999824,infrastructure
124990.14999999851,480577.1499999985,infrastructure
119947.16200000048,483562.193,infrastructure
125859.85000000149,478992.8990000002,infrastructure
127871.08100000024,464858.32400000095,infrastructure
124288.24599999934,481810.7650000006,infrastructure
130807.43800000101,460866.3999999985,infrastructure
121120.6099999994,483353.0920000002,infrastructure
112377.12999999896,480358.21599999815,infrastructure
136044.60599999875,455672.31599999964,infrastructure
134605.20699999854,457252.3960000016,infrastructure
91862.17399999872,437774.2890000008,logistical
112377.12999999896,480358.21599999815,logistical
112057.0,500999.0,infrastructure
108489.62000000104,504028.24500000104,infrastructure
114599.41099999845,500343.51199999824,infrastructure
121860.19999999925,488006.5,infrastructure
117637.09600000083,489170.6719999984,infrastructure
