"ID";"Periods";"TotalEnergySupplyTPES_1";"IndigenousProductionTotal_2";"IndigenousProductionHardCoal_3";"IndigenousProductionLignite_4";"Imports_5";"Exports_6";"Bunkers_7";"StockChange_8";"PatentFuelOutput_9";"OutputTotal_10";"ManufactureOfCokeOvenProductsOutput_11";"OutputOther_12";"OutputByPublicGasWorksCompanies_13";"DeliveryByEnergyCompanies_14"
"89";"1891JJ00";"4356";;"100";;"4384";"128";;;;;;;;
"90";"1892JJ00";"4125";;"96";;"4151";"122";;;;;;;;
"91";"1893JJ00";"4170";;"101";;"4256";"187";;;;;;;;
"92";"1894JJ00";"4216";;"109";;"4220";"113";;;;;;;;
"93";"1895JJ00";"4208";;"127";;"4210";"129";;;;;;;;
"94";"1896JJ00";"4532";;"138";;"4556";"162";;;;;;;;
"95";"1897JJ00";"4754";;"150";;"4778";"174";;;;;;;;
"96";"1898JJ00";"4680";;"150";;"4838";"308";;;;;;;;
"97";"1899JJ00";"4819";;"213";;"4913";"307";;;;;;;;
"98";"1900JJ00";"5321";;"320";;"5482";"481";;;;;;;;
"99";"1901JJ00";"5184";;"311";;"5118";"245";;;;;;;;
"100";"1902JJ00";"5161";;"390";;"5196";"425";;;;;;;;
"101";"1903JJ00";"5511";;"458";;"5693";"640";;;;;;;;
"102";"1904JJ00";"5860";;"443";;"6222";"805";;;;;;;;
"103";"1905JJ00";"6028";;"487";;"6832";"1291";;;;;;;;
"104";"1906JJ00";"6560";;"549";;"7065";"1054";;;;;;;;
"105";"1907JJ00";"6772";;"723";;"7598";"1549";;;;;;;;
"106";"1908JJ00";"6904";;"908";;"7066";"1070";;;;;;;;
"107";"1909JJ00";"7279";;"1121";;"7782";"1624";;;;;;;;
"108";"1910JJ00";"7623";;"1292";;"8339";"2008";;;;;;;;
"109";"1911JJ00";"8091";;"1477";;"8985";"2372";;;;;;;;
"110";"1912JJ00";"9159";;"1725";;"9914";"2481";;;;;;;;
"111";"1913JJ00";"10167";;"1902";;"11000";"2736";;;;;;;;
"112";"1914JJ00";;;"1983";;;;;;;;;;;
"113";"1915JJ00";;;"2333";;;;;;;;;;;
"114";"1916JJ00";;;"2656";;;;;;"293";;;;;
"115";"1917JJ00";;"3168";"3126";"42";;;;;"388";;;;;
"116";"1918JJ00";;"5032";"3548";"1484";;;;;"504";;;;;
"117";"1919JJ00";;"5422";"3540";"1882";;;;;"584";;;;;
"118";"1920JJ00";;"5512";"4116";"1396";;;;;"634";"708";"139";"569";;
"119";"1921JJ00";;"4365";"4243";"122";;;;;"585";"839";"229";"610";;
"120";"1922JJ00";;"4895";"4866";"29";;;;;"626";"1117";"452";"665";;
"121";"1923JJ00";;"5649";"5595";"54";;;;;"474";"1372";"672";"700";;
"122";"1924JJ00";;"6371";"6180";"191";;;;;"562";"1726";"976";"750";;
"123";"1925JJ00";;"7325";"7117";"208";;;;;"571";"1981";"1144";"837";"245";
"124";"1926JJ00";;"9054";"8843";"211";;;;;"675";"2080";"1199";"881";;
"125";"1927JJ00";;"9689";"9488";"201";;;;;"662";"2349";"1479";"870";;
"126";"1928JJ00";;"11117";"10920";"197";;;;;"786";"2402";"1573";"829";;
"127";"1929JJ00";;"11738";"11581";"157";;;;;"958";"3289";"2403";"886";;
"128";"1930JJ00";;"12355";"12211";"144";;;;;"946";"3470";"2599";"871";"305";
"129";"1931JJ00";;"13023";"12901";"122";;;;;"1213";"3607";"2739";"868";;
"130";"1932JJ00";;"12880";"12756";"124";;;;;"1171";"3368";"2520";"848";;
"131";"1933JJ00";;"12671";"12574";"97";;;;;"1103";"3455";"2609";"846";;
"132";"1934JJ00";;"12433";"12341";"92";;;;;"1087";"3562";"2779";"783";;
"133";"1935JJ00";;"11964";"11878";"86";;;;;"1087";"3618";"2878";"740";"269";
"134";"1936JJ00";;"12892";"12803";"89";;;;;"1120";"3775";"3053";"722";"261";
"135";"1937JJ00";;"14464";"14321";"143";;;;;"1277";"4098";"3365";"733";"265";
"136";"1938JJ00";"15259";"13659";"13488";"171";"7700";"6100";;;"1263";"4051";"3158";"893";"274";
"137";"1939JJ00";;"12878";"12681";"197";;;;;"1269";"3964";"3043";"921";"283";
"138";"1940JJ00";;"12344";"12145";"199";;;;;"1217";"3386";"2376";"1010";"307";
"139";"1941JJ00";;"13555";"13356";"199";;;;;"1135";"3320";"2256";"1064";"343";
"140";"1942JJ00";;"12611";"12330";"281";;;;;"968";"3220";"2049";"1171";"395";
"141";"1943JJ00";;"12880";"12497";"383";;;;;"896";"3359";"2148";"1211";"391";
"142";"1944JJ00";;"8546";"8313";"233";;;;;"608";"2474";"1530";"944";"327";
"143";"1945JJ00";;"5227";"5097";"130";;;;;"413";"1191";"858";"333";"119";
"144";"1946JJ00";;"8797";"8314";"483";;;"187";;"726";"2229";"1287";"942";"312";
"145";"1947JJ00";;"10578";"10104";"474";;;"251";;"910";"2894";"1794";"1100";"363";
"146";"1948JJ00";;"11311";"11032";"279";;;"260";;"936";"3392";"2261";"1131";"402";
"147";"1949JJ00";;"11910";"11705";"205";;;"332";;"992";"3661";"2492";"1169";"403";"476"
"148";"1950JJ00";;"12441";"12247";"194";;;"377";;"1049";"3981";"2826";"1155";"419";"525"
"149";"1951JJ00";"17037";"12673";"12424";"249";"5072";"360";"348";;"1062";"4119";"3010";"1109";"423";"548"
"150";"1952JJ00";"17458";"12767";"12532";"235";"5239";"282";"266";;"944";"4341";"3268";"1073";"428";"584"
"151";"1953JJ00";"16989";"12549";"12297";"252";"5132";"494";"198";;"904";"4238";"3286";"952";"398";"571"
"152";"1954JJ00";"17859";"12243";"12071";"172";"7015";"1225";"174";;"940";"4309";"3380";"929";"419";"632"
