Station Code,Distance from LUT,Services from/to LUT,Disruptions on path to LUT
MMLH,104,0.0,169
MP,237,0.0,551
MRB,236,0.0,598
MRN,179,0.0,367
MT,17,37.67741935483871,31
MTH,324,0.0,627
MTN,20,0.0,33
MTR,18,37.67741935483871,33
MZ,60,0.0,51
NDB,185,0.0,241
NH,16,0.0,33
NKK,193,0.0,480
NM,114,0.0,180
NMD,119,0.0,201
NMGO,117,0.0,201
NMH,111,0.0,180
NML,115,0.0,201
NS,221,0.0,480
NSCH,359,0.0,634
NVD,220,0.0,468
NVP,206,0.0,44
NWK,202,0.0,325
O,132,0.0,167
OBD,252,0.0,519
ODB,170,0.0,441
ODZ,218,0.0,528
OMN,232,0.0,558
OP,139,0.0,215
OST,188,0.0,527
OT,110,0.0,94
OTB,137,0.0,458
OVN,218,0.0,44
OW,131,0.0,167
PMO,225,0.0,498
PMR,224,0.0,519
PMW,223,0.0,522
PT,200,0.0,480
RAI,195,0.0,243
RAT,227,0.0,551
RB,192,0.0,472
RD,353,0.0,635
RH,143,0.0,459
RHN,202,0.0,370
RL,184,0.0,463
RLB,182,0.0,652
RM,29,35.645161290322584,2
RS,120,0.0,167
RSD,163,0.0,436
RSN,204,0.0,461
RSW,172,0.0,19
RTA,199,0.0,506
RTB,188,0.0,553
RTD,189,0.0,436
RTN,194,0.0,506
RTST,184,0.0,553
RTZ,185,0.0,436
RV,40,0.0,51
RVS,130,0.0,201
SBK,11,0.0,32
SD,181,0.0,264
SDA,342,0.0,625
SDM,187,0.0,120
SDT,174,0.0,241
SDTB,176,0.0,553
SGL,27,0.0,47
SGN,260,0.0,611
SHL,207,0.0,254
SK,326,0.0,568
SKND,325,0.0,568
SM,34,0.0,51
SN,13,0.0,33
SOG,33,0.0,19
SPTN,223,0.0,44
SPTZ,221,0.0,44
SRN,11,35.645161290322584,2
SSH,195,0.0,44
ST,180,0.0,264
STD,4,37.64516129032258,0
STM,337,0.0,631
STV,355,0.0,576
STZ,179,0.0,264
SWD,326,0.0,619
SWK,251,0.0,601
TB,118,0.0,94
TBG,169,0.0,495
TBR,123,0.0,107
TBU,119,0.0,107
TG,47,0.0,65
TL,147,0.0,210
TPSW,145,0.0,210
TWL,183,0.0,527
UHM,350,0.0,635
UHZ,347,0.0,635
UST,342,0.0,634
UT,161,0.0,167
UTG,223,0.0,557
UTLN,157,0.0,291
UTLR,164,0.0,240
UTO,164,0.0,240
UTT,166,0.0,240
UTVR,160,0.0,291
UTZL,163,0.0,240
VB,175,0.0,63
VD,174,0.0,461
VDL,27,0.0,19
VDM,342,0.0,632
VEM,166,0.0,461
VG,109,0.0,94
VH,195,0.0,44
VHP,230,0.0,598
VK,30,0.0,47
VL,52,0.0,84
VLB,82,0.0,137
VNDC,194,0.0,369
VNDW,193,0.0,369
VP,139,0.0,459
VRY,75,0.0,137
VS,238,0.0,468
VSS,237,0.0,441
VST,182,0.0,37
VSV,176,0.0,495
VTN,168,0.0,245
VZ,223,0.0,597
WAD,201,0.0,325
WADN,202,0.0,325
WADT,200,0.0,325
WC,123,0.0,201
WD,177,0.0,240
WDN,212,0.0,468
WF,141,0.0,201
WFM,339,0.0,634
WH,195,0.0,537
WK,342,0.0,571
WL,158,0.0,478
WM,216,0.0,522
WP,194,0.0,252
WR,369,0.0,643
WS,347,0.0,634
WSM,331,0.0,620
WT,53,0.0,51
WTV,138,0.0,460
WV,264,0.0,551
WW,197,0.0,514
WWW,198,0.0,514
WZ,218,0.0,551
YPB,179,0.0,66
ZA,133,0.0,215
ZB,334,0.0,628
ZBM,126,0.0,167
ZD,210,0.0,519
ZDK,213,0.0,522
ZH,327,0.0,619
ZL,209,0.0,537
ZLSH,214,0.0,551
ZLW,154,0.0,454
ZP,162,0.0,461
ZTM,184,0.0,63
ZTMO,185,0.0,63
ZV,147,0.0,458
ZVB,162,0.0,459
ZVT,224,0.0,44
ZWD,171,0.0,553
ZZS,213,0.0,522
