Station Code,Distance from LTN,Services from/to LTN,Disruptions on path to LTN
KRD,181,0.0,509
KRG,193,0.0,767
KTR,57,0.0,294
KW,206,0.0,345
KZ,83,0.0,540
LAA,108,0.0,444
LC,71,0.0,283
LDL,96,0.0,348
LDM,87,0.0,224
LEDN,97,0.0,355
LG,176,0.0,498
LLS,97,0.0,401
LLZM,92,0.0,415
LP,224,0.0,351
LTN,0,0.0,0
LTV,89,0.0,285
LUT,158,0.0,481
LW,187,0.0,271
LWC,190,0.0,288
MAS,54,0.0,330
MDB,223,0.0,767
MES,181,0.0,483
MG,197,0.0,288
MMLH,54,0.0,301
MP,120,0.0,271
MRB,126,0.0,278
MRN,45,0.0,55
MT,175,0.0,481
MTH,207,0.0,347
MTN,178,0.0,483
MTR,176,0.0,483
MZ,140,0.0,468
NDB,48,0.0,258
NH,166,0.0,512
NKK,37,0.0,257
NM,44,0.0,280
NMD,49,0.0,301
NMGO,47,0.0,301
NMH,47,0.0,301
NML,43,0.0,294
NS,65,0.0,257
NSCH,242,0.0,354
NVD,112,0.0,356
NVP,91,0.0,513
NWK,88,0.0,415
O,68,0.0,301
OBD,123,0.0,629
ODB,153,0.0,379
ODZ,110,0.0,350
OMN,115,0.0,278
OP,53,0.0,294
OST,80,0.0,349
OT,108,0.0,438
OTB,21,0.0,23
OVN,92,0.0,553
OW,69,0.0,322
PMO,96,0.0,538
PMR,95,0.0,537
PMW,94,0.0,540
PT,44,0.0,260
RAI,69,0.0,261
RAT,110,0.0,271
RB,183,0.0,767
RD,236,0.0,355
RH,35,0.0,283
RHN,68,0.0,58
RL,76,0.0,285
RLB,110,0.0,494
RM,129,0.0,430
RS,80,0.0,322
RSD,154,0.0,731
RSN,96,0.0,349
RSW,111,0.0,430
RTA,93,0.0,415
RTB,104,0.0,485
RTD,103,0.0,415
RTN,98,0.0,417
RTST,108,0.0,494
RTZ,107,0.0,494
RV,118,0.0,416
RVS,60,0.0,280
SBK,161,0.0,511
SD,39,0.0,271
SDA,225,0.0,345
SDM,107,0.0,485
SDT,112,0.0,254
SDTB,115,0.0,255
SGL,185,0.0,497
SGN,131,0.0,629
SHL,81,0.0,335
SK,209,0.0,288
SKND,208,0.0,288
SM,124,0.0,430
SN,163,0.0,512
SOG,183,0.0,498
SPTN,97,0.0,571
SPTZ,95,0.0,571
SRN,147,0.0,508
SSH,102,0.0,513
ST,40,0.0,271
STD,154,0.0,479
STM,220,0.0,351
STV,238,0.0,296
STZ,41,0.0,261
SWD,209,0.0,339
SWK,134,0.0,321
TB,109,0.0,395
TBG,61,0.0,317
TBR,114,0.0,408
TBU,110,0.0,408
TG,111,0.0,397
TL,69,0.0,297
TPSW,71,0.0,297
TWL,75,0.0,349
UHM,233,0.0,355
UHZ,230,0.0,355
UST,225,0.0,354
UT,47,0.0,257
UTG,94,0.0,575
UTLN,51,0.0,99
UTLR,50,0.0,330
UTO,44,0.0,281
UTT,52,0.0,330
UTVR,48,0.0,99
UTZL,49,0.0,330
VB,104,0.0,415
VD,66,0.0,283
VDL,177,0.0,498
VDM,225,0.0,352
VEM,58,0.0,283
VG,91,0.0,395
VH,105,0.0,365
VHP,122,0.0,420
VK,186,0.0,498
VL,106,0.0,396
VLB,76,0.0,343
VNDC,60,0.0,57
VNDW,59,0.0,57
VP,31,0.0,283
VRY,83,0.0,344
VS,229,0.0,769
VSS,228,0.0,769
VST,102,0.0,450
VSV,68,0.0,317
VTN,54,0.0,335
VZ,115,0.0,419
WAD,87,0.0,415
WADN,88,0.0,415
WADT,86,0.0,415
WC,53,0.0,280
WD,63,0.0,257
WDN,104,0.0,356
WF,17,0.0,23
WFM,222,0.0,354
WH,87,0.0,359
WK,225,0.0,291
WL,50,0.0,300
WM,87,0.0,540
WP,57,0.0,269
WR,252,0.0,363
WS,230,0.0,354
WSM,214,0.0,340
WT,147,0.0,457
WTV,30,0.0,282
WV,147,0.0,271
WW,89,0.0,336
WWW,90,0.0,336
WZ,83,0.0,270
YPB,100,0.0,415
ZA,47,0.0,294
ZB,217,0.0,348
ZBM,82,0.0,223
ZD,81,0.0,537
ZDK,84,0.0,540
ZH,210,0.0,339
ZL,92,0.0,257
ZLSH,97,0.0,271
ZLW,137,0.0,374
ZP,54,0.0,283
ZTM,95,0.0,415
ZTMO,94,0.0,415
ZV,39,0.0,280
ZVB,145,0.0,379
ZVT,98,0.0,554
ZWD,121,0.0,599
ZZS,84,0.0,540
