Station Code,Distance from MTN,Services from/to MTN,Disruptions on path to MTN
WD,197,0.0,242
WDN,232,0.0,470
WF,161,0.0,203
WFM,359,0.0,636
WH,215,0.0,539
WK,362,0.0,573
WL,178,0.0,480
WM,236,0.0,524
WP,214,0.0,254
WR,389,0.0,645
WS,367,0.0,636
WSM,351,0.0,622
WT,73,0.0,53
WTV,158,0.0,462
WV,284,0.0,553
WW,217,0.0,516
WWW,218,0.0,516
WZ,238,0.0,553
YPB,179,0.0,78
ZA,153,0.0,217
ZB,354,0.0,630
ZBM,146,0.0,169
ZD,230,0.0,521
ZDK,233,0.0,524
ZH,347,0.0,621
ZL,229,0.0,539
ZLSH,234,0.0,553
ZLW,174,0.0,456
ZP,182,0.0,463
ZTM,184,0.0,75
ZTMO,185,0.0,75
ZV,167,0.0,460
ZVB,182,0.0,461
ZVT,224,0.0,56
ZWD,191,0.0,555
ZZS,233,0.0,524
