Station Code,Distance from DRP,Services from/to DRP,Disruptions on path to DRP
HTO,242,0.0,417
HVL,178,0.0,271
HVS,188,0.0,45
HVSM,189,0.0,46
HVSP,189,0.0,46
HWD,263,0.0,406
HWZB,228,0.0,324
HZE,284,0.0,488
IJT,36,0.0,32
KBD,338,0.0,541
KBK,161,0.0,81
KLP,206,0.0,403
KMA,235,0.0,337
KMR,338,0.0,599
KMW,58,0.0,39
KPN,121,0.0,45
KPNZ,121,0.0,45
KRD,338,0.0,610
KRG,345,0.0,541
KTR,214,0.0,395
KW,77,0.0,67
KZ,229,0.0,327
LAA,254,0.0,376
LC,170,0.0,121
LDL,242,0.0,362
LDM,233,0.0,388
LEDN,243,0.0,369
LG,333,0.0,599
LLS,163,0.0,31
LLZM,238,0.0,429
LP,91,0.0,58
LTN,198,0.0,288
LTV,188,0.0,123
LUT,315,0.0,582
LW,11,17.70967741935484,14
LWC,14,0.0,31
MAS,200,0.0,344
MDB,375,0.0,568
MES,338,0.0,584
MG,21,0.0,31
MMLH,211,0.0,402
MP,78,0.0,38
MRB,140,0.0,52
MRN,213,0.0,376
MT,332,0.0,582
MTH,78,0.0,69
MTN,335,0.0,584
MTR,333,0.0,584
MZ,294,0.0,493
NDB,194,0.0,46
NH,323,0.0,613
NKK,161,0.0,48
NM,201,0.0,381
NMD,206,0.0,402
NMGO,204,0.0,402
NMH,204,0.0,402
NML,200,0.0,395
NS,133,0.0,45
NSCH,113,0.0,76
NVD,138,0.0,54
NVP,237,0.0,248
NWK,234,0.0,429
O,225,0.0,402
OBD,269,0.0,324
ODB,299,0.0,541
ODZ,176,0.0,155
OMN,129,0.0,52
OP,210,0.0,395
OST,127,0.0,45
OT,262,0.0,460
OTB,186,0.0,381
OVN,238,0.0,340
OW,226,0.0,423
PMO,242,0.0,303
PMR,241,0.0,324
PMW,240,0.0,327
PT,154,0.0,45
RAI,215,0.0,49
RAT,124,0.0,45
RB,335,0.0,541
RD,103,0.0,62
RH,172,0.0,124
RHN,236,0.0,379
RL,175,0.0,123
RLB,256,0.0,499
RM,286,0.0,531
RS,237,0.0,423
RSD,306,0.0,536
RSN,154,0.0,66
RSW,257,0.0,444
RTA,239,0.0,429
RTB,250,0.0,499
RTD,249,0.0,429
RTN,244,0.0,431
RTST,254,0.0,499
RTZ,253,0.0,499
RV,275,0.0,517
RVS,217,0.0,381
SBK,318,0.0,612
SD,185,0.0,285
SDA,96,0.0,67
SDM,253,0.0,499
SDT,258,0.0,418
SDTB,261,0.0,419
SGL,342,0.0,598
SGN,277,0.0,416
SHL,227,0.0,120
SK,33,0.0,31
SKND,32,0.0,31
SM,281,0.0,531
SN,320,0.0,613
SOG,340,0.0,599
SPTN,243,0.0,340
SPTZ,241,0.0,340
SRN,304,0.0,609
SSH,248,0.0,248
ST,186,0.0,285
STD,311,0.0,580
STM,87,0.0,58
STV,62,0.0,39
STZ,187,0.0,275
SWD,76,0.0,46
SWK,64,0.0,31
TB,263,0.0,417
TBG,216,0.0,170
TBR,268,0.0,430
TBU,264,0.0,430
TG,268,0.0,498
TL,226,0.0,398
TPSW,228,0.0,398
TWL,142,0.0,121
UHM,100,0.0,62
UHZ,97,0.0,62
UST,92,0.0,61
UT,193,0.0,271
UTG,240,0.0,362
UTLN,197,0.0,344
UTLR,196,0.0,344
UTO,190,0.0,271
UTT,198,0.0,344
UTVR,194,0.0,344
UTZL,195,0.0,344
VB,250,0.0,429
VD,165,0.0,121
VDL,334,0.0,599
VDM,96,0.0,74
VEM,157,0.0,121
VG,245,0.0,417
VH,251,0.0,379
VHP,146,0.0,55
VK,343,0.0,599
VL,263,0.0,497
VLB,233,0.0,444
VNDC,228,0.0,378
VNDW,227,0.0,378
VP,176,0.0,127
VRY,240,0.0,445
VS,381,0.0,568
VSS,380,0.0,541
VST,248,0.0,464
VSV,219,0.0,154
VTN,200,0.0,349
VZ,153,0.0,56
WAD,233,0.0,429
WADN,234,0.0,429
WADT,232,0.0,429
WC,210,0.0,381
WD,209,0.0,271
WDN,146,0.0,66
WF,190,0.0,381
WFM,89,0.0,61
WH,120,0.0,45
WK,49,0.0,34
WL,205,0.0,153
WM,233,0.0,327
WP,203,0.0,57
WR,123,0.0,85
WS,101,0.0,76
WSM,81,0.0,47
WT,301,0.0,482
WTV,185,0.0,130
WV,51,0.0,31
WW,198,0.0,135
WWW,197,0.0,135
WZ,115,0.0,45
YPB,246,0.0,347
ZA,204,0.0,395
ZB,88,0.0,70
ZBM,228,0.0,387
ZD,227,0.0,324
ZDK,230,0.0,327
ZH,53,0.0,31
ZL,106,0.0,31
ZLSH,111,0.0,45
ZLW,283,0.0,536
ZP,153,0.0,121
ZTM,241,0.0,344
ZTMO,240,0.0,429
ZV,194,0.0,133
ZVB,291,0.0,541
ZVT,244,0.0,340
ZWD,267,0.0,604
ZZS,230,0.0,327
