Station Code,Distance from UHM,Services from/to UHM,Disruptions on path to UHM
KRD,373,0.0,615
KRG,380,0.0,560
KTR,249,0.0,400
KW,47,0.0,52
KZ,264,0.0,332
LAA,289,0.0,30
LC,205,0.0,126
LDL,277,0.0,381
LDM,268,0.0,407
LEDN,278,0.0,388
LG,368,0.0,604
LLS,198,0.0,36
LLZM,273,0.0,448
LP,39,0.0,27
LTN,233,0.0,307
LTV,223,0.0,128
LUT,350,0.0,587
LW,89,0.0,31
LWC,86,0.0,41
MAS,235,0.0,363
MDB,410,0.0,587
MES,373,0.0,589
MG,99,0.0,48
MMLH,246,0.0,407
MP,113,0.0,31
MRB,175,0.0,57
MRN,248,0.0,395
MT,367,0.0,587
MTH,48,0.0,54
MTN,370,0.0,589
MTR,368,0.0,589
MZ,329,0.0,512
NDB,229,0.0,51
NH,358,0.0,618
NKK,196,0.0,53
NM,236,0.0,386
NMD,241,0.0,407
NMGO,239,0.0,407
NMH,239,0.0,407
NML,235,0.0,400
NS,168,0.0,50
NSCH,83,0.0,61
NVD,173,0.0,59
NVP,272,0.0,383
NWK,269,0.0,448
O,260,0.0,407
OBD,304,0.0,329
ODB,334,0.0,560
ODZ,211,0.0,160
OMN,164,0.0,57
OP,245,0.0,400
OST,162,0.0,50
OT,297,0.0,479
OTB,221,0.0,386
OVN,273,0.0,345
OW,261,0.0,428
PMO,277,0.0,308
PMR,276,0.0,329
PMW,275,0.0,332
PT,189,0.0,50
RAI,250,0.0,184
RAT,159,0.0,50
RB,370,0.0,560
RD,3,34.096774193548384,0
RH,207,0.0,129
RHN,271,0.0,398
RL,210,0.0,128
RLB,291,0.0,518
RM,321,0.0,536
RS,272,0.0,428
RSD,341,0.0,555
RSN,189,0.0,71
RSW,292,0.0967741935483871,0
RTA,274,0.0,448
RTB,285,0.0,518
RTD,284,0.0,448
RTN,279,0.0,450
RTST,289,0.0,518
RTZ,288,0.0,518
RV,310,0.0,522
RVS,252,0.0,386
SBK,353,0.0,617
SD,220,0.0,304
SDA,66,0.0,52
SDM,288,0.0,518
SDT,293,0.0,437
SDTB,296,0.0,438
SGL,377,0.0,603
SGN,312,0.0,421
SHL,262,0.0,255
SK,111,0.0,48
SKND,110,0.0,48
SM,316,0.0,536
SN,355,0.0,618
SOG,375,0.0,604
SPTN,278,0.0,345
SPTZ,276,0.0,345
SRN,339,0.0,614
SSH,283,0.0,383
ST,221,0.0,304
STD,346,0.0,585
STM,35,0.0,27
STV,140,0.0,56
STZ,222,0.0,294
SWD,24,34.03225806451613,15
SWK,127,0.0,81
TB,298,0.0,436
TBG,251,0.0,175
TBR,303,0.0,449
TBU,299,0.0,449
TG,303,0.0,503
TL,261,0.0,403
TPSW,263,0.0,403
TWL,177,0.0,126
UHM,0,0.0,0
UHZ,3,34.25806451612903,0
UST,8,34.25806451612903,0
UT,228,0.0,290
UTG,275,0.0,367
UTLN,232,0.0,363
UTLR,231,0.0,363
UTO,225,0.0,290
UTT,233,0.0,363
UTVR,229,0.0,363
UTZL,230,0.0,363
VB,285,0.0,448
VD,200,0.0,126
VDL,369,0.0,604
VDM,66,0.0,59
VEM,192,0.0,126
VG,280,0.0,436
VH,286,0.0,398
VHP,181,0.0,60
VK,378,0.0,604
VL,298,0.0,502
VLB,268,0.0,449
VNDC,263,0.0,397
VNDW,262,0.0,397
VP,211,0.0,132
VRY,275,0.0,450
VS,416,0.0,587
VSS,415,0.0,560
VST,283,0.0,483
VSV,254,0.0,159
VTN,235,0.0,368
VZ,188,0.0,61
WAD,268,0.0,448
WADN,269,0.0,448
WADT,267,0.0,448
WC,245,0.0,386
WD,244,0.0,290
WDN,181,0.0,71
WF,225,0.0,386
WFM,11,34.0,1
WH,155,0.0,50
WK,127,0.0,51
WL,240,0.0,158
WM,268,0.0,332
WP,238,0.0,182
WR,93,0.0,70
WS,71,0.0,61
WSM,19,34.0,15
WT,336,0.0,501
WTV,220,0.0,135
WV,129,0.0,48
WW,233,0.0,140
WWW,232,0.0,140
WZ,150,0.0,50
YPB,281,0.0,366
ZA,239,0.0,400
ZB,58,0.0,55
ZBM,263,0.0,406
ZD,262,0.0,329
ZDK,265,0.0,332
ZH,47,0.0,31
ZL,141,0.0,36
ZLSH,146,0.0,50
ZLW,318,0.0,555
ZP,188,0.0,126
ZTM,276,0.0,363
ZTMO,275,0.0,448
ZV,229,0.0,138
ZVB,326,0.0,560
ZVT,279,0.0,345
ZWD,302,0.0,623
ZZS,265,0.0,332
