Station Code,Distance from WM,Services from/to WM,Disruptions on path to WM
PMR,20,0.0,5
PMW,19,0.0,3
PT,79,0.0,536
RAI,27,0.0,322
RAT,145,0.0,296
RB,180,0.0,329
RD,271,0.0,380
RH,122,0.0,834
RHN,98,1.064516129032258,390
RL,144,0.0,573
RLB,100,0.0,277
RM,187,0.0,493
RS,110,0.0,428
RSD,151,0.0,277
RSN,145,0.0,571
RSW,74,0.0,106
RTA,92,35.45161290322581,368
RTB,94,0.0,277
RTD,93,35.45161290322581,207
RTN,97,35.45161290322581,370
RTST,98,0.0,277
RTZ,97,0.0,277
RV,198,0.0,542
RVS,130,0.0,449
SBK,219,0.0,574
SD,56,0.0,297
SDA,260,0.0,370
SDM,89,0.0,207
SDT,120,0.0,429
SDTB,120,0.0,324
SGL,235,0.0,123
SGN,44,0.967741935483871,89
SHL,27,0.0,24
SK,244,0.0,553
SKND,243,0.0,553
SM,192,0.0,542
SN,221,0.0,575
SOG,229,0.0,123
SPTN,19,0.0,45
SPTZ,21,0.0,46
SRN,205,0.0,571
SSH,48,0.0,74
ST,57,0.0,297
STD,212,0.0,542
STM,255,0.0,376
STV,273,0.0,561
STZ,58,0.0,297
SWD,244,0.0,364
SWK,169,0.0,346
TB,125,0.0,428
TBG,148,0.0,870
TBR,130,0.0,441
TBU,126,0.0,441
TG,192,0.0,494
TL,93,0.0,398
TPSW,91,0.0,398
TWL,114,0.0,571
UHM,268,0.0,380
UHZ,265,0.0,380
UST,260,0.0,379
UT,55,8.935483870967742,282
UTG,7,47.064516129032256,25
UTLN,59,0.0,355
UTLR,58,0.0,355
UTO,58,0.0,355
UTT,60,0.0,355
UTVR,56,6.096774193548387,355
UTZL,53,8.903225806451612,299
VB,73,0.0,120
VD,134,0.0,571
VDL,223,0.0,123
VDM,260,0.0,377
VEM,118,0.0,573
VG,107,0.0,428
VH,47,0.0,46
VHP,167,0.0,306
VK,232,0.0,123
VL,187,0.0,493
VLB,163,0.0,639
VNDC,90,1.064516129032258,389
VNDW,89,1.064516129032258,389
VP,118,0.0,834
VRY,170,0.0,640
VS,226,0.0,309
VSS,225,0.0,282
VST,60,0.0,176
VSV,155,0.0,870
VTN,62,0.0,360
VZ,164,0.0,672
WAD,80,0.0,202
WADN,79,0.0,202
WADT,81,0.0,202
WC,137,0.0,452
WD,62,35.45161290322581,282
WDN,153,0.0,578
WF,104,0.0,576
WFM,257,0.0,379
WH,136,0.0,612
WK,260,0.0,556
WL,137,0.0,853
WM,0,0.0,0
WP,30,0.0,283
WR,287,0.0,388
WS,265,0.0,379
WSM,249,0.0,365
WT,163,0.0,493
WTV,117,0.0,835
WV,182,0.0,296
WW,167,0.0,585
WWW,166,0.0,585
WZ,118,0.0,549
YPB,77,0.0,123
ZA,115,0.0,401
ZB,252,0.0,373
ZBM,90,0.0,398
ZD,6,47.83870967741935,0
ZDK,9,0.0,3
ZH,245,0.0,364
ZL,127,0.0,282
ZLSH,132,0.0,3
ZLW,128,0.0,324
ZP,122,0.0,571
ZTM,82,0.0,120
ZTMO,83,0.0,120
ZV,126,0.0,833
ZVB,136,0.0,329
ZVT,34,0.0,81
ZWD,111,0.0,382
ZZS,3,47.80645161290322,0
