Station Code,Distance from HBZM,Services from/to HBZM,Disruptions on path to HBZM
KBD,81,0.0,123
KBK,132,0.0,351
KLP,96,0.0,231
KMA,121,0.0,439
KMR,196,0.0,258
KMW,293,0.0,412
KPN,166,0.0,401
KPNZ,166,0.0,401
KRD,196,0.0,269
KRG,88,0.0,123
KTR,62,0.0,74
KW,265,0.0,475
KZ,115,0.0,429
LAA,55,0.0,234
LC,140,0.0,351
LDL,70,0.0,244
LDM,24,32.16129032258065,30
LEDN,69,0.0,234
LG,191,0.0,258
LLS,137,0.0,291
LLZM,68,0.0,273
LP,283,0.0,481
LTN,111,0.0,404
LTV,158,0.0,353
LUT,173,0.0,241
LW,246,0.0,387
LWC,249,0.0,404
MAS,71,0.0,147
MDB,118,0.0,150
MES,196,0.0,243
MG,256,0.0,404
MMLH,101,0.0,112
MP,179,0.0,401
MRB,185,0.0,408
MRN,82,0.0,231
MT,190,0.0,241
MTH,266,0.0,477
MTN,193,0.0,243
MTR,191,0.0,243
MZ,113,0.0,220
NDB,88,0.0,148
NH,181,0.0,272
NKK,96,0.0,387
NM,91,0.0,91
NMD,96,0.0,112
NMGO,94,0.0,112
NMH,94,0.0,112
NML,90,0.0,91
NS,124,0.0,387
NSCH,301,0.0,484
NVD,181,0.0,358
NVP,88,0.0,244
NWK,46,0.0,246
O,79,0.0,147
OBD,146,0.0,370
ODB,42,0.0,123
ODZ,179,0.0,418
OMN,174,0.0,408
OP,66,0.0,77
OST,149,0.0,417
OT,70,0.0,454
OTB,98,0.0,348
OVN,100,0.0,244
OW,78,0.0,147
PMO,128,0.0,405
PMR,127,0.0,426
PMW,126,0.0,429
PT,103,0.0,387
RAI,98,0.0,150
RAT,169,0.0,401
RB,78,0.0,123
RD,295,0.0,485
RH,104,0.0,349
RHN,105,0.0,234
RL,145,0.0,353
RLB,24,0.0,217
RM,144,0.0,190
RS,67,0.0,147
RSD,49,0.0,118
RSN,165,0.0,351
RSW,50,0.0,219
RTA,41,0.0,188
RTB,30,0.0,118
RTD,31,0.0,118
RTN,36,0.0,188
RTST,26,0.0,118
RTZ,27,0.0,118
RV,155,0.0,239
RVS,87,0.0,168
SBK,176,0.0,271
SD,84,0.0,171
SDA,284,0.0,475
SDM,35,0.0,188
SDT,1,32.225806451612904,0
SDTB,4,32.12903225806452,1
SGL,200,0.0,257
SGN,154,0.0,370
SHL,98,0.0,263
SK,268,0.0,404
SKND,267,0.0,404
SM,149,0.0,239
SN,178,0.0,272
SOG,198,0.0,258
SPTN,105,0.0,244
SPTZ,103,0.0,244
SRN,162,0.0,268
SSH,77,0.0,244
ST,83,0.0,171
STD,169,0.0,239
STM,279,0.0,481
STV,297,0.0,412
STZ,82,0.0,171
SWD,268,0.0,469
SWK,193,0.0,451
TB,62,0.0,441
TBG,130,0.0,385
TBR,57,0.0,460
TBU,61,0.0,462
TG,149,0.0,148
TL,50,0.0,74
TPSW,48,0.0,74
TWL,138,0.0,422
UHM,292,0.0,485
UHZ,289,0.0,485
UST,284,0.0,484
UT,64,0.0,74
UTG,117,0.0,264
UTLN,60,0.0,155
UTLR,67,0.0,147
UTO,67,0.0,147
UTT,69,0.0,147
UTVR,63,0.0,155
UTZL,66,0.0,147
VB,57,0.0,263
VD,135,0.0,351
VDL,192,0.0,258
VDM,284,0.0,482
VEM,127,0.0,351
VG,64,0.0,147
VH,77,0.0,244
VHP,191,0.0,411
VK,201,0.0,258
VL,144,0.0,147
VLB,123,0.0,154
VNDC,97,0.0,233
VNDW,96,0.0,233
VP,100,0.0,349
VRY,130,0.0,155
VS,124,0.0,150
VSS,123,0.0,123
VST,64,0.0,237
VSV,137,0.0,385
VTN,71,0.0,152
VZ,184,0.0,487
WAD,63,0.0,273
WADN,64,0.0,273
WADT,62,0.0,273
WC,94,0.0,171
WD,71,0.0,273
WDN,173,0.0,358
WF,102,0.0,348
WFM,281,0.0,484
WH,156,0.0,427
WK,284,0.0,407
WL,119,0.0,368
WM,119,0.0,429
WP,97,0.0,159
WR,311,0.0,493
WS,289,0.0,484
WSM,273,0.0,470
WT,120,0.0,190
WTV,99,0.0,350
WV,206,0.0,401
WW,158,0.0,404
WWW,159,0.0,404
WZ,142,0.0,400
YPB,61,0.0,266
ZA,72,0.0,77
ZB,276,0.0,478
ZBM,47,0.0,74
ZD,113,0.0,426
ZDK,116,0.0,429
ZH,269,0.0,469
ZL,151,0.0,387
ZLSH,156,0.0,401
ZLW,26,0.0,118
ZP,123,0.0,351
ZTM,66,0.0,263
ZTMO,67,0.0,263
ZV,108,0.0,348
ZVB,34,0.0,123
ZVT,106,0.0,244
ZWD,13,0.0,118
ZZS,116,0.0,429
