Station Code,Distance from WT,Services from/to WT,Disruptions on path to WT
CVM,74,0.0,69
DA,217,0.0,536
DB,118,0.0,284
DDN,191,0.0,415
DDR,116,0.0,385
DDRS,119,0.0,502
DDZD,115,0.0,408
DEI,294,0.0,446
DID,141,0.0,397
DL,207,0.0,443
DLD,120,0.0,209
DLN,250,0.0,567
DMN,146,0.0,240
DMNZ,141,0.0,192
DN,50,0.0,66
DR,138,0.0,397
DRH,174,0.0,485
DRON,206,0.0,347
DRP,301,0.0,460
DT,150,0.0,502
DTC,152,0.0,417
DTCH,150,0.0,417
DTCP,149,0.0,455
DV,167,0.0,400
DVC,171,0.0,466
DVD,139,0.0,189
DVN,131,0.0,399
DVNK,161,0.0,297
DWE,307,0.0,446
DZ,339,0.0,541
DZW,338,0.0,541
EC,37,0.0,49
ED,139,0.0,397
EDC,141,0.0,419
EDN,79,0.0,53
EEM,346,0.0,540
EGH,73,0.0,68
EGHM,74,0.0,68
EHS,29,27.580645161290324,62
EHV,28,95.25806451612904,0
EKZ,208,22.29032258064516,540
EML,152,0.0,429
EMN,266,0.0,568
EMNZ,262,0.0,567
ES,204,0.0,467
ESK,200,0.0,467
EST,111,0.0,158
ETN,97,0.0,385
FN,307,0.0,446
FWD,304,0.0,446
GBG,239,0.0,553
GD,140,0.0,189
GDG,137,0.0,189
GDM,82,0.1290322580645161,116
GDR,157,0.0,434
GERP,299,0.0,496
GK,320,0.0,511
GLN,53,0.0,51
GN,301,0.0,496
GND,117,0.0,180
GNN,305,0.0,511
GO,181,0.0,407
GP,22,29.12903225806452,7
GR,108,0.0,178
GS,160,0.0,390
GV,158,0.0,603
GVC,159,0.0,618
GVM,163,0.0,618
GVMW,157,0.0,603
GW,277,0.0,500
GZ,76,0.0,58
HAD,170,0.0,468
HB,64,0.0,82
HBZM,120,0.0,190
HD,156,0.0,432
HDB,233,0.0,540
HDE,177,0.0,429
HDG,300,0.0,446
HDR,228,1.3548387096774193,569
HDRZ,227,1.3548387096774193,569
HFD,159,0.0,277
HGL,196,0.0,448
HGLG,194,0.0,448
HGLO,198,0.0,467
HGV,243,0.0,443
HGZ,312,0.0,519
HIL,176,0.0,297
HK,173,0.0,507
HKS,200,22.29032258064516,524
HLG,316,0.0,447
HLGH,317,0.0,451
HLM,166,0.0,447
HLMS,165,0.0,468
HLO,181,0.0,474
HM,41,0.0,62
HMBH,42,0.0,66
HMBV,38,0.0,62
HMH,40,0.0,62
HMN,113,0.0,162
HN,190,22.29032258064516,468
HNK,191,22.29032258064516,524
HNO,207,0.0,443
HNP,332,0.0,449
HON,186,0.0,400
HOR,120,0.0,189
HR,261,0.0,500
HRL,68,28.161290322580644,51
HRLW,70,0.0,68
HRN,295,0.0,496
HRT,59,0.0,135
HT,60,48.67741935483871,43
HTN,100,0.0,212
HTNC,99,0.0,212
HTO,61,0.0,116
HVL,135,0.0,429
HVS,126,0.0,189
HVSM,127,0.0,190
HVSP,125,0.0,189
HWD,193,1.3548387096774193,550
HWZB,158,0.0,468
HZE,17,29.12903225806452,2
IJT,315,0.0,447
KBD,142,0.0,390
KBK,160,0.0,400
KLP,140,0.0,316
KMA,165,0.0,481
KMR,76,0.0,68
KMW,337,0.0,454
KPN,210,0.0,443
KPNZ,210,0.0,443
KRD,76,0.0,79
KRG,149,0.0,390
KTR,106,0.0,159
KW,309,0.0,517
KZ,159,0.0,471
LAA,160,0.0,618
LC,168,0.0,400
LDL,157,0.0,280
LDM,96,0.0,160
LEDN,158,0.0,287
LG,71,0.0,68
LLS,181,0.0,333
LLZM,153,0.0,274
LP,327,0.0,523
LTN,147,0.0,420
LTV,186,0.0,402
LUT,53,0.0,51
LW,290,0.0,429
LWC,293,0.0,446
MAS,115,0.0,189
MDB,179,0.0,417
MES,76,0.0,53
MG,300,0.0,446
MMLH,99,0.0,167
MP,223,0.0,443
MRB,225,0.0,537
MRN,126,0.0,316
MT,70,38.64516129032258,51
MTH,310,0.0,519
MTN,73,0.0,53
MTR,71,0.0,53
MZ,7,29.12903225806452,0
NDB,132,0.0,190
NH,61,0.0,82
NKK,140,0.0,429
NM,103,0.0,137
NMD,98,0.0,140
NMGO,100,0.0,141
NMH,106,0.0,158
NML,104,0.0,158
NS,168,0.0,429
NSCH,345,0.0,526
NVD,209,0.0,407
NVP,164,0.0,405
NWK,149,0.0,274
O,79,0.0,116
OBD,199,0.0,468
ODB,117,0.0,390
ODZ,207,0.0,467
OMN,218,0.0,450
OP,110,0.0,162
OST,177,0.0,466
OT,57,27.580645161290324,43
OTB,126,0.0,397
OVN,168,0.0,484
OW,78,0.0,116
PMO,172,0.0,447
PMR,171,0.0,468
PMW,170,0.0,471
PT,147,0.0,429
RAI,142,0.0,192
RAT,213,0.0,443
RB,139,0.0,421
RD,339,0.0,527
RH,132,0.0,398
RHN,149,0.0,319
RL,173,0.0,402
RLB,129,0.0,601
RM,24,66.80645161290323,0
RS,67,0.0,116
RSD,110,0.0,385
RSN,193,0.0,400
RSW,155,0.0,603
RTA,146,0.0,455
RTB,135,0.0,502
RTD,136,0.0,385
RTN,141,0.0,455
RTST,131,0.0,502
RTZ,132,0.0,385
RV,35,0.0,49
RVS,87,0.0,137
SBK,56,0.0,81
SD,128,0.0,213
SDA,328,0.0,517
SDM,140,0.0,455
SDT,121,0.0,190
SDTB,123,0.0,502
SGL,80,0.0,67
SGN,207,1.3548387096774193,560
SHL,154,0.0967741935483871,203
SK,312,0.0,446
SKND,311,0.0,446
SM,29,0.0,49
SN,58,0.0,82
SOG,78,0.0,68
SPTN,173,0.0,484
SPTZ,171,0.0,484
SRN,42,0.0,78
SSH,166,0.0,297
ST,127,0.0,213
STD,49,66.80645161290323,49
STM,323,0.0,523
STV,341,0.0,454
STZ,126,0.0,213
SWD,312,0.0,511
SWK,237,0.0,493
TB,65,27.580645161290324,43
TBG,158,0.0,434
TBR,70,0.0,56
TBU,66,27.580645161290324,56
TG,42,0.0,63
TL,94,0.0,159
TPSW,92,0.0,159
TWL,172,0.0,466
UHM,336,0.0,527
UHZ,333,0.0,527
UST,328,0.0,526
UT,108,48.64516129032258,116
UTG,170,0.0,506
UTLN,104,0.0,240
UTLR,111,0.0,189
UTO,111,0.0,189
UTT,113,0.0,189
UTVR,107,0.0,240
UTZL,110,0.0,189
VB,162,0.0,647
VD,163,0.0,400
VDL,72,0.0,68
