Station Code,Distance from HN,Services from/to HN,Disruptions on path to HN
NDB,66,0.0,286
NH,251,0.0,572
NKK,99,0.0,533
NM,158,0.0,573
NMD,163,0.0,594
NMGO,161,0.0,594
NMH,161,0.0,594
NML,157,0.0,844
NS,127,0.0,533
NSCH,304,0.0,376
NVD,186,0.0,302
NVP,64,19.12903225806452,71
NWK,114,0.0,365
O,149,0.0,425
OBD,11,32.87096774193548,0
ODB,172,0.0,263
ODZ,205,0.0,635
OMN,177,0.0,300
OP,136,0.0,398
OST,156,0.0,599
OT,151,0.0,468
OTB,135,0.0,573
OVN,56,0.0,40
OW,148,0.0,425
PMO,18,32.225806451612904,0
PMR,19,31.90322580645161,0
PMW,20,31.548387096774192,1
PT,106,0.0,533
RAI,54,0.0,319
RAT,172,0.0,293
RB,208,0.0,263
RD,298,0.0,377
RH,149,0.0,831
RHN,125,0.0,387
RL,171,0.0,570
RLB,128,0.0,141
RM,214,22.580645161290324,490
RS,137,0.0,425
RSD,179,0.0,141
RSN,172,0.0,568
RSW,102,0.0,39
RTA,119,0.0,365
RTB,122,0.0,141
RTD,121,0.0,71
RTN,124,0.0,367
RTST,126,0.0,141
RTZ,125,0.0,141
RV,225,0.0,539
RVS,157,0.0,446
SBK,246,0.0,571
SD,83,0.0,294
SDA,287,0.0,367
SDM,117,0.0,140
SDT,147,0.0,426
SDTB,148,0.0,258
SGL,263,0.0,56
SGN,31,2.3548387096774195,10
SHL,54,25.35483870967742,21
SK,271,0.0,550
SKND,270,0.0,550
SM,219,0.0,539
SN,248,0.0,572
SOG,257,0.0,56
SPTN,52,29.451612903225808,108
SPTZ,54,27.516129032258064,109
SRN,232,0.0,568
SSH,75,19.12903225806452,71
ST,84,0.0,294
STD,239,22.580645161290324,539
STM,282,0.0,373
STV,300,0.0,558
STZ,85,0.0,294
SWD,271,0.0,361
SWK,196,0.0,343
TB,152,0.0,425
TBG,175,0.0,867
TBR,157,0.0,438
TBU,153,0.0,438
TG,219,0.0,491
TL,120,0.0,395
TPSW,118,0.0,395
TWL,141,0.0,568
UHM,295,0.0,377
UHZ,292,0.0,377
UST,287,0.0,376
UT,82,25.193548387096776,279
UTG,40,29.548387096774192,89
UTLN,86,0.0,352
UTLR,85,0.0,352
UTO,85,0.0,352
UTT,87,0.0,352
UTVR,83,0.0,352
UTZL,80,0.0,296
VB,101,0.0,53
VD,161,0.0,568
VDL,251,0.0,56
VDM,287,0.0,374
VEM,145,0.0,570
VG,134,0.0,425
VH,75,0.0,21
VHP,194,0.0,303
VK,260,0.0,56
VL,214,0.0,490
VLB,190,0.0,636
VNDC,117,0.0,386
VNDW,116,0.0,386
VP,145,0.0,831
VRY,197,0.0,637
VS,254,0.0,173
VSS,253,0.0,146
VST,88,19.12903225806452,21
VSV,182,0.0,867
VTN,89,0.0,357
VZ,191,0.0,669
WAD,108,0.0,142
WADN,107,0.0,142
WADT,109,0.0,142
WC,164,0.0,449
WD,89,0.0,279
WDN,180,0.0,575
WF,131,0.0,573
WFM,284,0.0,376
WH,163,0.0,609
WK,287,0.0,553
WL,164,0.0,850
WM,39,0.0,3
WP,57,0.0,280
WR,314,0.0,385
WS,292,0.0,376
WSM,276,0.0,362
WT,190,22.580645161290324,490
WTV,144,0.0,832
WV,209,0.0,293
WW,194,0.0,582
WWW,193,0.0,582
WZ,145,0.0,546
YPB,105,0.0,56
ZA,142,0.0,398
ZB,279,0.0,370
ZBM,117,0.0,395
ZD,33,31.83870967741936,0
ZDK,30,31.548387096774192,3
ZH,272,0.0,361
ZL,154,0.0,279
ZLSH,159,0.0,3
ZLW,156,0.0,258
ZP,149,0.0,568
ZTM,110,0.0,53
ZTMO,111,0.0,53
ZV,153,0.0,830
ZVB,164,0.0,263
ZVT,62,0.0,40
ZWD,139,0.0,246
ZZS,36,0.0,3
