Station Code,Distance from HDR,Services from/to HDR,Disruptions on path to HDR
VZ,229,0.0,770
WAD,131,0.0,256
WADN,130,0.0,256
WADT,132,0.0,256
WC,202,0.0,550
WD,127,0.0,380
WDN,218,0.0,676
WF,169,0.0,674
WFM,322,0.0,477
WH,201,0.0,710
WK,325,0.0,654
WL,202,0.0,951
WM,65,0.9032258064516128,98
WP,95,0.0,381
WR,352,0.0,486
WS,330,0.0,477
WSM,314,0.0,463
WT,228,1.1612903225806452,591
WTV,182,0.0,933
WV,247,0.0,394
WW,232,0.0,683
WWW,231,0.0,683
WZ,183,0.0,647
YPB,128,0.0,177
ZA,180,0.0,499
ZB,317,0.0,471
ZBM,155,0.0,496
ZD,71,36.83870967741935,98
ZDK,74,0.0,101
ZH,310,0.0,462
ZL,192,0.0,380
ZLSH,197,0.0,101
ZLW,179,0.0,378
ZP,187,0.0,669
ZTM,133,0.0,174
ZTMO,134,0.0,174
ZV,191,0.0,931
ZVB,187,0.0,383
ZVT,85,0.0,135
ZWD,162,0.0,436
ZZS,68,0.8709677419354839,108
