Station Code,Distance from WV,Services from/to WV,Disruptions on path to WV
DTCH,157,0.0,122
DTCP,211,0.0,482
DV,86,0.0,24
DVC,90,0.0,90
DVD,161,0.0,15
DVN,138,0.0,99
DVNK,195,0.0,362
DWE,57,0.0,17
DZ,132,0.0,62
DZW,131,0.0,62
EC,248,0.0,549
ED,148,0.0,350
EDC,150,0.0,372
EDN,290,0.0,553
EEM,139,0.0,61
EGH,284,0.0,568
EGHM,285,0.0,568
EHS,221,0.0,403
EHV,222,0.0,403
EKZ,227,0.0,365
EML,98,0.0,17
EMN,130,0.0,49
EMNZ,126,0.0,48
ES,122,0.0,124
ESK,118,0.0,124
EST,142,0.0,350
ETN,244,0.0,736
FN,57,0.0,17
FWD,54,0.0,17
GBG,103,0.0,34
GD,174,0.0,327
GDG,171,0.0,327
GDM,168,0.0,327
GDR,164,0.0,139
GERP,96,0.0,32
GK,75,0.0,40
GLN,264,0.0,551
GN,94,0.0,17
GND,203,0.0,391
GNN,98,0.0,32
GO,129,0.0,157
GP,228,0.0,465
GR,194,0.0,389
GS,305,0.0,524
GV,203,0.0,412
GVC,202,2.290322580645161,330
GVM,203,0.0,447
GVMW,204,0.0,427
GW,27,29.677419354838708,7
GZ,223,0.0,415
HAD,189,0.0,293
HB,275,0.0,582
HBZM,206,0.0,401
HD,94,0.0,14
HDB,97,0.0,21
HDE,73,0.0,14
HDG,50,0.0,17
HDR,247,0.0,394
HDRZ,246,0.0,394
HFD,181,0.032258064516129,89
HGL,114,0.0,105
HGLG,116,0.0,124
HGLO,116,0.0,124
HGV,47,0.0,57
HGZ,109,0.0,55
HIL,196,0.0,293
HK,192,0.0,332
HKS,219,0.0,349
HLG,66,0.0,18
HLGH,67,0.0,22
HLM,185,0.0,272
HLMS,184,0.0,293
HLO,200,0.0,299
HM,235,0.0,465
HMBH,236,0.0,469
HMBV,232,0.0,465
HMH,234,0.0,465
HMN,156,0.0,364
HN,209,0.0,293
HNK,210,0.0,349
HNO,67,0.0,14
HNP,82,0.0,20
HON,105,0.0,90
HOR,143,0.0,15
HR,11,29.741935483870968,0
HRL,279,0.0,551
HRLW,281,0.0,568
HRN,99,0.0,110
HRT,220,0.0,466
HT,190,0.0,327
HTN,150,0.0,327
HTNC,151,0.0,355
HTO,191,0.0,400
HVL,127,0.0,254
HVS,137,0.0,14
HVSM,138,0.0,15
HVSP,138,0.0,15
HWD,212,0.0,375
HWZB,177,0.0,293
HZE,233,0.0,471
IJT,65,0.0,18
KBD,287,0.0,524
KBK,110,0.0,50
KLP,155,0.0,372
KMA,184,0.0,306
KMR,287,0.0,568
KMW,87,0.0,25
KPN,70,0.0,14
KPNZ,70,0.0,14
KRD,287,0.0,579
KRG,294,0.0,524
KTR,163,0.0,364
KW,106,0.0,53
KZ,178,0.0,296
LAA,203,0.1935483870967742,359
LC,119,0.0,90
LDL,191,0.0,345
LDM,182,0.0,371
LEDN,192,2.290322580645161,352
LG,282,0.0,568
LLS,112,2.5161290322580645,0
LLZM,187,0.0,412
LP,120,0.0,44
LTN,147,0.0,271
LTV,137,0.0,92
LUT,264,0.0,551
LW,40,29.70967741935484,0
LWC,43,0.0,17
MAS,149,0.0,327
MDB,324,0.0,551
MES,287,0.0,553
MG,50,0.0,17
MMLH,160,0.0,371
MP,27,29.0,7
MRB,89,0.0,21
MRN,162,0.0,359
MT,281,0.0,551
MTH,107,0.0,55
MTN,284,0.0,553
MTR,282,0.0,553
MZ,243,0.0,476
NDB,143,0.0,15
NH,272,0.0,582
NKK,110,0.0,17
NM,150,0.0,350
NMD,155,0.0,371
NMGO,153,0.0,371
NMH,153,0.0,371
NML,149,0.0,364
NS,82,0.0,14
NSCH,142,0.0,62
NVD,87,0.0,23
NVP,186,0.0,217
NWK,183,0.0,412
O,174,0.0,371
OBD,218,0.0,293
ODB,248,0.0,524
ODZ,125,0.0,124
OMN,78,0.0,21
OP,159,0.0,364
OST,76,0.0,14
OT,211,0.0,443
OTB,135,0.0,350
OVN,187,0.0,309
OW,175,0.0,392
PMO,191,0.0,272
PMR,190,0.0,293
PMW,189,0.0,296
PT,103,0.0,14
RAI,164,0.0,18
RAT,73,0.0,14
RB,284,0.0,524
RD,132,0.0,48
RH,121,0.0,93
RHN,185,0.0,362
RL,124,0.0,92
RLB,205,0.0,482
RM,235,0.0,500
RS,186,0.0,392
RSD,255,0.0,519
RSN,103,0.0,35
RSW,206,0.0,427
RTA,188,0.0,412
RTB,199,0.0,482
RTD,198,0.0,412
RTN,193,0.0,414
RTST,203,0.0,482
RTZ,202,0.0,482
RV,224,0.0,486
RVS,166,0.0,350
SBK,267,0.0,581
SD,134,0.0,268
SDA,125,0.0,53
SDM,202,0.0,482
SDT,207,0.0,401
SDTB,210,0.0,402
SGL,291,0.0,567
SGN,226,0.0,385
SHL,176,2.3225806451612905,89
SK,62,0.0,17
SKND,61,0.0,17
SM,230,0.0,500
SN,269,0.0,582
SOG,289,0.0,568
SPTN,192,0.0,309
SPTZ,190,0.0,309
SRN,253,0.0,578
SSH,197,0.0,217
ST,135,0.0,268
STD,260,0.0,549
STM,116,0.0,44
STV,91,0.0,25
STZ,136,0.0,258
SWD,105,0.0,32
SWK,13,29.0,0
TB,212,0.0,400
TBG,165,0.0,139
TBR,217,0.0,413
TBU,213,0.0,413
TG,217,0.0,467
TL,175,0.0,367
TPSW,177,0.0,367
TWL,91,0.0,90
UHM,129,0.0,48
UHZ,126,0.0,48
UST,121,0.0,47
UT,142,0.0,254
UTG,189,0.0,331
UTLN,146,0.0,327
UTLR,145,0.0,327
UTO,139,0.0,254
UTT,147,0.0,327
UTVR,143,0.0,327
UTZL,144,0.0,327
VB,199,0.0,412
VD,114,0.0,90
VDL,283,0.0,568
VDM,125,0.0,60
VEM,106,0.0,90
VG,194,0.0,400
VH,200,0.0,362
VHP,95,0.0,24
VK,292,0.0,568
VL,212,0.0,466
VLB,182,0.0,413
VNDC,177,0.0,361
VNDW,176,0.0,361
VP,125,0.0,96
VRY,189,0.0,414
VS,330,0.0,551
VSS,329,0.0,524
VST,197,0.0,447
VSV,168,0.0,123
VTN,149,0.0,332
VZ,102,0.0,25
WAD,182,0.0,412
WADN,183,0.0,412
WADT,181,0.0,412
WC,159,0.0,350
WD,158,0.0,254
WDN,95,0.0,35
WF,139,0.0,350
WFM,118,0.0,47
WH,69,0.0,14
WK,78,0.0,20
WL,154,0.0,122
WM,182,0.0,296
WP,152,0.0,26
WR,152,0.0,71
WS,130,0.0,62
WSM,110,0.0,33
WT,250,0.0,465
WTV,134,0.0,99
WV,0,0.0,0
WW,147,0.0,104
WWW,146,0.0,104
WZ,64,0.0,14
YPB,195,0.0,330
ZA,153,0.0,364
ZB,117,0.0,56
ZBM,177,0.0,370
ZD,176,0.0,293
ZDK,179,0.0,296
ZH,82,0.0,17
ZL,55,23.12903225806452,0
ZLSH,60,0.0,14
ZLW,232,0.0,519
ZP,102,0.0,90
ZTM,190,0.0,327
ZTMO,189,0.0,412
ZV,143,0.0,102
ZVB,240,0.0,524
ZVT,193,0.0,309
ZWD,216,0.0,587
ZZS,179,0.0,296
