Station Code,Distance from BSMZ,Services from/to BSMZ,Disruptions on path to BSMZ
VH,64,0.0,297
VHP,127,0.0,25
VK,212,0.0,280
VL,153,0.0,397
VLB,123,0.0,344
VNDC,58,0.0,108
VNDW,57,0.0,108
VP,78,0.0,539
VRY,130,0.0,345
VS,211,0.0,298
VSS,210,0.0,271
VST,68,0.0,174
VSV,115,0.0,575
VTN,30,0.0,79
VZ,124,0.0,377
WAD,63,0.0,159
WADN,64,0.0,159
WADT,62,0.0,159
WC,100,0.0,538
WD,39,0.0,74
WDN,113,0.0,283
WF,64,0.0,281
WFM,217,0.0,98
WH,96,0.0,317
WK,220,0.0,261
WL,97,0.0,558
WM,40,0.0,300
WP,10,53.0,11
WR,247,0.0,107
WS,225,0.0,98
WSM,209,0.0,84
WT,131,0.0,212
WTV,77,0.0,540
WV,142,0.0,15
WW,127,0.0,290
WWW,126,0.0,290
WZ,78,0.0,254
YPB,76,0.0,77
ZA,83,0.0,120
ZB,212,0.0,92
ZBM,58,0.0,117
ZD,34,0.0,297
ZDK,37,0.0,300
ZH,205,0.0,83
ZL,87,0.0,1
ZLSH,92,0.0,15
ZLW,113,0.0,266
ZP,82,0.0,276
ZTM,71,0.0,74
ZTMO,70,0.0,159
ZV,86,0.0,538
ZVB,121,0.0,271
ZVT,51,0.0,313
ZWD,97,0.0,334
ZZS,37,0.0,300
