Station Code,Distance from HRLW,Services from/to HRLW,Disruptions on path to HRLW
SPTZ,241,0.0,589
SRN,28,0.0,19
SSH,236,0.0,384
ST,197,0.0,300
STD,21,0.0,17
STM,354,0.0,648
STV,372,0.0,593
STZ,196,0.0,300
SWD,343,0.0,636
SWK,268,0.0,618
TB,135,0.0,130
TBG,186,0.0,512
TBR,140,0.0,143
TBU,136,0.0,143
TG,64,0.0,82
TL,164,0.0,246
TPSW,162,0.0,246
TWL,200,0.0,544
UHM,367,0.0,652
UHZ,364,0.0,652
UST,359,0.0,651
UT,178,0.0,203
UTG,240,0.0,593
UTLN,174,0.0,327
UTLR,181,0.0,276
UTO,181,0.0,276
UTT,183,0.0,276
UTVR,177,0.0,327
UTZL,180,0.0,276
VB,232,0.0,668
VD,191,0.0,478
VDL,2,38.41935483870968,0
VDM,359,0.0,649
VEM,183,0.0,478
VG,126,0.0,249
VH,236,0.0,384
VHP,247,0.0,615
VK,11,38.41935483870968,0
VL,69,0.0,101
VLB,99,0.0,154
VNDC,211,0.0,405
VNDW,210,0.0,405
VP,156,0.0,478
VRY,92,0.0,154
VS,255,0.0,491
VSS,254,0.0,491
VST,233,0.0,469
VSV,193,0.0,512
VTN,185,0.0,281
VZ,240,0.0,614
WAD,218,0.0,361
WADN,219,0.0,361
WADT,217,0.0,361
WC,140,0.0,218
WD,194,0.0,276
WDN,229,0.0,551
WF,158,0.0,475
WFM,356,0.0,651
WH,212,0.0,554
WK,359,0.0,588
WL,175,0.0,495
WM,233,0.0,558
WP,211,0.0,288
WR,386,0.0,660
WS,364,0.0,651
WSM,348,0.0,637
WT,70,0.0,68
WTV,155,0.0,477
WV,281,0.0,568
WW,214,0.0,531
WWW,215,0.0,531
WZ,235,0.0,568
YPB,231,0.0,361
ZA,150,0.0,232
ZB,351,0.0,645
ZBM,143,0.0,203
ZD,227,0.0,555
ZDK,230,0.0,558
ZH,344,0.0,636
ZL,226,0.0,554
ZLSH,231,0.0,568
ZLW,171,0.0,471
ZP,179,0.0,478
ZTM,226,0.0,361
ZTMO,225,0.0,361
ZV,164,0.0,475
ZVB,179,0.0,476
ZVT,244,0.0,572
ZWD,188,0.0,570
ZZS,230,0.0,558
