Station Code,distance_SDA,services_per_day_SDA,n_of_disruptions_SDA
GN,31,37.83870967741935,21
GND,281,0,546
GNN,35,0,36
GO,207,0,222
GP,306,0,536
GR,272,0,544
GS,383,0,712
GV,281,0,486
GVC,280,0,486
GVM,281,0,521
GVMW,282,0,501
GW,98,0,76
GZ,301,0,489
HAD,267,0,525
HB,353,0,656
HBZM,284,0,556
HD,172,0,88
HDB,175,0,95
HDE,151,0,88
HDG,75,0,59
HDR,325,0,610
HDRZ,324,0,610
HFD,259,0,354
HGL,192,0,170
HGLG,194,0,189
HGLO,194,0,189
HGV,85,0,74
HGZ,16,28.612903225806452,4
HIL,274,0,565
HK,270,0,548
HKS,297,0,565
HLG,111,0,77
HLGH,112,0,81
HLM,263,0,488
HLMS,262,0,509
HLO,278,0,515
HM,313,0,536
HMBH,314,0,540
HMBV,310,0,536
HMH,312,0,536
HMN,234,0,438
HN,287,0,509
HNK,288,0,565
HNO,145,0,88
HNP,127,0,79
HON,183,0,164
HOR,221,0,329
HR,114,0,76
HRL,357,0,625
HRLW,359,0,642
HRN,33,0,21
HRT,298,0,540
HT,268,0,401
HTN,228,0,401
HTNC,229,0,429
HTO,269,0,474
HVL,205,0,328
HVS,215,0,328
HVSM,216,0,329
HVSP,216,0,329
HWD,290,0,591
HWZB,255,0,509
HZE,311,0,542
IJT,110,0,77
KBD,365,0,712
KBK,188,0,124
KLP,233,0,446
KMA,262,0,522
KMR,365,0,642
KMW,132,0,84
KPN,148,0,88
KPNZ,148,0,88
KRD,365,0,653
KRG,372,0,712
KTR,241,0,438
KW,19,28.612903225806452,5
KZ,256,0,512
LAA,281,0,515
LC,197,0,164
LDL,269,0,419
LDM,260,0,526
LEDN,270,0,426
LG,360,0,642
LLS,190,0,88
LLZM,265,0,486
LP,57,0,48
LTN,225,0,345
LTV,215,0,166
LUT,342,0,625
LW,85,0,59
LWC,82,0,69
MAS,227,0,401
MDB,402,0,712
MES,365,0,627
MG,95,0,76
MMLH,238,0,445
MP,105,0,74
MRB,167,0,95
MRN,240,0,433
MT,359,0,625
MTH,18,28.612903225806452,5
MTN,362,0,627
MTR,360,0,627
MZ,321,0,547
NDB,221,0,329
NH,350,0,656
NKK,188,0,91
NM,228,0,424
NMD,233,0,445
NMGO,231,0,445
NMH,231,0,445
NML,227,0,438
NS,160,0,88
NSCH,17,20.258064516129032,0
NVD,165,0,88
NVP,264,0,482
NWK,261,0,486
O,252,0,445
OBD,296,0,601
ODB,326,0,681
ODZ,203,0,189
OMN,156,0,95
OP,237,0,438
OST,154,0,88
OT,289,0,517
OTB,213,0,424
OVN,265,0,525
OW,253,0,466
PMO,269,0,510
PMR,268,0,509
PMW,267,0,512
PT,181,0,105
RAI,242,0,233
RAT,151,0,88
RB,362,0,712
RD,69,0,52
RH,199,0,167
RHN,263,0,436
RL,202,0,166
RLB,283,0,565
RM,313,0,574
RS,264,0,466
RSD,333,0,676
RSN,181,0,100
RSW,284,0,501
RTA,266,0,486
RTB,277,0,556
RTD,276,0,486
RTN,271,0,488
RTST,281,0,565
RTZ,280,0,565
RV,302,0,560
RVS,244,0,424
SBK,345,0,655
SD,212,0,342
SDA,0,0,0
SDM,280,0,556
SDT,285,0,556
SDTB,288,0,557
SGL,369,0,641
SGN,304,0,595
SHL,254,0,298
SK,107,0,53
SKND,106,0,53
SM,308,0,574
SN,347,0,656
SOG,367,0,642
SPTN,270,0,537
SPTZ,268,0,537
SRN,331,0,652
SSH,275,0,476
ST,213,0,342
STD,338,0,623
STM,53,0,48
STV,136,0,61
STZ,214,0,332
SWD,42,0,36
SWK,119,0,124
TB,290,0,474
TBG,243,0,213
TBR,295,0,487
TBU,291,0,487
TG,295,0,541
TL,253,0,441
TPSW,255,0,441
TWL,169,0,164
UHM,66,0,52
UHZ,63,0,52
UST,58,0,51
UT,220,0,328
UTG,267,0,541
UTLN,224,0,401
UTLR,223,0,401
UTO,217,0,352
UTT,225,0,401
UTVR,221,0,401
UTZL,222,0,401
VB,277,0,486
VD,192,0,164
VDL,361,0,642
VDM,16,0,4
VEM,184,0,164
VG,272,0,474
VH,278,0,436
VHP,173,0,98
VK,370,0,642
VL,290,0,540
VLB,260,0,487
VNDC,255,0,435
VNDW,254,0,435
VP,203,0,170
VRY,267,0,488
VS,408,0,714
VSS,407,0,714
VST,275,0,521
VSV,246,0,197
VTN,227,0,406
VZ,180,0,99
WAD,260,0,486
WADN,261,0,486
WADT,259,0,486
WC,237,0,424
WD,236,0,328
WDN,173,0,100
WF,217,0,424
WFM,55,0,51
WH,147,0,88
WK,123,0,56
WL,232,0,196
WM,260,0,506
WP,230,0,340
WR,27,17.548387096774192,9
WS,5,40.96774193548387,0
WSM,47,0,37
WT,328,0,536
WTV,212,0,173
WV,125,0,53
WW,225,0,178
WWW,224,0,178
WZ,142,0,88
YPB,273,0,486
ZA,231,0,438
ZB,8,28.612903225806452,0
ZBM,255,0,525
ZD,254,0,503
ZDK,257,0,506
ZH,43,0,36
ZL,133,0,74
ZLSH,138,0,88
ZLW,310,0,676
ZP,180,0,164
ZTM,268,0,486
ZTMO,267,0,486
ZV,221,0,176
ZVB,318,0,681
ZVT,271,0,520
ZWD,294,0,670
ZZS,257,0,506
