Station Code,Distance from DMNZ,Services from/to DMNZ,Disruptions on path to DMNZ
DDN,139,0.0,308
DDR,104,0.0,197
DDRS,105,0.0,232
DDZD,105,0.0,314
DEI,203,0.0,169
DID,108,0.0,555
DL,116,0.0,272
DLD,41,0.0,32
DLN,163,0.0,306
DMN,9,0.0,54
DMNZ,0,0.0,0
DN,135,0.0,215
DR,105,0.0,555
DRH,37,0.0,354
DRON,72,0.0,152
DRP,210,0.0,183
DT,70,0.0,152
DTC,119,0.0,575
DTCH,117,0.0,575
DTCP,71,0.0,253
DV,96,0.032258064516129,258
DVC,100,0.0,324
DVD,2,52.58064516129032,0
DVN,98,0.0,557
DVNK,49,3.4838709677419355,137
DWE,216,0.0,169
DZ,248,0.0,370
DZW,247,0.0,370
EC,178,0.0,260
ED,72,0.0,276
EDC,70,0.0,275
EDN,220,0.0,264
EEM,255,0.0,369
EGH,214,0.0,279
EGHM,215,0.0,279
EHS,112,0.0,268
EHV,113,0.0,149
EKZ,71,0.0,391
EML,61,0.0,261
EMN,179,0.0,307
EMNZ,175,0.0,306
ES,152,0.032258064516129,360
ESK,148,0.0,360
EST,100,0.0,555
ETN,135,0.0,485
FN,216,0.0,169
FWD,213,0.0,169
GBG,152,0.0,292
GD,65,0.0,76
GDG,62,0.0,76
GDM,59,0.0,157
GDR,124,0.0,592
GERP,208,0.0,325
GK,229,0.0,340
GLN,194,0.0,262
GN,210,0.0,325
GND,94,0.0,221
GNN,214,0.0,340
GO,129,0.0,300
GP,119,0.0,211
GR,85,0.0,219
GS,192,0.0,233
GV,62,0.0,137
GVC,61,3.4838709677419355,127
GVM,57,3.4838709677419355,222
GVMW,63,0.0,152
GW,186,0.0,329
GZ,114,0.0,164
HAD,33,0.0,335
HB,205,0.0,293
HBZM,97,0.0,231
HD,65,0.0,261
HDB,146,0.0,279
HDE,86,0.0,258
HDG,209,0.0,169
HDR,91,0.0,420
HDRZ,90,0.0,420
HFD,22,51.61290322580645,127
HGL,144,0.032258064516129,341
HGLG,142,0.0,341
HGLO,146,0.0,360
HGV,152,0.0,152
HGZ,221,0.0,348
HIL,40,0.0,375
HK,36,0.0,358
HKS,63,0.0,375
HLG,225,0.0,170
HLGH,226,0.0,174
HLM,29,0.0,298
HLMS,28,0.0,319
HLO,44,0.0,325
HM,126,0.0,211
HMBH,127,0.0,215
HMBV,123,0.0,211
HMH,125,0.0,211
HMN,90,0.0,203
HN,53,0.0,319
HNK,54,0.0,375
HNO,116,0.0,272
HNP,241,0.0,172
HON,115,0.0,324
HOR,28,16.774193548387096,18
HR,170,0.0,152
HRL,209,0.0,262
HRLW,211,0.0,279
HRN,204,0.0,325
HRT,153,0.0,243
HT,81,0.0,76
HTN,41,0.0,76
HTNC,42,0.0,104
HTO,82,0.0,149
HVL,44,0.0,258
HVS,22,16.806451612903224,17
HVSM,21,16.774193548387096,50
HVSP,23,16.774193548387096,18
HWD,56,0.0,401
HWZB,21,0.0,319
HZE,124,0.0,217
IJT,224,0.0,170
KBD,174,0.0,233
KBK,90,0.0,294
KLP,67,0.0,76
KMA,28,0.0,332
KMR,217,0.0,279
KMW,246,0.0,177
KPN,119,0.0,272
KPNZ,89,0.0,153
KRD,217,0.0,290
KRG,181,0.0,233
KTR,83,0.0,200
KW,218,0.0,346
KZ,22,0.0,322
LAA,60,3.4838709677419355,255
LC,116,0.0,293
LDL,47,0.0,137
LDM,73,0.0,201
LEDN,46,3.4838709677419355,127
LG,212,0.0,279
LLS,47,0.935483870967742,138
LLZM,76,0.0,159
LP,236,0.0,352
LTN,64,0.0,275
LTV,134,0.0,295
LUT,194,0.0,262
LW,199,0.0,152
LWC,202,0.0,169
MAS,26,0.0,17
MDB,211,0.0,233
MES,217,0.0,264
MG,209,0.0,169
MMLH,118,0.0,576
MP,132,0.0,272
MRB,138,0.0,279
MRN,53,0.0,108
MT,211,0.0,262
MTH,219,0.0,348
MTN,214,0.0,264
MTR,212,0.0,264
MZ,134,0.0,222
NDB,16,16.774193548387096,6
NH,202,0.0,293
NKK,49,0.0,258
NM,108,0.0,555
NMD,113,0.0,576
NMGO,111,0.0,576
NMH,111,0.0,576
NML,107,0.0,569
NS,77,0.0,258
NSCH,254,0.0,355
NVD,136,0.0,272
NVP,27,3.4838709677419355,255
NWK,74,0.0,161
O,100,0.0,149
OBD,62,0.0,411
ODB,135,0.0,319
ODZ,155,0.0,360
OMN,127,0.0,279
OP,87,0.0,203
OST,106,0.0,324
OT,102,0.0,192
OTB,85,0.0,298
OVN,31,0.0,335
OW,99,0.0,152
PMO,35,0.0,320
PMR,34,0.0,319
PMW,33,0.0,322
PT,56,0.0,261
RAI,5,52.54838709677419,3
RAT,122,0.0,272
RB,171,0.0,233
RD,248,0.0,356
RH,99,0.0,558
RHN,76,0.0,111
RL,121,0.0,295
RLB,91,0.0,206
RM,165,0.0,211
RS,88,0.0,152
RSD,142,0.0,197
RSN,122,0.0,324
RSW,65,0.0,152
RTA,79,0.0,161
RTB,85,0.0,197
RTD,84,0.0,127
RTN,84,0.0,163
RTST,89,0.0,206
RTZ,88,0.0,206
RV,176,0.0,260
RVS,108,0.0,170
SBK,197,0.0,292
SD,33,0.0,32
SDA,237,0.0,346
SDM,80,0.0,253
SDT,98,0.0,231
SDTB,101,0.0,232
SGL,221,0.0,278
SGN,70,0.0,411
SHL,17,51.64516129032258,77
SK,221,0.0,169
SKND,220,0.0,169
SM,170,0.0,260
SN,199,0.0,293
SOG,219,0.0,279
SPTN,36,0.0,353
SPTZ,34,0.0,353
SRN,183,0.0,289
SSH,38,3.4838709677419355,255
ST,34,0.0,32
STD,190,0.0,260
STM,232,0.0,352
STV,250,0.0,177
STZ,35,0.0,32
SWD,221,0.0,340
SWK,146,0.0,322
TB,103,0.0,149
TBG,125,0.0,592
TBR,108,0.0,162
TBU,104,0.0,162
TG,170,0.0,296
TL,71,0.0,200
TPSW,69,0.0,200
TWL,91,0.0,293
UHM,245,0.0,356
UHZ,242,0.0,356
UST,237,0.0,355
UT,33,16.774193548387096,3
UTG,33,0.0,357
UTLN,37,0.0,76
UTLR,36,0.0,76
UTO,36,16.774193548387096,76
UTT,38,0.0,76
UTVR,34,0.0,76
UTZL,31,0.0,20
VB,64,0.0,156
VD,111,0.0,293
VDL,213,0.0,279
VDM,237,0.0,353
VEM,95,0.0,295
VG,85,0.0,149
VH,50,0.0,378
VHP,144,0.0,282
VK,222,0.0,279
VL,165,0.0,295
VLB,140,0.0,618
VNDC,68,0.0,110
VNDW,67,0.0,110
VP,95,0.0,558
VRY,147,0.0,619
VS,217,0.0,235
VSS,216,0.0,235
VST,51,3.4838709677419355,222
VSV,132,0.0,592
VTN,40,0.0,81
VZ,141,0.0,394
WAD,71,0.0,248
WADN,70,0.0,248
WADT,72,0.0,161
WC,115,0.0,173
WD,49,0.0,76
WDN,130,0.0,331
WF,81,0.0,298
WFM,234,0.0,355
WH,113,0.0,334
WK,237,0.0,172
WL,114,0.0,575
WM,26,0.0,322
WP,7,54.064516129032256,0
WR,264,0.0,364
WS,242,0.0,355
WSM,226,0.0,341
WT,141,0.0,211
WTV,94,0.0,557
WV,159,0.0,152
WW,144,0.0,307
WWW,143,0.0,307
WZ,95,0.0,271
YPB,68,0.0,159
ZA,93,0.0,203
ZB,229,0.0,349
ZBM,68,0.0,200
ZD,20,0.0,319
ZDK,23,0.0,322
ZH,222,0.0,340
ZL,104,0.0,258
ZLSH,109,0.0,272
ZLW,119,0.0,314
ZP,99,0.0,293
ZTM,73,0.0,156
ZTMO,74,0.0,159
ZV,103,0.0,555
ZVB,127,0.0,319
ZVT,37,0.0,336
ZWD,102,0.0,311
ZZS,23,0.0,322
