Station Code,Distance from NM,Services from/to NM,Disruptions on path to NM
CVM,135,0.0,198
DA,114,0.0,396
DB,65,38.58064516129032,22
DDN,88,0.0,275
DDR,102,27.483870967741936,92
DDRS,99,0.0,92
DDZD,103,27.483870967741936,209
DEI,194,0.0,367
DID,38,0.0,257
DL,107,0.0,350
DLD,79,0.0,280
DLN,147,0.0,427
DMN,108,0.0,298
DMNZ,108,0.0,281
DN,88,0.0,95
DR,35,66.58064516129032,257
DRH,142,0.0,590
DRON,127,0.0,350
DRP,201,0.0,381
DT,136,0.0,209
DTC,49,0.0,277
DTCH,47,0.0,277
DTCP,135,0.0,279
DV,64,32.54838709677419,260
DVC,68,0.0,326
DVD,108,0.0,330
DVN,28,0.0,259
DVNK,130,0.0,438
DWE,207,0.0,367
DZ,239,0.0,448
DZW,238,0.0,448
EC,98,0.0,178
ED,36,47.516129032258064,0
EDC,38,0.0,22
EDN,140,0.0,182
EEM,246,0.0,447
EGH,134,0.0,197
EGHM,135,0.0,197
EHS,74,0.0,170
EHV,75,0.0,94
EKZ,176,0.0,645
EML,93,0.0,280
EMN,163,0.0,428
EMNZ,159,0.0,427
ES,101,0.0,327
ESK,97,0.0,327
EST,8,47.41935483870968,0
ETN,97,36.54838709677419,430
FN,207,0.0,367
FWD,204,0.0,367
GBG,136,0.0,413
GD,109,0.0,330
GDG,106,0.0,330
GDM,53,0.0,17
GDR,54,0.0,294
GERP,199,0.0,403
GK,220,0.0,418
GLN,114,0.0,180
GN,201,0.0,403
GND,88,0.0,81
GNN,205,0.0,418
GO,78,0.0,267
GP,81,0.0,156
GR,79,0.0,79
GS,160,0.0,435
GV,138,0.0,415
GVC,137,0.0,333
GVM,138,0.0,523
GVMW,139,0.0,430
GW,177,0.0,407
GZ,76,28.483870967741936,109
HAD,138,0.0,573
HB,125,0.0,211
HBZM,91,0.0,91
HD,97,0.0,283
HDB,130,0.0,400
HDE,113,0.0,350
HDG,200,0.0,367
HDR,196,33.67741935483871,674
HDRZ,195,33.67741935483871,674
HFD,128,0.0,418
HGL,93,0.0,308
HGLG,91,0.0,308
HGLO,95,0.0,327
HGV,143,0.0,350
HGZ,212,0.0,426
HIL,145,0.0,438
HK,141,0.0,612
HKS,168,0.0,629
HLG,216,0.0,368
HLGH,217,0.0,372
HLM,134,0.0967741935483871,552
HLMS,133,0.0,573
HLO,149,35.903225806451616,579
HM,88,0.0,137
HMBH,89,0.0,141
HMBV,85,0.0,156
HMH,87,0.0,156
HMN,22,0.0,14
HN,158,0.0,573
HNK,159,0.0,629
HNO,107,0.0,350
HNP,232,0.0,370
HON,83,0.0,260
HOR,89,0.0,330
HR,161,0.0,407
HRL,129,0.0,180
HRLW,131,0.0,197
HRN,195,0.0,403
HRT,70,0.0,95
HT,43,66.38709677419355,21
HTN,71,0.0,113
HTNC,70,0.0,113
HTO,42,29.806451612903224,21
HVL,64,0.0,40
HVS,86,0.0,280
HVSM,87,0.0,281
HVSP,87,0.0,281
HWD,161,33.67741935483871,655
HWZB,126,0.0,573
HZE,86,0.0,162
IJT,215,0.0,368
KBD,142,0.0,435
KBK,57,0.0,260
KLP,43,27.61290322580645,22
KMA,133,0.0,586
KMR,137,0.0,197
KMW,237,0.0,375
KPN,110,0.0,350
KPNZ,110,0.0,350
KRD,137,0.0,208
KRG,149,0.0,435
KTR,29,0.0,14
KW,209,0.0,424
KZ,127,0.0,576
LAA,138,0.0,362
LC,65,0.0,260
LDL,126,0.0,421
LDM,67,0.0,61
LEDN,127,0.0,428
LG,132,0.0,197
LLS,141,0.0,424
LLZM,122,0.0,415
LP,227,0.0,430
LTN,44,0.0,23
LTV,83,0.0,262
LUT,114,0.0,180
LW,190,0.0,350
LWC,193,0.0,367
MAS,84,0.0,330
MDB,179,0.0,462
MES,137,0.0,182
MG,200,0.0,367
MMLH,10,47.2258064516129,0
MP,123,0.0,350
MRB,122,0.0,397
MRN,73,0.0,54
MT,131,0.0,180
MTH,210,0.0,426
MTN,134,0.0,182
MTR,132,0.0,182
MZ,96,0.0,167
NDB,92,0.0,281
NH,122,0.0,211
NKK,81,0.0,280
NM,0,0.0,0
NMD,5,54.516129032258064,0
NMGO,3,54.54838709677419,0
NMH,3,47.2258064516129,0
NML,1,44.87096774193548,0
NS,109,0.0,280
NSCH,245,0.0,433
NVD,106,0.0,267
NVP,133,0.0,546
NWK,118,0.0,415
O,24,66.38709677419355,0
OBD,167,0.0,573
ODB,117,0.0,435
ODZ,104,0.0,327
OMN,118,0.0,357
OP,25,0.0,14
OST,74,32.54838709677419,326
OT,64,0.0,137
OTB,23,0.0,257
OVN,136,0.0,589
OW,25,29.806451612903224,21
PMO,140,0.0,552
PMR,139,0.0,573
PMW,138,0.0,576
PT,88,0.0,280
RAI,111,0.0,333
RAT,113,0.0,350
RB,139,0.0,466
RD,239,0.0,434
RH,29,31.516129032258064,258
RHN,96,0.0,57
RL,70,0.0,262
RLB,115,0.0,308
RM,85,34.354838709677416,129
RS,36,29.83870967741936,21
RSD,110,36.54838709677419,430
RSN,90,0.0,260
RSW,141,0.0,430
RTA,123,0.0,415
RTB,121,0.0,209
RTD,122,0.0,209
RTN,127,0.0,279
RTST,117,0.0,209
RTZ,118,0.0,209
RV,74,34.354838709677416,115
RVS,16,29.806451612903224,0
SBK,117,0.0,210
SD,83,0.0,294
SDA,228,0.0,424
SDM,126,0.0,279
SDT,92,0.0,91
SDTB,95,0.0,92
SGL,141,0.0,196
SGN,175,33.67741935483871,665
SHL,123,7.419354838709677,344
SK,212,0.0,367
SKND,211,0.0,367
SM,80,34.354838709677416,129
SN,119,0.0,211
SOG,139,0.0,197
SPTN,141,0.0,589
SPTZ,139,0.0,589
SRN,103,0.0,207
SSH,135,0.0,438
ST,84,0.0,294
STD,110,0.0,178
STM,223,0.0,430
STV,241,0.0,375
STZ,85,0.0,284
SWD,212,0.0,418
SWK,137,0.0,400
TB,65,64.80645161290323,94
TBG,55,0.0,294
TBR,70,28.483870967741936,107
TBU,66,28.387096774193548,107
TG,67,34.354838709677416,96
TL,41,0.0,17
TPSW,43,0.0,17
TWL,69,0.0,326
UHM,236,0.0,434
UHZ,233,0.0,434
UST,228,0.0,433
UT,77,47.516129032258064,257
UTG,138,0.0,611
UTLN,75,0.0,141
UTLR,80,0.0,330
UTO,80,0.0,330
UTT,82,0.0,330
UTVR,76,0.0,98
UTZL,79,0.0,330
VB,134,0.0,415
VD,60,0.0,260
VDL,133,0.0,197
VDM,228,0.0,431
VEM,52,0.0,260
VG,47,0.0,94
VH,135,0.0,438
VHP,116,0.0,397
VK,142,0.0,197
VL,62,38.45161290322581,95
VLB,32,47.2258064516129,42
VNDC,88,0.0,56
VNDW,87,0.0,56
VP,25,31.516129032258064,258
VRY,39,47.2258064516129,43
VS,185,0.0,462
VSS,184,0.0,435
VST,132,0.0,523
VSV,62,0.0,294
VTN,84,0.0,335
VZ,109,0.0,396
WAD,117,0.0,415
WADN,118,0.0,415
WADT,116,0.0,415
WC,9,54.516129032258064,0
WD,93,0.0,330
WDN,98,0.0,267
WF,27,0.032258064516129,0
WFM,225,0.0,433
WH,81,32.54838709677419,336
WK,228,0.0,370
WL,44,0.0,277
WM,131,0.032258064516129,576
WP,101,0.0,292
WR,255,0.0,442
WS,233,0.0,433
WSM,217,0.0,419
WT,103,0.0,137
WTV,24,0.0,259
WV,150,0.0,350
WW,83,0.0,313
WWW,84,0.0,313
WZ,104,0.0,350
YPB,130,0.0,333
ZA,19,0.0,14
ZB,220,0.0,427
ZBM,56,0.0,94
ZD,125,35.903225806451616,573
ZDK,128,0.0,576
ZH,213,0.0,418
ZL,95,32.54838709677419,336
ZLSH,100,0.0,350
ZLW,101,27.483870967741936,448
ZP,48,66.58064516129032,260
ZTM,125,0.0,330
ZTMO,124,0.0,415
ZV,33,0.0,257
ZVB,109,0.0,453
ZVT,142,0.0,589
ZWD,104,0.0,209
ZZS,128,0.0,576
