Station Code,Distance from HVS,Services from/to HVS,Disruptions on path to HVS
NSCH,232,0.0,97
NVD,114,0.0,23
NVP,49,0.0,202
NWK,59,0.0,158
O,85,0.0,146
OBD,81,0.0,279
ODB,124,0.0,270
ODZ,133,0.0,342
OMN,105,0.0,21
OP,72,0.0,119
OST,84,0.0,306
OT,87,0.0,189
OTB,63,0.0,280
OVN,50,0.0,295
OW,84,0.0,146
PMO,54,0.0,258
PMR,53,0.0,279
PMW,52,0.0,282
PT,34,0.0,240
RAI,27,15.064516129032258,3
RAT,100,0.0,14
RB,160,0.0,270
RD,226,0.0,98
RH,77,0.0,538
RHN,61,0.0,108
RL,99,0.0,277
RLB,81,0.0,228
RM,150,0.0,211
RS,73,0.0,146
RSD,131,0.0,265
RSN,100,0.0967741935483871,275
RSW,82,0.0,173
RTA,64,0.0,158
RTB,75,0.0,228
RTD,74,0.0,158
RTN,69,0.0,160
RTST,79,0.0,228
RTZ,78,0.0,228
RV,160,0.0,416
RVS,93,0.0,167
SBK,182,0.0,292
SD,11,0.0,14
SDA,215,0.0,88
SDM,78,0.0,228
SDT,83,0.0,147
SDTB,86,0.0,148
SGL,206,0.0,278
SGN,89,0.0,371
SHL,39,66.54838709677419,74
SK,199,0.0,257
SKND,198,0.0,257
SM,155,0.0,260
SN,184,0.0,293
SOG,204,0.0,279
SPTN,55,0.0,295
SPTZ,53,0.0,295
SRN,168,0.0,289
SSH,60,0.0,202
ST,12,0.0,14
STD,175,0.0,260
STM,210,0.0,94
STV,228,0.0,265
STZ,13,0.0,14
SWD,199,0.0,82
SWK,124,0.0,64
TB,88,0.0,146
TBG,103,0.0,574
TBR,93,0.0,159
TBU,89,0.0,159
TG,153,0.0,397
TL,56,0.0,116
TPSW,54,0.0,116
TWL,69,0.0,275
UHM,223,0.0,98
UHZ,220,0.0,98
UST,215,0.0,97
UT,18,53.83870967741935,0
UTG,52,0.0,317
UTLN,22,0.0,73
UTLR,21,0.0,73
UTO,15,53.80645161290322,0
UTT,23,0.0,73
UTVR,19,0.0,73
UTZL,20,0.0,73
VB,75,0.0,158
VD,89,0.0,275
VDL,198,0.0,279
VDM,215,0.0,95
VEM,73,0.0,277
VG,70,0.0,146
VH,69,0.0,279
VHP,122,0.0,24
VK,207,0.0,279
VL,148,0.0,396
VLB,118,0.0,343
VNDC,53,0.0,107
VNDW,52,0.0,107
VP,73,0.0,538
VRY,125,0.0,344
VS,206,0.0,297
VSS,205,0.0,270
VST,73,0.0,297
VSV,110,0.0,574
VTN,25,0.0,78
VZ,119,0.0,376
WAD,58,0.0,158
WADN,59,0.0,158
WADT,57,0.0,158
WC,95,0.0,537
WD,34,0.0,73
WDN,108,0.0,282
WF,59,0.0,280
WFM,212,0.0,97
WH,91,0.0,316
WK,215,0.0,260
WL,92,0.0,557
WM,45,0.0,282
WP,15,53.0,11
WR,242,0.0,106
WS,220,0.0,97
WSM,204,0.0,83
WT,126,0.0,211
WTV,72,0.0,539
WV,137,0.0,14
WW,122,0.0,289
WWW,121,0.0,289
WZ,73,0.0,253
YPB,71,0.0,76
ZA,78,0.0,119
ZB,207,0.0,91
ZBM,53,0.0,116
ZD,39,0.0,279
ZDK,42,0.0,282
ZH,200,0.0,82
ZL,82,0.064516129032258,0
ZLSH,87,0.0,14
ZLW,108,0.0,265
ZP,77,0.0,275
ZTM,66,0.0,73
ZTMO,65,0.0,158
ZV,81,0.0,537
ZVB,116,0.0,270
ZVT,56,0.0,295
ZWD,92,0.0,333
ZZS,42,0.0,282
