Station Code,Distance from HM,Services from/to HM,Disruptions on path to HM
OMN,203,0.0,450
OP,95,0.0,162
OST,162,0.0,466
OT,42,0.0,43
OTB,111,0.0,397
OVN,153,0.0,484
OW,63,0.935483870967742,116
PMO,157,0.0,447
PMR,156,0.0,468
PMW,155,0.0,471
PT,132,0.0,429
RAI,127,0.0,192
RAT,198,0.0,443
RB,124,0.0,421
RD,324,0.0,527
RH,117,0.0,398
RHN,134,0.0,319
RL,158,0.0,402
RLB,114,0.0,601
RM,62,0.0,62
RS,52,0.935483870967742,116
RSD,95,0.0,385
RSN,178,0.0,400
RSW,140,0.0,603
RTA,131,0.0,455
RTB,120,1.4516129032258065,502
RTD,121,1.4516129032258065,385
RTN,126,0.0,455
RTST,116,0.0,502
RTZ,117,0.0,385
RV,51,0.0,48
RVS,72,0.0,137
SBK,94,0.0,143
SD,113,0.0,213
SDA,313,0.0,517
SDM,125,1.4516129032258065,455
SDT,106,0.0,190
SDTB,108,0.0,502
SGL,118,0.0,129
SGN,192,0.0,560
SHL,139,43.54838709677419,203
SK,297,0.0,446
SKND,296,0.0,446
SM,57,0.0,62
SN,96,0.0,144
SOG,116,0.0,130
SPTN,158,0.0,484
SPTZ,156,0.0,484
SRN,80,0.0,140
SSH,151,0.0,297
ST,112,0.0,213
STD,87,0.0,111
STM,308,0.0,523
STV,326,0.0,454
STZ,111,0.0,213
SWD,297,0.0,511
SWK,222,0.0,493
TB,50,0.0,43
TBG,143,0.0,434
TBR,55,0.0,56
TBU,51,0.0,56
TG,44,0.0,29
TL,79,0.0,159
TPSW,77,0.0,159
TWL,157,0.0,466
UHM,321,0.0,527
UHZ,318,0.0,527
UST,313,0.0,526
UT,93,43.61290322580645,116
UTG,155,0.0,506
UTLN,89,0.0,240
UTLR,96,0.0,189
UTO,96,0.0,189
UTT,98,0.0,189
UTVR,92,0.0,240
UTZL,95,0.0,189
VB,147,0.0,647
VD,148,0.0,400
VDL,110,0.0,130
VDM,313,0.0,524
VEM,140,0.0,400
VG,41,27.90322580645161,43
VH,151,0.0,297
VHP,204,0.0,537
VK,119,0.0,130
VL,39,36.41935483870968,28
VLB,65,0.0,80
VNDC,126,0.0,318
VNDW,125,0.0,318
VP,113,0.0,398
VRY,58,0.0,80
VS,170,0.0,417
VSS,169,0.0,390
VST,148,0.0,382
VSV,150,0.0,434
VTN,100,0.0,194
VZ,197,0.0,536
WAD,133,0.0,274
WADN,134,0.0,274
WADT,132,0.0,274
WC,79,0.0,140
WD,109,0.0,189
WDN,186,0.0,407
WF,115,0.0,397
WFM,310,0.0,526
WH,169,0.0,476
WK,313,0.0,449
WL,132,0.0,417
WM,148,0.0,471
WP,126,0.0,201
WR,340,0.0,535
WS,318,0.0,526
WSM,302,0.0,512
WT,41,0.0,62
WTV,112,0.0,399
WV,235,0.0,443
WW,171,0.0,453
WWW,172,0.0,453
WZ,171,0.0,442
YPB,146,0.0,192
ZA,101,0.0,162
ZB,305,0.0,520
ZBM,58,0.0,116
ZD,142,0.0,468
ZDK,145,0.0,471
ZH,298,0.0,511
ZL,180,0.0,429
ZLSH,185,0.0,443
ZLW,86,0.0,403
ZP,136,0.0,400
ZTM,141,0.0,189
ZTMO,140,0.0,274
ZV,121,0.0,397
ZVB,94,0.0,408
ZVT,159,0.0,484
ZWD,103,0.0,502
ZZS,145,0.0,471
