Station Code,Distance from EGH,Services from/to EGH,Disruptions on path to EGH
GVM,158,0.0,32
GVMW,152,0.0,17
GW,311,0.0,625
GZ,149,0.0,126
HAD,194,0.0,42
HB,9,0.0,17
HBZM,193,0.0,258
HD,229,0.0,500
HDB,264,0.0,618
HDE,247,0.0,568
HDG,334,0.0,585
HDR,275,0.0,177
HDRZ,274,0.0,177
HFD,193,0.0,32
HGL,227,0.0,526
HGLG,225,0.0,526
HGLO,229,0.0,545
HGV,277,0.0,568
HGZ,346,0.0,644
HIL,187,0.0,42
HK,214,0.0,62
HKS,262,0.0,119
HLG,350,0.0,586
HLGH,351,0.0,590
HLM,198,0.0,42
HLMS,199,0.0,42
HLO,228,0.0,62
HM,111,0.0,130
HMBH,110,0.0,130
HMBV,111,0.0,130
HMH,112,0.0,134
HMN,156,0.0,232
HN,252,0.0,63
HNK,253,0.0,119
HNO,241,0.0,568
HNP,366,0.0,588
HON,217,0.0,478
HOR,193,0.0,257
HR,295,0.0,625
HRL,5,37.54838709677419,0
HRLW,7,36.41935483870968,17
HRN,329,0.0,621
HRT,84,0.0,154
HT,133,0.0,111
HTN,173,0.0,280
HTNC,172,0.0,280
HTO,134,0.0,184
HVL,198,0.0,258
HVS,199,0.0,257
HVSM,200,0.0,258
HVSP,198,0.0,257
HWD,240,0.0,158
HWZB,206,0.0,42
HZE,90,0.0,70
IJT,349,0.0,586
KBD,215,0.0,458
KBK,191,0.0,478
KLP,177,0.0,240
KMA,222,0.0,63
KMR,13,36.41935483870968,17
KMW,371,0.0,593
KPN,244,0.0,568
KPNZ,244,0.0,568
KRD,3,37.54838709677419,10
KRG,222,0.0,458
KTR,163,0.0,232
KW,343,0.0,642
KZ,221,0.0,66
LAA,155,0.0,32
LC,199,0.0,478
LDL,170,0.0,42
LDM,169,0.0,228
LEDN,169,0.0,32
LG,2,37.54838709677419,0
LLS,254,0.0,401
LLZM,169,0.0,61
LP,361,0.0,648
LTN,178,0.0,241
LTV,217,0.0,480
LUT,28,0.0,19
LW,324,0.0,568
LWC,327,0.0,585
MAS,188,0.0,257
MDB,252,0.0,485
MES,25,36.41935483870968,17
MG,334,0.0,585
MMLH,124,0.0,186
MP,257,0.0,568
MRB,256,0.0,615
MRN,199,0.0,384
MT,31,36.41935483870968,17
MTH,344,0.0,644
MTN,28,36.41935483870968,31
MTR,32,36.41935483870968,19
MZ,80,0.0,68
NDB,205,0.0,258
NH,12,0.0,17
NKK,213,0.0,497
NM,134,0.0,197
NMD,139,0.0,218
NMGO,137,0.0,218
NMH,131,0.0,197
NML,135,0.0,218
NS,241,0.0,497
NSCH,379,0.0,651
NVD,240,0.0,485
NVP,188,0.0,42
NWK,188,0.0,246
O,152,0.0,184
OBD,246,0.0,168
ODB,190,0.0,458
ODZ,238,0.0,545
OMN,252,0.0,575
OP,159,0.0,232
OST,208,0.0,544
OT,130,0.0,111
OTB,157,0.0,475
OVN,200,0.0,42
OW,151,0.0,184
PMO,234,0.0,63
PMR,233,0.0,63
PMW,232,0.0,66
PT,220,0.0,497
RAI,210,0.0,185
RAT,247,0.0,568
RB,212,0.0,489
RD,373,0.0,652
RH,163,0.0,476
RHN,222,0.0,387
RL,204,0.0,480
RLB,180,0.0,188
RM,49,0.0,19
RS,140,0.0,184
RSD,183,0.0,453
RSN,224,0.0,478
RSW,154,0.0,17
RTA,183,0.0,188
RTB,174,0.0,188
RTD,173,0.0,118
RTN,178,0.0,188
RTST,178,0.0,188
RTZ,177,0.0,188
RV,60,0.0,68
RVS,150,0.0,218
SBK,17,0.0,17
SD,201,0.0,281
SDA,362,0.0,642
SDM,169,0.0,118
SDT,194,0.0,258
SDTB,196,0.0,570
SGL,21,36.41935483870968,17
SGN,254,0.0,168
SHL,198,0.0,61
SK,346,0.0,585
SKND,345,0.0,585
SM,54,0.0,68
SN,15,0.0,17
SOG,15,36.41935483870968,17
SPTN,205,0.0,42
SPTZ,203,0.0,42
SRN,31,0.0,19
SSH,177,0.0,42
ST,200,0.0,281
STD,24,0.0,17
STM,357,0.0,648
STV,375,0.0,593
STZ,199,0.0,281
SWD,346,0.0,636
SWK,271,0.0,618
TB,138,0.0,111
TBG,189,0.0,512
TBR,143,0.0,124
TBU,139,0.0,124
TG,67,0.0,82
TL,167,0.0,227
TPSW,165,0.0,227
TWL,203,0.0,544
UHM,370,0.0,652
UHZ,367,0.0,652
UST,362,0.0,651
UT,181,0.0,184
UTG,217,0.0,62
UTLN,177,0.0,308
UTLR,184,0.0,257
UTO,184,0.0,257
UTT,186,0.0,257
UTVR,180,0.0,308
UTZL,183,0.0,257
VB,157,0.0,61
VD,194,0.0,478
VDL,9,36.41935483870968,17
VDM,362,0.0,649
VEM,186,0.0,478
VG,129,0.0,111
VH,177,0.0,42
VHP,250,0.0,615
VK,18,36.41935483870968,17
VL,72,0.0,101
VLB,102,0.0,154
VNDC,214,0.0,386
VNDW,213,0.0,386
VP,159,0.0,476
VRY,95,0.0,154
VS,258,0.0,485
VSS,257,0.0,458
VST,164,0.0,35
VSV,196,0.0,512
VTN,188,0.0,262
VZ,243,0.0,614
WAD,190,0.0,117
WADN,191,0.0,117
WADT,189,0.0,117
WC,143,0.0,218
WD,197,0.0,257
WDN,232,0.0,485
WF,161,0.0,218
WFM,359,0.0,651
WH,215,0.0,554
WK,362,0.0,588
WL,178,0.0,495
WM,224,0.0,88
WP,214,0.0,269
WR,389,0.0,660
WS,367,0.0,651
WSM,351,0.0,637
WT,73,0.0,68
WTV,158,0.0,477
WV,284,0.0,568
WW,217,0.0,531
WWW,218,0.0,531
WZ,238,0.0,568
YPB,161,0.0,64
ZA,153,0.0,232
ZB,354,0.0,645
ZBM,146,0.0,184
ZD,219,0.0,63
ZDK,222,0.0,66
ZH,347,0.0,636
ZL,229,0.0,554
ZLSH,234,0.0,568
ZLW,174,0.0,471
ZP,182,0.0,478
ZTM,166,0.0,61
ZTMO,167,0.0,61
ZV,167,0.0,475
ZVB,182,0.0,476
ZVT,206,0.0,42
ZWD,191,0.0,293
ZZS,222,0.0,66
