Station Code,Distance from BNK,Services from/to BNK,Disruptions on path to BNK
OW,72,0.0,197
PMO,72,0.0,331
PMR,71,0.0,352
PMW,70,0.0,355
PT,47,0.0,313
RAI,42,0.0,76
RAT,113,0.0,327
RB,148,0.0,278
RD,239,0.0,411
RH,60,0.0,312
RHN,35,36.96774193548387,35
RL,101,0.0,316
RLB,71,0.0,228
RM,138,0.0,240
RS,61,0.0,197
RSD,119,0.0,273
RSN,113,0.0,348
RSW,72,0.0,173
RTA,54,0.0,158
RTB,65,0.0,228
RTD,64,0.0,158
RTN,59,0.0,160
RTST,69,0.0,228
RTZ,68,0.0,228
RV,143,0.0,190
RVS,81,0.0,218
SBK,170,0.0,321
SD,28,0.0,97
SDA,228,0.0,401
SDM,68,0.0,228
SDT,71,0.0,155
SDTB,74,0.0,156
SGL,194,0.0,307
SGN,107,0.0,444
SHL,54,0.0,87
SK,212,0.0,330
SKND,211,0.0,330
SM,143,0.0,289
SN,172,0.0,322
SOG,192,0.0,308
SPTN,73,0.0,368
SPTZ,71,0.0,368
SRN,156,0.0,318
SSH,66,0.0,181
ST,27,0.0,97
STD,163,0.0,289
STM,223,0.0,407
STV,241,0.0,338
STZ,26,0.0,97
SWD,212,0.0,395
SWK,137,0.0,377
TB,76,0.0,197
TBG,86,0.0,348
TBR,81,0.0,210
TBU,77,0.0,210
TG,136,0.0,171
TL,44,0.0,124
TPSW,42,0.0,124
TWL,82,0.0,348
UHM,236,0.0,411
UHZ,233,0.0,411
UST,228,0.0,410
UT,8,42.096774193548384,0
UTG,70,3.3548387096774195,390
UTLN,10,0.0,0
UTLR,11,0.0,73
UTO,11,0.0,73
UTT,13,0.0,73
UTVR,7,42.096774193548384,0
UTZL,10,40.67741935483871,73
VB,65,0.0,158
VD,91,0.0,314
VDL,186,0.0,308
VDM,228,0.0,408
VEM,83,0.0,314
VG,58,0.0,197
VH,66,0.0,181
VHP,135,0.0,337
VK,195,0.0,308
VL,131,0.0,170
VLB,101,0.0,117
VNDC,27,36.96774193548387,34
VNDW,26,36.96774193548387,34
VP,56,0.0,312
VRY,108,0.0,118
VS,194,0.0,305
VSS,193,0.0,278
VST,63,0.0,266
VSV,93,0.0,348
VTN,15,0.0,78
VZ,132,0.0,449
WAD,48,0.0,158
WADN,49,0.0,158
WADT,47,0.0,158
WC,78,0.0,311
WD,24,0.0,73
WDN,121,0.0,355
WF,42,0.0,54
WFM,225,0.0,410
WH,104,0.0,389
WK,228,0.0,333
WL,75,0.0,331
WM,63,3.3548387096774195,355
WP,41,0.0,85
WR,255,0.0,419
WS,233,0.0,410
WSM,217,0.0,396
WT,114,0.0,240
WTV,55,0.0,313
WV,150,0.0,327
WW,114,0.0,367
WWW,115,0.0,367
WZ,86,0.0,326
YPB,61,0.0,76
ZA,66,0.0,127
ZB,220,0.0,404
ZBM,41,0.0,124
ZD,57,3.3548387096774195,352
ZDK,60,0.0,355
ZH,213,0.0,395
ZL,95,0.0,313
ZLSH,100,0.0,327
ZLW,96,0.0,273
ZP,79,0.0,314
ZTM,56,0.0,73
ZTMO,55,0.0,158
ZV,64,0.0,311
ZVB,104,0.0,278
ZVT,74,0.0,368
ZWD,82,0.0,333
ZZS,60,3.3548387096774195,355
