Station Code,Distance from NS,Services from/to NS,Disruptions on path to NS
SDTB,128,0.0,469
SGL,248,0.0,515
SGN,144,0.0,612
SHL,94,0.0,318
SK,144,0.0,31
SKND,143,0.0,31
SM,189,0.0,687
SN,226,0.0,530
SOG,246,0.0,516
SPTN,110,0.0,554
SPTZ,108,0.0,554
SRN,210,0.0,526
SSH,115,0.0,496
ST,53,0.0,254
STD,217,0.0,497
STM,155,0.0,94
STV,173,0.0,39
STZ,54,0.0,244
SWD,144,0.0,82
SWK,69,0.032258064516129,64
TB,130,0.0,386
TBG,126,0.0,574
TBR,135,0.0,399
TBU,131,0.0,399
TG,176,0.0,654
TL,98,0.0,437
TPSW,96,0.0,437
TWL,63,0.0,90
UHM,168,0.0,98
UHZ,165,0.0,98
UST,160,0.0,97
UT,60,35.54838709677419,240
UTG,107,0.0,558
UTLN,64,0.0,313
UTLR,63,0.0,313
UTO,57,35.483870967741936,264
UTT,65,0.0,313
UTVR,61,0.0,313
UTZL,62,0.0,313
VB,117,0.0,398
VD,86,0.0,90
VDL,240,0.0,516
VDM,160,0.0,95
VEM,78,0.0,90
VG,112,0.0,386
VH,118,0.0,348
VHP,67,0.0,24
VK,249,0.0,516
VL,171,0.0,653
VLB,141,0.0,600
VNDC,95,0.0,347
VNDW,94,0.0,347
VP,96,0.0,540
VRY,148,0.0,601
VS,248,0.0,626
VSS,247,0.0,626
VST,115,0.0,433
VSV,133,0.0,574
VTN,67,0.0,318
VZ,74,0.0,25
WAD,100,0.0,398
WADN,101,0.0,398
WADT,99,0.0,398
WC,118,0.0,537
WD,76,0.0,240
WDN,67,0.0,26
WF,82,0.0,280
WFM,157,0.0,97
WH,41,0.0,14
WK,160,0.0,34
WL,115,0.0,557
WM,100,0.0,523
WP,70,0.0,252
WR,187,0.0,106
WS,165,0.0,97
WSM,149,0.0,83
WT,168,0.0,448
WTV,95,0.0,539
WV,82,0.0,14
WW,119,0.0,104
WWW,118,0.0,104
WZ,18,36.67741935483871,13
YPB,113,0.0,398
ZA,112,0.0,551
ZB,152,0.0,91
ZBM,95,0.0,437
ZD,94,0.0,520
ZDK,97,0.0,523
ZH,145,0.0,82
ZL,27,36.70967741935484,0
ZLSH,32,0.0,14
ZLW,150,0.0,588
ZP,74,0.0,90
ZTM,108,0.0,398
ZTMO,107,0.0,398
ZV,104,0.0,537
ZVB,158,0.0,593
ZVT,111,0.0,537
ZWD,134,0.0,582
ZZS,97,0.0,523
