Station Code,Distance from ZA,Services from/to ZA,Disruptions on path to ZA
DRH,126,0.0,514
DRON,130,0.0,364
DRP,204,0.0,395
DT,117,0.0,267
DTC,52,0.0,291
DTCH,50,0.0,291
DTCP,116,0.0,267
DV,67,0.0,274
DVC,71,0.0,340
DVD,91,0.0,200
DVN,31,0.0,273
DVNK,113,0.0,308
DWE,210,0.0,381
DZ,242,0.0,462
DZW,241,0.0,462
EC,117,0.0,213
ED,39,0.0,271
EDC,41,0.0,293
EDN,159,0.0,217
EEM,249,0.0,461
EGH,153,0.0,232
EGHM,154,0.0,232
EHS,87,0.0,238
EHV,88,0.0,119
EKZ,160,0.0,551
EML,96,0.0,554
EMN,166,0.0,442
EMNZ,162,0.0,441
ES,104,0.0,341
ESK,100,0.0,341
EST,11,28.032258064516128,0
ETN,110,0.0,455
FN,210,0.0,381
FWD,207,0.0,381
GBG,139,0.0,427
GD,92,0.0,200
GDG,89,0.0,200
GDM,34,0.0,3
GDR,57,0.0,308
GERP,202,0.0,417
GK,223,0.0,432
GLN,133,0.0,215
GN,204,0.0,417
GND,69,0.0,67
GNN,208,0.0,432
GO,81,0.0,281
GP,94,0.0,181
GR,60,0.0,65
GS,171,0.0,233
GV,121,0.0,285
GVC,120,0.0,285
GVM,121,0.0,393
GVMW,122,0.0,300
GW,180,0.0,371
GZ,89,0.0,134
HAD,122,0.0,495
HB,144,0.0,246
HBZM,72,0.0,77
HD,100,0.0,554
HDB,133,0.0,414
HDE,116,0.0,364
HDG,203,0.0,381
HDR,180,0.0,580
HDRZ,179,0.0,580
HFD,111,0.0,264
HGL,96,0.0,322
HGLG,94,0.0,322
HGLO,98,0.0,341
HGV,146,0.0,364
HGZ,215,0.0,440
HIL,128,0.0,308
HK,125,0.0,518
HKS,152,0.0,535
HLG,219,0.0,382
HLGH,220,0.0,386
HLM,118,0.0,458
HLMS,117,0.0,479
HLO,133,0.0,485
HM,101,0.0,181
HMBH,102,0.0,185
HMBV,98,0.0,181
HMH,100,0.0,181
HMN,3,28.032258064516128,0
HN,142,0.0,479
HNK,143,0.0,535
HNO,110,0.0,364
HNP,235,0.0,384
HON,86,0.0,340
HOR,72,0.0,200
HR,164,0.0,364
HRL,148,0.0,215
HRLW,150,0.0,232
HRN,198,0.0,417
HRT,89,0.0,130
HT,56,0.0,46
HTN,52,0.0,99
HTNC,51,0.0,99
HTO,57,0.0,119
HVL,67,0.0,311
HVS,78,0.0,200
HVSM,79,0.0,201
HVSP,77,0.0,200
HWD,145,0.0,561
HWZB,110,0.0,479
HZE,99,0.0,187
IJT,218,0.0,382
KBD,153,0.0,233
KBK,60,0.0,274
KLP,46,0.0,293
KMA,117,0.0,492
KMR,156,0.0,232
KMW,240,0.0,389
KPN,113,0.0,364
KPNZ,113,0.0,364
KRD,156,0.0,243
KRG,160,0.0,233
KTR,10,28.032258064516128,0
KW,212,0.0,438
KZ,111,0.0,482
LAA,121,0.0,314
LC,68,0.0,274
LDL,109,0.0,291
LDM,48,0.0,47
LEDN,110,0.0,298
LG,151,0.0,232
LLS,133,0.0,344
LLZM,105,0.0,285
LP,230,0.0,444
LTN,47,0.0,294
LTV,86,0.0,276
LUT,133,0.0,215
LW,193,0.0,364
LWC,196,0.0,381
MAS,67,0.0,200
MDB,190,0.0,233
MES,156,0.0,217
MG,203,0.0,381
MMLH,29,0.0,35
MP,126,0.0,364
MRB,125,0.0,411
MRN,76,0.0,325
MT,150,0.0,215
MTH,213,0.0,440
MTN,153,0.0,217
MTR,151,0.0,217
MZ,109,0.0,192
NDB,84,0.0,201
NH,141,0.0,246
NKK,84,0.0,551
NM,19,0.0,14
NMD,24,0.0,35
NMGO,22,0.0,35
NMH,22,0.0,35
NML,18,0.0,14
NS,112,0.0,551
NSCH,248,0.0,447
NVD,109,0.0,347
NVP,116,0.0,392
NWK,101,0.0,285
O,43,0.0,35
OBD,151,0.0,571
ODB,114,0.0,202
ODZ,107,0.0,341
OMN,121,0.0,371
OP,6,28.032258064516128,0
OST,77,0.0,340
OT,77,0.0,162
OTB,26,0.0,271
OVN,120,0.0,495
OW,44,0.0,56
PMO,124,0.0,480
PMR,123,0.0,479
PMW,122,0.0,482
PT,91,0.0,554
RAI,94,0.0,203
RAT,116,0.0,364
RB,150,0.0,233
RD,242,0.0,448
RH,32,0.0,274
RHN,99,0.0,328
RL,73,0.0,276
RLB,96,0.0,296
RM,104,0.0,164
RS,55,0.0,56
RSD,121,0.0,197
RSN,93,0.0,340
RSW,122,0.0,368
RTA,106,0.0,285
RTB,102,0.0,197
RTD,103,0.0,197
RTN,108,0.0,267
RTST,98,0.0,302
RTZ,99,0.0,302
RV,93,0.0,150
RVS,35,0.0,35
SBK,136,0.0,245
SD,80,0.0,224
SDA,231,0.0,438
SDM,107,0.0,267
SDT,73,0.0,77
SDTB,76,0.0,78
SGL,160,0.0,231
SGN,159,0.0,571
SHL,106,0.0,214
SK,215,0.0,381
SKND,214,0.0,381
SM,99,0.0,164
SN,138,0.0,246
SOG,158,0.0,232
SPTN,125,0.0,513
SPTZ,123,0.0,513
SRN,122,0.0,242
SSH,118,0.0,308
ST,79,0.0,224
STD,129,0.0,213
STM,226,0.0,444
STV,244,0.0,389
STZ,78,0.0,224
SWD,215,0.0,432
SWK,140,0.0,414
TB,78,0.0,119
TBG,58,0.0,308
TBR,83,0.0,132
TBU,79,0.0,132
TG,86,0.0,131
TL,22,28.032258064516128,3
TPSW,24,0.0,3
TWL,72,0.0,340
UHM,239,0.0,448
UHZ,236,0.0,448
UST,231,0.0,447
UT,60,0.0,127
UTG,122,0.0,517
UTLN,56,0.0,127
UTLR,63,0.0,200
UTO,63,0.0,200
UTT,65,0.0,200
UTVR,59,0.0,127
UTZL,62,0.0,200
VB,117,0.0,285
VD,63,0.0,274
VDL,152,0.0,232
VDM,231,0.0,445
VEM,55,0.0,274
VG,60,0.0,119
VH,118,0.0,308
VHP,119,0.0,411
VK,161,0.0,232
VL,81,0.0,130
VLB,51,0.0,77
VNDC,91,0.0,327
VNDW,90,0.0,327
VP,28,0.0,274
VRY,58,0.0,78
VS,196,0.0,235
VSS,195,0.0,235
VST,115,0.0,393
VSV,65,0.0,308
VTN,67,0.0,205
VZ,112,0.0,410
WAD,100,0.0,285
WADN,101,0.0,285
WADT,99,0.0,285
WC,28,0.0,35
WD,76,0.0,200
WDN,101,0.0,347
WF,30,0.0,271
WFM,228,0.0,447
WH,84,0.0,350
WK,231,0.0,384
WL,47,0.0,291
WM,115,0.0,482
WP,93,0.0,212
WR,258,0.0,456
WS,236,0.0,447
WSM,220,0.0,433
WT,116,0.0,181
WTV,27,0.0,273
WV,153,0.0,364
WW,86,0.0,327
WWW,87,0.0,327
WZ,107,0.0,364
YPB,113,0.0,285
ZA,0,0.0,0
ZB,223,0.0,441
ZBM,43,0.0,46
ZD,109,0.0,479
ZDK,112,0.0,482
ZH,216,0.0,432
ZL,98,0.0,350
ZLSH,103,0.0,364
ZLW,98,0.0,197
ZP,51,0.0,274
ZTM,108,0.0,285
ZTMO,107,0.0,285
ZV,36,0.0,271
ZVB,106,0.0,202
ZVT,126,0.0,496
ZWD,85,0.0,197
ZZS,112,0.0,482
