Station Code,distance_HGLO,services_per_day_HGLO,n_of_disruptions_HGLO
GDG,158,0,343
GDM,132,0,344
GDR,109,0,116
GERP,165,0,168
GK,186,0,183
GLN,209,0,528
GN,167,0,168
GND,167,0,408
GNN,171,0,183
GO,17,34.0,52
GP,176,0,504
GR,158,0,406
GS,255,0,814
GV,190,0,500
GVC,189,0,500
GVM,190,0,535
GVMW,191,0,515
GW,143,0,122
GZ,171,0,457
HAD,176,0,638
HB,220,0,559
HBZM,170,0,418
HD,100,0,115
HDB,43,0,93
HDE,79,0,115
HDG,166,0,132
HDR,234,0,723
HDRZ,233,0,723
HFD,168,0,470
HGL,2,35.774193548387096,0
HGLG,4,34.0,19
HGLO,0,0,0
HGV,109,0,115
HGZ,178,0,191
HIL,183,0,678
HK,179,0,661
HKS,206,0,678
HLG,182,0,133
HLGH,183,0,137
HLM,172,0,601
HLMS,171,0,622
HLO,187,0,628
HM,183,0,504
HMBH,184,0,508
HMBV,180,0,504
HMH,182,0,504
HMN,101,0,341
HN,196,0,622
HNK,197,0,678
HNO,49,0,101
HNP,198,0,135
HON,36,0,96
HOR,130,0,343
HR,127,0,115
HRL,224,0,528
HRLW,226,0,545
HRN,161,0,168
HRT,165,0,443
HT,138,0,369
HTN,137,0,415
HTNC,138,0,443
HTO,137,0,369
HVL,114,0,342
HVS,124,0,342
HVSM,125,0,343
HVSP,125,0,343
HWD,199,0,704
HWZB,164,0,622
HZE,181,0,510
IJT,181,0,133
KBD,237,0,814
KBK,56,0,67
KLP,100,0,349
KMA,171,0,635
KMR,232,0,545
KMW,203,0,140
KPN,76,0,115
KPNZ,76,0,115
KRD,232,0,556
KRG,244,0,814
KTR,108,0,341
KW,175,0,189
KZ,165,0,625
LAA,190,0,529
LC,30,32.16129032258065,60
LDL,178,0,433
LDM,146,0,388
LEDN,179,0,440
LG,227,0,545
LLS,118,0,115
LLZM,174,0,500
LP,193,0,195
LTN,101,0,350
LTV,82,0,69
LUT,209,0,528
LW,156,0,115
LWC,159,0,132
MAS,136,0,415
MDB,274,0,814
MES,232,0,530
MG,166,0,132
MMLH,105,0,348
MP,89,0,115
MRB,35,0,90
MRN,130,0,381
MT,226,0,528
MTH,176,0,191
MTN,229,0,530
MTR,227,0,530
MZ,191,0,515
NDB,130,0,343
NH,217,0,559
NKK,116,0,118
NM,95,0,327
NMD,100,0,348
NMGO,98,0,348
NMH,98,0,348
NML,94,0,341
NS,88,0,115
NSCH,211,0,198
NVD,29,0,89
NVP,173,0,598
NWK,170,0,500
O,119,0,348
OBD,205,0,714
ODB,212,0,783
ODZ,9,35.83870967741935,0
OMN,46,0,93
OP,104,0,341
OST,65,0,155
OT,159,0,485
OTB,80,0,327
OVN,174,0,638
OW,120,0,369
PMO,178,0,623
PMR,177,0,622
PMW,176,0,625
PT,109,0,132
RAI,151,0,346
RAT,43,0,101
RB,234,0,814
RD,205,0,199
RH,66,0,70
RHN,153,0,384
RL,69,0,69
RLB,192,0,579
RM,180,0,477
RS,131,0,369
RSD,205,0,778
RSN,29,0,89
RSW,193,0,515
RTA,175,0,500
RTB,186,0,570
RTD,185,0,500
RTN,180,0,502
RTST,190,0,579
RTZ,189,0,579
RV,169,0,463
RVS,111,0,327
SBK,212,0,558
SD,121,0,356
SDA,194,0,189
SDM,189,0,570
SDT,171,0,418
SDTB,174,0,419
SGL,236,0,544
SGN,213,0,714
SHL,163,0,420
SK,178,0,132
SKND,177,0,132
SM,175,0,477
SN,214,0,559
SOG,234,0,545
SPTN,179,0,656
SPTZ,177,0,656
SRN,198,0,555
SSH,184,0,598
ST,122,0,356
STD,205,0,526
STM,189,0,195
STV,207,0,140
STZ,123,0,346
SWD,178,0,183
SWK,103,0,165
TB,160,0,442
TBG,110,0,116
TBR,165,0,455
TBU,161,0,455
TG,162,0,444
TL,120,0,344
TPSW,122,0,344
TWL,60,0,155
UHM,202,0,199
UHZ,199,0,199
UST,194,0,198
UT,129,0,342
UTG,176,0,660
UTLN,133,0,415
UTLR,132,0,415
UTO,126,0,366
UTT,134,0,415
UTVR,130,0,415
UTZL,131,0,415
VB,186,0,500
VD,59,0,67
VDL,228,0,545
VDM,194,0,196
VEM,51,0,67
VG,142,0,442
VH,187,0,450
VHP,29,0,90
VK,237,0,545
VL,157,0,443
VLB,127,0,390
VNDC,145,0,383
VNDW,144,0,383
VP,70,0,73
VRY,134,0,391
VS,280,0,816
VSS,279,0,816
VST,184,0,535
VSV,113,0,100
VTN,136,0,420
VZ,22,0,89
WAD,169,0,500
WADN,170,0,500
WADT,168,0,500
WC,104,0,327
WD,145,0,342
WDN,21,0,89
WF,84,0,327
WFM,191,0,198
WH,72,0,165
WK,194,0,135
WL,99,0,99
WM,169,0,625
WP,139,0,354
WR,221,0,207
WS,199,0,198
WSM,183,0,184
WT,198,0,504
WTV,79,0,76
WV,116,0,115
WW,92,0,81
WWW,91,0,81
WZ,70,0,115
YPB,182,0,500
ZA,98,0,341
ZB,186,0,192
ZBM,141,0,387
ZD,163,0,622
ZDK,166,0,625
ZH,179,0,183
ZL,61,0,101
