Station Code,Distance from DDRS,Services from/to DDRS,Disruptions on path to DDRS
HLGH,281,0.0,410
HLM,90,0.0,243
HLMS,91,0.0,243
HLO,120,0.0,263
HM,104,0.0,502
HMBH,105,0.0,506
HMBV,101,0.0,502
HMH,103,0.0,502
HMN,77,0.0,78
HN,144,0.0,264
HNK,145,0.0,320
HNO,171,0.0,402
HNP,296,0.0,408
HON,166,0.0,352
HOR,84,0.0,148
HR,225,0.0,459
HRL,187,0.0,553
HRLW,189,0.0,570
HRN,259,0.0,455
HRT,131,0.0,534
HT,68,0.0,75
HTN,64,0.0,128
HTNC,63,0.0,128
HTO,69,0.0,148
HVL,99,0.0,388
HVS,90,0.0,148
HVSM,91,0.0,149
HVSP,89,0.0,148
HWD,132,0.0,359
HWZB,98,0.0,243
HZE,102,0.0,508
IJT,279,0.0,406
KBD,73,0.0,122
KBK,140,0.0,352
KLP,104,0.0,232
KMA,114,0.0,264
KMR,195,0.0,570
KMW,301,0.0,413
KPN,174,0.0,402
KPNZ,174,0.0,402
KRD,195,0.0,581
KRG,80,0.0,122
KTR,70,0.0,75
KW,273,0.0,476
KZ,113,0.0,267
LAA,47,0.0,233
LC,148,0.0,352
LDL,62,0.0,243
LDM,32,32.16129032258065,31
LEDN,61,0.0,233
LG,190,0.0,570
LLS,145,0.0,292
LLZM,60,0.0,272
LP,291,0.0,482
LTN,119,0.0,405
LTV,166,0.0,354
LUT,172,0.0,553
LW,254,0.0,388
LWC,257,0.0,405
MAS,79,0.0,148
MDB,110,0.0,149
MES,195,0.0,555
MG,264,0.0,405
MMLH,109,0.0,113
MP,187,0.0,402
MRB,193,0.0,409
MRN,90,0.0,232
MT,189,0.0,553
MTH,274,0.0,478
MTN,192,0.0,555
MTR,190,0.0,555
MZ,112,0.0,513
NDB,96,0.0,149
NH,180,0.0,584
NKK,104,0.0,388
NM,99,0.0,92
NMD,104,0.0,113
NMGO,102,0.0,113
NMH,102,0.0,113
NML,98,0.0,92
NS,132,0.0,388
NSCH,309,0.0,485
NVD,189,0.0,359
NVP,80,0.0,243
NWK,38,0.0,245
O,87,0.0,148
OBD,138,0.0,369
ODB,34,0.0,122
ODZ,187,0.0,419
OMN,182,0.0,409
OP,74,0.0,78
OST,157,0.0,418
OT,62,0.0,453
OTB,106,0.0,349
OVN,92,0.0,243
OW,86,0.0,148
PMO,126,0.0,264
PMR,125,0.0,264
PMW,124,0.0,267
PT,111,0.0,388
RAI,102,0.0,386
RAT,177,0.0,402
RB,70,0.0,122
RD,303,0.0,486
RH,112,0.0,350
RHN,113,0.0,235
RL,153,0.0,354
RLB,16,0.0,216
RM,143,0.0,502
RS,75,0.0,148
RSD,41,0.0,117
RSN,173,0.0,352
RSW,42,0.0,218
RTA,33,0.0,187
RTB,22,0.0,117
RTD,23,0.0,117
RTN,28,0.0,187
RTST,18,0.0,117
RTZ,19,0.0,117
RV,154,0.0,551
RVS,95,0.0,169
SBK,175,0.0,583
SD,92,0.0,172
SDA,292,0.0,476
SDM,27,0.0,187
SDT,7,57.29032258064516,0
SDTB,4,57.29032258064516,0
SGL,199,0.0,569
SGN,146,0.0,369
SHL,90,0.0,262
SK,276,0.0,405
SKND,275,0.0,405
SM,148,0.0,551
SN,177,0.0,584
SOG,197,0.0,570
SPTN,97,0.0,243
SPTZ,95,0.0,243
SRN,161,0.0,580
SSH,69,0.0,243
ST,91,0.0,172
STD,168,0.0,551
STM,287,0.0,482
STV,305,0.0,413
STZ,90,0.0,172
SWD,276,0.0,470
SWK,201,0.0,452
TB,54,0.0,440
TBG,138,0.0,386
TBR,49,0.0,459
TBU,53,0.0,461
TG,148,0.0,503
TL,58,0.0,75
TPSW,56,0.0,75
TWL,146,0.0,423
UHM,300,0.0,486
UHZ,297,0.0,486
UST,292,0.0,485
UT,72,0.0,75
UTG,109,0.0,263
UTLN,68,0.0,156
UTLR,75,0.0,148
UTO,75,0.0,148
UTT,74,0.0,282
UTVR,71,0.0,156
UTZL,74,0.0,148
VB,49,0.0,262
VD,143,0.0,352
VDL,191,0.0,570
VDM,292,0.0,483
VEM,135,0.0,352
VG,72,0.0,148
VH,69,0.0,243
VHP,199,0.0,412
VK,200,0.0,570
VL,143,0.0,502
VLB,131,0.0,155
VNDC,105,0.0,234
VNDW,104,0.0,234
VP,108,0.0,350
VRY,138,0.0,156
VS,116,0.0,149
VSS,115,0.0,122
VST,56,0.0,236
VSV,145,0.0,386
VTN,72,0.0,273
VZ,192,0.0,488
WAD,55,0.0,272
WADN,56,0.0,272
WADT,54,0.0,272
WC,102,0.0,172
WD,63,0.0,272
WDN,181,0.0,359
WF,110,0.0,349
WFM,289,0.0,485
WH,164,0.0,428
WK,292,0.0,408
WL,127,0.0,369
WM,116,0.0,289
WP,105,0.0,160
WR,319,0.0,494
WS,297,0.0,485
WSM,281,0.0,471
WT,119,0.0,502
WTV,107,0.0,351
WV,214,0.0,402
WW,166,0.0,405
WWW,167,0.0,405
WZ,150,0.0,401
YPB,53,0.0,265
ZA,80,0.0,78
ZB,284,0.0,479
ZBM,55,0.0,75
ZD,111,0.0,264
ZDK,114,0.0,267
ZH,277,0.0,470
ZL,159,0.0,388
ZLSH,164,0.0,402
ZLW,18,0.0,117
ZP,131,0.0,352
ZTM,58,0.0,262
ZTMO,59,0.0,262
ZV,116,0.0,349
ZVB,26,0.0,122
ZVT,98,0.0,243
ZWD,5,0.0,117
ZZS,114,0.0,267
