Station Code,Distance from RD,Services from/to RD,Disruptions on path to RD
GDM,257,0.0,363
GDR,253,0.0,175
GERP,40,0.0,31
GK,57,0.0,31
GLN,353,0.0,587
GN,38,34.03225806451613,16
GND,292,0.0,427
GNN,34,34.0,16
GO,218,0.0,193
GP,317,0.0,501
GR,283,0.0,425
GS,394,0.0,560
GV,292,0.064516129032258,0
GVC,291,0.064516129032258,1
GVM,292,0.0,483
GVMW,293,0.064516129032258,0
GW,105,0.0,48
GZ,312,0.0,451
HAD,278,0.0,329
HB,364,0.0,618
HBZM,295,0.0,437
HD,183,0.0,50
HDB,186,0.0,57
HDE,162,0.0,50
HDG,82,0.0,31
HDR,336,0.0,430
HDRZ,335,0.0,430
HFD,270,0.0,255
HGL,203,0.0,141
HGLG,205,0.0,160
HGLO,205,0.0,160
HGV,96,0.0,31
HGZ,53,0.0,54
HIL,285,0.0,329
HK,281,0.0,368
HKS,308,0.0,385
HLG,118,0.0,49
HLGH,119,0.0,53
HLM,274,0.0,308
HLMS,273,0.0,329
HLO,289,0.0,335
HM,324,0.0,501
HMBH,325,0.0,505
HMBV,321,0.0,501
HMH,323,0.0,501
HMN,245,0.0,400
HN,298,0.0,329
HNK,299,0.0,385
HNO,156,0.0,50
HNP,134,0.0,51
HON,194,0.0,126
HOR,232,0.0,51
HR,121,0.0,48
HRL,368,0.0,587
HRLW,370,0.0,604
HRN,44,0.0,31
HRT,309,0.0,502
HT,279,0.0,363
HTN,239,0.0,363
HTNC,240,0.0,391
HTO,280,0.0,436
HVL,216,0.0,290
HVS,226,0.0,50
HVSM,227,0.0,51
HVSP,227,0.0,51
HWD,301,0.0,411
HWZB,266,0.0,329
HZE,322,0.0,507
IJT,117,0.0,49
KBD,376,0.0,560
KBK,199,0.0,86
KLP,244,0.0,408
KMA,273,0.0,342
KMR,376,0.0,604
KMW,139,0.0,56
KPN,159,0.0,50
KPNZ,159,0.0,50
KRD,376,0.0,615
KRG,383,0.0,560
KTR,252,0.0,400
KW,50,0.0,52
KZ,267,0.0,332
LAA,292,0.0,30
LC,208,0.0,126
LDL,280,0.0,381
LDM,271,0.0,407
LEDN,281,0.0,388
LG,371,0.0,604
LLS,201,0.0,36
LLZM,276,0.0,448
LP,42,0.0,27
LTN,236,0.0,307
LTV,226,0.0,128
LUT,353,0.0,587
LW,92,0.0,31
LWC,89,0.0,41
MAS,238,0.0,363
MDB,413,0.0,587
MES,376,0.0,589
MG,102,0.0,48
MMLH,249,0.0,407
MP,116,0.0,31
MRB,178,0.0,57
MRN,251,0.0,395
MT,370,0.0,587
MTH,51,0.0,54
MTN,373,0.0,589
MTR,371,0.0,589
MZ,332,0.0,512
NDB,232,0.0,51
NH,361,0.0,618
NKK,199,0.0,53
NM,239,0.0,386
NMD,244,0.0,407
NMGO,242,0.0,407
NMH,242,0.0,407
NML,238,0.0,400
NS,171,0.0,50
NSCH,86,0.0,61
NVD,176,0.0,59
NVP,275,0.0,383
NWK,272,0.0,448
O,263,0.0,407
OBD,307,0.0,329
ODB,337,0.0,560
ODZ,214,0.0,160
OMN,167,0.0,57
OP,248,0.0,400
OST,165,0.0,50
OT,300,0.0,479
OTB,224,0.0,386
OVN,276,0.0,345
OW,264,0.0,428
PMO,280,0.0,308
PMR,279,0.0,329
PMW,278,0.0,332
PT,192,0.0,50
RAI,253,0.0,184
RAT,162,0.0,50
RB,373,0.0,560
RD,0,0.0,0
RH,210,0.0,129
RHN,274,0.0,398
RL,213,0.0,128
RLB,294,0.0,518
RM,324,0.0,536
RS,275,0.0,428
RSD,344,0.0,555
RSN,192,0.0,71
RSW,295,0.064516129032258,0
RTA,277,0.0,448
RTB,288,0.0,518
RTD,287,0.0,448
RTN,282,0.0,450
RTST,292,0.0,518
RTZ,291,0.0,518
RV,313,0.0,522
RVS,255,0.0,386
SBK,356,0.0,617
SD,223,0.0,304
SDA,69,0.0,52
SDM,291,0.0,518
SDT,296,0.0,437
SDTB,299,0.0,438
SGL,380,0.0,603
SGN,315,0.0,421
SHL,265,0.0,255
SK,114,0.0,48
SKND,113,0.0,48
SM,319,0.0,536
SN,358,0.0,618
SOG,378,0.0,604
SPTN,281,0.0,345
SPTZ,279,0.0,345
SRN,342,0.0,614
SSH,286,0.0,383
ST,224,0.0,304
STD,349,0.0,585
STM,38,0.0,27
STV,143,0.0,56
STZ,225,0.0,294
SWD,27,34.03225806451613,15
SWK,130,0.0,81
TB,301,0.0,436
TBG,254,0.0,175
TBR,306,0.0,449
TBU,302,0.0,449
TG,306,0.0,503
TL,264,0.0,403
TPSW,266,0.0,403
TWL,180,0.0,126
UHM,3,34.25806451612903,0
UHZ,6,34.25806451612903,0
UST,11,34.25806451612903,0
UT,231,0.0,290
UTG,278,0.0,367
UTLN,235,0.0,363
UTLR,234,0.0,363
UTO,228,0.0,290
UTT,236,0.0,363
UTVR,232,0.0,363
UTZL,233,0.0,363
VB,288,0.0,448
VD,203,0.0,126
VDL,372,0.0,604
VDM,69,0.0,59
VEM,195,0.0,126
VG,283,0.0,436
VH,289,0.0,398
VHP,184,0.0,60
VK,381,0.0,604
VL,301,0.0,502
VLB,271,0.0,449
VNDC,266,0.0,397
VNDW,265,0.0,397
VP,214,0.0,132
VRY,278,0.0,450
VS,419,0.0,587
VSS,418,0.0,560
VST,286,0.0,483
VSV,257,0.0,159
VTN,238,0.0,368
VZ,191,0.0,61
WAD,271,0.0,448
WADN,272,0.0,448
WADT,270,0.0,448
WC,248,0.0,386
WD,247,0.0,290
WDN,184,0.0,71
WF,228,0.0,386
WFM,14,34.0,1
WH,158,0.0,50
WK,130,0.0,51
WL,243,0.0,158
WM,271,0.0,332
WP,241,0.0,182
WR,96,0.0,70
WS,74,0.0,61
WSM,22,34.0,15
WT,339,0.0,501
WTV,223,0.0,135
WV,132,0.0,48
WW,236,0.0,140
WWW,235,0.0,140
WZ,153,0.0,50
YPB,284,0.0,366
ZA,242,0.0,400
ZB,61,0.0,55
ZBM,266,0.0,406
ZD,265,0.0,329
ZDK,268,0.0,332
ZH,50,0.0,31
ZL,144,0.0,36
ZLSH,149,0.0,50
ZLW,321,0.0,555
ZP,191,0.0,126
ZTM,279,0.0,363
ZTMO,278,0.0,448
ZV,232,0.0,138
ZVB,329,0.0,560
ZVT,282,0.0,345
ZWD,305,0.0,623
ZZS,268,0.0,332
