Station Code,Distance from BTL,Services from/to BTL,Disruptions on path to BTL
VSV,117,0.0,391
VTN,67,0.0,151
VZ,164,0.0,493
WAD,100,0.0,231
WADN,101,0.0,231
WADT,99,0.0,231
WC,46,0.0,97
WD,76,0.0,146
WDN,153,0.0,364
WF,82,0.0,354
WFM,277,0.0,483
WH,136,0.0,433
WK,280,0.0,406
WL,99,0.0,374
WM,115,0.0,428
WP,93,0.0,158
WR,307,0.0,492
WS,285,0.0,483
WSM,269,0.0,469
WT,48,28.580645161290324,0
WTV,79,0.0,356
WV,202,0.0,400
WW,138,0.0,410
WWW,139,0.0,410
WZ,138,0.0,399
YPB,113,0.0,149
ZA,68,0.0,119
ZB,272,0.0,477
ZBM,25,0.0,73
ZD,109,0.0,425
ZDK,112,0.0,428
ZH,265,0.0,468
ZL,147,0.0,386
ZLSH,152,0.0,400
ZLW,53,0.0,354
ZP,103,0.0,357
ZTM,108,0.0,146
ZTMO,107,0.0,231
ZV,88,0.0,354
ZVB,61,0.0,359
ZVT,126,0.0,441
ZWD,70,0.0,453
ZZS,112,0.0,428
