Station Code,Distance from RAT,Services from/to RAT,Disruptions on path to RAT
DR,78,0.0,90
DRH,156,0.0,310
DRON,50,0.0,14
DRP,124,0.0,45
DT,174,0.0,427
DTC,122,0.0,122
DTCH,120,0.0,122
DTCP,174,0.0,482
DV,49,0.0,24
DVC,52,0.0,19
DVD,124,0.0,15
DVN,101,0.0,99
DVNK,158,0.0,362
DWE,130,0.0,31
DZ,162,0.0,112
DZW,161,0.0,112
EC,211,0.0,549
ED,111,0.0,350
EDC,113,0.0,372
EDN,253,0.0,553
EEM,169,0.0,111
EGH,247,0.0,568
EGHM,248,0.0,568
EHS,184,0.0,403
EHV,185,0.0,403
EKZ,190,0.0,365
EML,61,0.0,17
EMN,87,0.0,114
EMNZ,83,0.0,113
ES,49,47.096774193548384,101
ESK,45,37.83870967741935,101
EST,105,0.0,350
ETN,207,0.0,736
FN,130,0.0,31
FWD,127,0.0,31
GBG,60,0.0,99
GD,137,0.0,327
GDG,134,0.0,327
GDM,131,0.0,327
GDR,127,0.0,139
GERP,122,0.0,67
GK,143,0.0,82
GLN,227,0.0,551
GN,124,0.0,67
GND,166,0.0,391
GNN,128,0.0,82
GO,56,0.0,134
GP,191,0.0,465
GR,157,0.0,389
GS,268,0.0,524
GV,166,0.0,412
GVC,165,0.0,330
GVM,166,0.0,447
GVMW,167,0.0,427
GW,100,0.0,71
GZ,186,0.0,415
HAD,152,0.0,293
HB,238,0.0,582
HBZM,169,0.0,401
HD,57,0.0,14
HDB,54,0.0,86
HDE,36,0.0,14
HDG,123,0.0,31
HDR,210,0.0,394
HDRZ,209,0.0,394
HFD,144,0.0,89
HGL,41,47.096774193548384,82
HGLG,43,0.0,101
HGLO,43,0.0,101
HGV,66,0.0,14
HGZ,135,0.0,90
HIL,159,0.0,293
HK,155,0.0,332
HKS,182,0.0,349
HLG,139,0.0,32
HLGH,140,0.0,36
HLM,148,0.0,272
HLMS,147,0.0,293
HLO,163,0.0,299
HM,198,0.0,465
HMBH,199,0.0,469
HMBV,195,0.0,465
HMH,197,0.0,465
HMN,119,0.0,364
HN,172,0.0,293
HNK,173,0.0,349
HNO,6,37.935483870967744,0
HNP,155,0.0,34
HON,37,0.0,19
HOR,106,0.0,15
HR,84,0.0,71
HRL,242,0.0,551
HRLW,244,0.0,568
HRN,118,0.0,67
HRT,183,0.0,466
HT,153,0.0,327
HTN,113,0.0,327
HTNC,114,0.0,355
HTO,154,0.0,400
HVL,90,0.0,254
HVS,100,0.0,14
HVSM,101,0.0,15
HVSP,101,0.0,15
HWD,175,0.0,375
HWZB,140,0.0,293
HZE,196,0.0,471
IJT,138,0.0,32
KBD,250,0.0,524
KBK,73,0.0,50
KLP,118,0.0,372
KMA,147,0.0,306
KMR,250,0.0,568
KMW,160,0.0,39
KPN,33,0.0,14
KPNZ,33,0.0,14
KRD,250,0.0,579
KRG,257,0.0,524
KTR,126,0.0,364
KW,132,0.0,88
KZ,141,0.0,296
LAA,166,0.0,359
LC,69,0.0,142
LDL,154,0.0,345
LDM,145,0.0,371
LEDN,155,0.0,352
LG,245,0.0,568
LLS,75,0.0,14
LLZM,150,0.0,412
LP,150,0.0,94
LTN,110,0.0,271
LTV,100,0.0,92
LUT,227,0.0,551
LW,113,0.0,14
LWC,116,0.0,31
MAS,112,0.0,327
MDB,287,0.0,551
MES,250,0.0,553
MG,123,0.0,31
MMLH,123,0.0,371
MP,46,0.0,14
MRB,46,0.0,83
MRN,125,0.0,359
MT,244,0.0,551
MTH,133,0.0,90
MTN,247,0.0,553
MTR,245,0.0,553
MZ,206,0.0,476
NDB,106,0.0,15
NH,235,0.0,582
NKK,73,0.0,17
NM,113,0.0,350
NMD,118,0.0,371
NMGO,116,0.0,371
NMH,116,0.0,371
NML,112,0.0,364
NS,45,0.0,14
NSCH,168,0.0,97
NVD,14,47.096774193548384,0
NVP,149,0.0,217
NWK,146,0.0,412
O,137,0.0,371
OBD,181,0.0,293
ODB,211,0.0,524
ODZ,52,0.0,101
OMN,41,0.0,21
OP,122,0.0,364
OST,39,0.0,14
OT,174,0.0,443
OTB,98,0.0,350
OVN,150,0.0,309
OW,138,0.0,392
PMO,154,0.0,272
PMR,153,0.0,293
