Station Code,Distance from DR,Services from/to DR,Disruptions on path to DR
NDB,89,0.0,538
NH,157,0.0,489
NKK,78,0.0,537
NM,35,67.16129032258064,257
NMD,40,24.70967741935484,278
NMGO,38,24.70967741935484,278
NMH,38,0.0,278
NML,34,31.774193548387096,271
NS,87,0.0,90
NSCH,210,0.0,173
NVD,71,0.0,73
NVP,130,0.0,522
NWK,115,0.0,415
O,59,34.483870967741936,278
OBD,164,0.0,909
ODB,152,0.0,713
ODZ,69,0.0,67
OMN,83,0.0,97
OP,44,0.0,271
OST,39,34.41935483870968,66
OT,99,0.0,415
OTB,20,0.0,257
OVN,133,0.0,833
OW,60,0.0,299
PMO,137,0.0,818
PMR,136,0.0,817
PMW,135,0.0,820
PT,85,0.0,540
RAI,108,0.0,333
RAT,78,0.0,90
RB,174,0.0,744
RD,204,0.0,174
RH,6,32.645161290322584,0
RHN,93,0.0,314
RL,35,0.0,2
RLB,134,0.0,567
RM,120,0.0,407
RS,71,0.032258064516129,299
RSD,145,34.45161290322581,708
RSN,55,0.0,66
RSW,138,0.0,430
RTA,120,0.0,415
RTB,131,0.0,485
RTD,130,0.0,415
RTN,125,0.0,417
RTST,135,0.0,494
RTZ,134,0.0,494
RV,109,0.0,393
RVS,51,0.0,257
SBK,152,0.0,488
SD,80,0.0,551
SDA,193,0.0,164
SDM,134,0.0,485
SDT,111,0.0,348
SDTB,114,0.0,349
SGL,176,0.0,474
SGN,172,0.0,909
SHL,120,0.0,344
SK,177,0.0,107
SKND,176,0.0,107
SM,115,0.0,407
SN,154,0.0,489
SOG,174,0.0,475
SPTN,138,0.0,851
SPTZ,136,0.0,851
SRN,138,0.0,485
SSH,132,0.0,438
ST,81,0.0,551
STD,145,0.0,456
STM,188,0.0,170
STV,206,0.0,115
STZ,82,0.0,541
SWD,177,0.0,158
SWK,102,0.0,140
TB,100,34.45161290322581,372
TBG,50,0.0,46
TBR,105,0.2258064516129032,385
TBU,101,0.1290322580645161,385
TG,102,0.0,374
TL,60,0.0,274
TPSW,62,0.0,274
TWL,34,0.0,66
UHM,201,0.0,174
UHZ,198,0.0,174
UST,193,0.0,173
UT,74,0.0,257
UTG,135,0.0,855
UTLN,76,0.0,355
UTLR,77,0.0,330
UTO,77,0.0,330
UTT,79,0.0,330
UTVR,73,0.0,355
UTZL,76,0.0,330
