Station Code,Distance from OP,Services from/to OP,Disruptions on path to OP
WC,34,0.0,35
WD,70,0.0,119
WDN,107,0.0,281
WF,36,0.0,271
WFM,234,0.0,447
WH,90,0.0,350
WK,237,0.0,384
WL,53,0.0,291
WM,109,0.0,401
WP,87,0.0,131
WR,264,0.0,456
WS,242,0.0,447
WSM,226,0.0,433
WT,110,0.0,162
WTV,33,0.0,273
WV,159,0.0,364
WW,92,0.0,327
WWW,93,0.0,327
WZ,113,0.0,364
YPB,107,0.0,122
ZA,6,28.032258064516128,0
ZB,229,0.0,441
ZBM,37,0.0,46
ZD,103,0.0,398
ZDK,106,0.0,401
ZH,222,0.0,432
ZL,104,0.0,350
ZLSH,109,0.0,364
ZLW,92,0.0,195
ZP,57,0.0,274
ZTM,102,0.0,119
ZTMO,101,0.0,204
ZV,42,0.0,271
ZVB,100,0.0,200
ZVT,120,0.0,414
ZWD,79,0.0,195
ZZS,106,0.0,401
