Station Code,distance_YPB,services_per_day_YPB,n_of_disruptions_YPB
HTNC,62,35.193548387096776,186
HTO,102,0,231
HVL,80,0,398
HVS,71,0,158
HVSM,72,0,159
HVSP,70,0,158
HWD,93,0,237
HWZB,59,0,119
HZE,144,0,299
IJT,260,0,430
KBD,120,0,254
KBK,126,0,434
KLP,87,0,158
KMA,75,0,158
KMR,237,0,361
KMW,282,0,437
KPN,155,0,412
KPNZ,155,0,412
KRD,237,0,372
KRG,127,0,254
KTR,103,0,282
KW,254,0,486
KZ,74,0,106
LAA,8,0,32
LC,152,0,433
LDL,23,0,42
LDM,85,0,368
LEDN,22,0,32
LG,232,0,361
LLS,115,0,287
LLZM,8,45.54838709677419,0
LP,272,0,492
LTN,100,0,415
LTV,170,0,435
LUT,214,0,344
LW,235,0,412
LWC,238,0,429
MAS,60,0,158
MDB,157,0,254
MES,237,0,346
MG,245,0,429
MMLH,140,0,436
MP,168,0,412
MRB,174,0,419
MRN,73,0,190
MT,231,0,344
MTH,255,0,488
MTN,234,0,346
MTR,232,0,346
MZ,154,0,304
NDB,77,0,159
NH,222,0,375
NKK,85,0,398
NM,130,0,415
NMD,135,0,436
NMGO,133,0,436
NMH,133,0,436
NML,129,0,429
NS,113,0,398
NSCH,290,0,495
NVD,172,0,412
NVP,41,0,42
NWK,30,0,85
O,120,0,231
OBD,99,0,247
ODB,81,0,340
ODZ,191,0,500
OMN,163,0,419
OP,107,0,285
OST,142,0,464
OT,109,0,554
OTB,107,0,180
OVN,53,0,119
OW,119,0,234
PMO,87,0,104
PMR,86,0,103
PMW,85,0,106
PT,92,0,401
RAI,63,0,156
RAT,158,0,412
RB,117,0,254
RD,284,0,496
RH,121,0,418
RHN,96,0,193
RL,157,0,435
RLB,37,0,227
RM,185,0,293
RS,108,0,234
RSD,88,0,218
RSN,158,0,464
RSW,11,0,47
RTA,35,0,85
RTB,31,0,218
RTD,30,0,148
RTN,35,0,218
RTST,35,0,227
RTZ,34,0,227
RV,196,0,342
RVS,128,0,252
SBK,217,0,374
SD,73,0,182
SDA,273,0,486
SDM,26,0,148
SDT,60,0,337
SDTB,57,0,337
SGL,241,0,360
SGN,107,0,247
SHL,51,0,32
SK,257,0,429
SKND,256,0,429
SM,190,0,342
SN,219,0,375
SOG,239,0,361
SPTN,58,0,137
SPTZ,56,0,137
SRN,203,0,371
SSH,30,0,42
ST,72,0,182
STD,210,0,342
STM,268,0,492
STV,286,0,437
STZ,71,0,182
SWD,257,0,480
SWK,182,0,462
TB,101,0,541
TBG,147,0,452
TBR,96,0,560
TBU,100,0,562
TG,190,0,378
TL,91,35.193548387096776,282
TPSW,89,35.193548387096776,282
TWL,127,0,433
UHM,281,0,496
UHZ,278,0,496
UST,273,0,495
UT,53,35.61290322580645,85
UTG,70,0,157
UTLN,57,35.193548387096776,158
UTLR,50,35.61290322580645,108
UTO,56,0,158
UTT,48,35.61290322580645,103
UTVR,54,35.193548387096776,158
UTZL,55,0,158
VB,4,45.354838709677416,0
VD,147,0,433
VDL,233,0,361
VDM,273,0,493
VEM,131,0,435
VG,105,0,231
VH,30,0,42
VHP,180,0,422
VK,242,0,361
VL,185,0,377
VLB,162,0,478
VNDC,88,0,192
VNDW,87,0,192
VP,117,0,418
VRY,169,0,479
VS,163,0,256
VSS,162,0,256
VST,17,0,35
VSV,154,0,452
VTN,46,35.61290322580645,94
VZ,177,0,534
WAD,29,0,85
WADN,30,0,85
WADT,28,0,85
WC,135,0,255
WD,37,35.61290322580645,93
WDN,166,0,471
WF,103,0,180
WFM,270,0,495
WH,149,0,474
WK,273,0,432
WL,136,0,435
WM,77,0,183
WP,75,0,168
WR,300,0,504
WS,278,0,495
WSM,262,0,481
WT,161,0,293
WTV,116,0,417
WV,195,0,412
WW,175,0,471
WWW,176,0,471
WZ,131,0,411
YPB,0,0,0
ZA,113,0,285
ZB,265,0,489
ZBM,88,0,282
ZD,72,0,103
ZDK,75,0,106
ZH,258,0,480
ZL,140,0,398
ZLSH,145,0,412
ZLW,65,0,335
ZP,135,0,433
ZTM,5,36.903225806451616,0
ZTMO,6,45.54838709677419,0
ZV,125,0,415
ZVB,73,0,340
ZVT,59,0,120
ZWD,48,0,332
ZZS,75,0,106
