Station Code,Distance from DMN,Services from/to DMN,Disruptions on path to DMN
WL,114,0.0,575
WM,23,0.0,282
WP,7,78.0,0
WR,264,0.0,124
WS,242,0.0,115
WSM,226,0.0,101
WT,146,0.0,290
WTV,94,0.0,557
WV,159,0.0,32
WW,144,0.0,307
WWW,143,0.0,307
WZ,95,0.0,271
YPB,73,0.0,136
ZA,98,0.0,74
ZB,229,0.0,109
ZBM,73,0.0,71
ZD,17,0.0,279
ZDK,20,0.0,282
ZH,222,0.0,100
ZL,104,36.87096774193548,18
ZLSH,109,0.0,32
ZLW,120,0.0,300
ZP,99,0.0,293
ZTM,77,0.0,113
ZTMO,76,0.0,113
ZV,103,0.0,555
ZVB,128,0.0,305
ZVT,34,0.0,295
ZWD,103,0.0,288
ZZS,20,0.0,282
