Station Code,Distance from VS,Services from/to VS,Disruptions on path to VS
DTCH,232,0.0,742
DTCP,146,0.0,102
DV,249,0.0,725
DVC,253,0.0,791
DVD,211,0.0,201
DVN,213,0.0,724
DVNK,168,0.0,221
DWE,387,0.0,554
DZ,419,0.0,649
DZW,418,0.0,649
EC,222,0.0,466
ED,221,0.0,722
EDC,223,0.0,744
EDN,264,0.0,470
EEM,426,0.0,648
EGH,258,0.0,485
EGHM,259,0.0,485
EHS,156,0.0,487
EHV,157,0.0,355
EKZ,272,0.0,245
EML,232,0.0,537
EMN,348,0.0,893
EMNZ,344,0.0,892
ES,286,0.0,792
ESK,282,0.0,792
EST,193,0.0,483
ETN,88,0.0,32
FN,387,0.0,554
FWD,384,0.0,554
GBG,321,0.0,878
GD,157,0.0,102
GDG,160,0.0,187
GDM,162,0.0,181
GDR,239,0.0,759
GERP,379,0.0,604
GK,400,0.0,619
GLN,238,0.0,468
GN,381,0.0,604
GND,127,0.0,150
GNN,385,0.0,619
GO,263,0.0,732
GP,163,0.0,417
GR,136,0.0,160
GS,25,54.67741935483871,27
GV,155,29.387096774193548,203
GVC,156,0.0,218
GVM,160,0.0,218
GVMW,154,0.0,203
GW,357,0.0,608
GZ,109,0.0,355
HAD,196,25.93548387096774,228
HB,249,0.0,499
HBZM,124,0.0,150
HD,236,0.0,540
HDB,315,0.0,865
HDE,257,0.0,537
HDG,380,0.0,554
HDR,277,0.0,363
HDRZ,276,0.0,363
HFD,195,0.0,102
HGL,278,0.0,773
HGLG,276,0.0,773
HGLO,280,0.0,792
HGV,323,0.0,551
HGZ,392,0.0,627
HIL,189,0.0,228
HK,216,0.0,248
HKS,264,0.0,229
HLG,396,0.0,555
HLGH,397,0.0,559
HLM,200,25.93548387096774,228
HLMS,201,0.0,228
HLO,230,0.0,248
HM,170,0.0,417
HMBH,171,0.0,421
HMBV,167,0.0,417
HMH,169,0.0,417
HMN,193,0.0,227
HN,254,0.0,173
HNK,255,0.0,229
HNO,287,0.0,551
HNP,412,0.0,557
HON,268,0.0,725
HOR,200,0.0,297
HR,341,0.0,608
HRL,253,0.0,468
HRLW,255,0.0,485
HRN,375,0.0,604
HRT,197,0.0,449
HT,142,0.0,368
HTN,180,0.0,277
HTNC,179,0.0,277
HTO,143,0.0,441
HVL,215,0.0,537
HVS,206,0.0,297
HVSM,207,0.0,298
HVSP,205,0.0,297
HWD,242,0.0,344
HWZB,208,0.0,228
HZE,168,0.0,423
IJT,395,0.0,555
KBD,43,38.29032258064516,27
KBK,242,0.0,725
KLP,220,0.0,381
KMA,224,0.0,249
KMR,261,0.0,485
KMW,417,0.0,562
KPN,290,0.0,551
KPNZ,290,0.0,551
KRD,261,0.0,496
KRG,36,38.38709677419355,0
KTR,186,0.0,224
KW,389,0.0,625
KZ,223,0.0,176
LAA,157,29.387096774193548,218
LC,250,0.0,725
LDL,172,0.0,228
LDM,148,0.0,180
LEDN,171,29.387096774193548,218
LG,256,0.0,485
LLS,260,0.0,335
LLZM,170,0.0,187
LP,407,0.0,631
LTN,229,0.0,745
LTV,268,0.0,727
LUT,238,0.0,468
LW,370,0.0,537
LWC,373,0.0,554
MAS,195,0.0,297
MDB,6,54.70967741935484,0
MES,261,0.0,470
MG,380,0.0,554
MMLH,195,0.0,483
MP,303,0.0,551
MRB,307,0.0,862
MRN,206,0.0,381
MT,255,0.0,468
MTH,390,0.0,627
MTN,258,0.0,470
MTR,256,0.0,470
MZ,178,0.0,428
NDB,212,0.0,298
NH,246,0.0,499
NKK,220,0.0,537
NM,185,0.0,462
NMD,180,0.0,465
NMGO,182,0.0,466
NMH,188,0.0,483
NML,186,0.0,483
NS,248,0.0,537
NSCH,425,0.0,634
NVD,291,0.0,732
NVP,190,0.0,228
NWK,148,0.0,160
O,161,0.0,441
OBD,248,0.0,354
ODB,82,0.064516129032258,30
ODZ,289,0.0,792
OMN,298,0.0,558
OP,190,0.0,227
OST,259,0.0,791
OT,128,0.0,368
OTB,208,0.0,722
OVN,202,0.0,228
OW,160,0.0,441
PMO,236,0.0,173
PMR,235,0.0,173
PMW,234,0.0,176
PT,227,0.0,537
RAI,212,0.0,226
RAT,293,0.0,551
RB,46,38.38709677419355,27
RD,419,0.0,635
RH,214,0.0,723
RHN,229,0.0,384
RL,255,0.0,727
RLB,126,0.0,248
RM,209,0.0,417
RS,149,0.0,441
RSD,75,54.64516129032258,27
RSN,275,0.0,725
RSW,152,0.0,203
RTA,143,0.0,102
RTB,132,32.29032258064516,149
RTD,133,32.29032258064516,32
RTN,138,0.0,102
RTST,128,0.0,149
RTZ,129,0.0,149
RV,220,0.0,466
RVS,169,0.0,462
SBK,241,0.0,498
SD,208,0.0,321
SDA,408,0.0,625
SDM,137,31.580645161290324,102
SDT,123,0.0,149
SDTB,120,0.0,149
SGL,265,0.0,484
SGN,256,0.0,354
SHL,200,0.0,102
SK,392,0.0,554
SKND,391,0.0,554
SM,214,0.0,466
SN,243,0.0,499
SOG,263,0.0,485
SPTN,207,0.0,228
SPTZ,205,0.0,228
SRN,227,0.0,495
SSH,179,0.0,228
ST,207,0.0,321
STD,234,0.0,466
STM,403,0.0,631
STV,421,0.0,562
STZ,206,0.0,321
SWD,392,0.0,619
SWK,317,0.0,601
TB,120,0.0,355
TBG,240,0.0,759
TBR,115,0.0,374
TBU,119,0.0,376
TG,214,0.0,418
TL,174,0.0,224
TPSW,172,0.0,224
TWL,254,0.0,791
UHM,416,0.0,635
UHZ,413,0.0,635
UST,408,0.0,634
UT,188,0.0,224
UTG,219,0.0,248
UTLN,184,0.0,305
UTLR,186,0.0,202
UTO,191,0.0,297
UTT,184,0.0,197
UTVR,187,0.0,305
UTZL,190,0.0,297
VB,159,0.0,247
VD,245,0.0,725
VDL,257,0.0,485
VDM,408,0.0,632
VEM,237,0.0,725
VG,145,0.0,411
VH,179,0.0,228
VHP,301,0.0,862
VK,266,0.0,485
VL,209,0.0,417
VLB,217,0.0,525
VNDC,221,0.0,383
VNDW,220,0.0,383
VP,210,0.0,723
VRY,224,0.0,526
VS,0,0.0,0
VSS,1,37.12903225806452,0
VST,166,0.0,221
VSV,247,0.0,759
VTN,182,0.0,188
VZ,294,0.0,861
WAD,165,0.0,187
WADN,166,0.0,187
WADT,164,0.0,187
WC,176,0.0,465
WD,173,0.0,187
WDN,283,0.0,732
WF,212,0.0,722
WFM,405,0.0,634
WH,266,0.0,801
WK,408,0.0,557
WL,229,0.0,742
WM,226,0.0,274
WP,220,0.0,348
WR,435,0.0,643
WS,413,0.0,634
WSM,397,0.0,620
WT,185,0.0,417
WTV,209,0.0,724
WV,330,0.0,551
WW,268,0.0,778
WWW,269,0.0,778
WZ,266,0.0,550
YPB,163,0.0,250
ZA,196,0.0,227
ZB,400,0.0,628
ZBM,155,0.0,441
ZD,221,0.0,173
ZDK,224,0.0,176
ZH,393,0.0,619
ZL,275,0.0,537
ZLSH,280,0.0,551
ZLW,98,0.1290322580645161,27
ZP,233,0.0,725
ZTM,168,0.0,247
ZTMO,169,0.0,247
ZV,218,0.0,722
ZVB,90,0.064516129032258,30
ZVT,208,0.0,228
ZWD,115,0.0,149
ZZS,224,0.0,176
