Station Code,distance_SM,services_per_day_SM,n_of_disruptions_SM
HLMS,194,0,536
HLO,210,0,542
HM,57,0,114
HMBH,56,0,114
HMBV,60,0,118
HMH,58,0,118
HMN,102,0,164
HN,219,0,536
HNK,220,0,592
HNO,187,0,500
HNP,312,0,520
HON,163,0,476
HOR,149,0,257
HR,241,0,500
HRL,49,0,51
HRLW,51,0,68
HRN,275,0,553
HRT,30,0,86
HT,89,0,111
HTN,129,0,280
HTNC,128,0,280
HTO,90,0,184
HVL,144,0,447
HVS,155,0,257
HVSM,156,0,258
HVSP,154,0,257
HWD,222,0,618
HWZB,187,0,536
HZE,46,0,51
IJT,295,0,518
KBD,171,0,470
KBK,137,0,410
KLP,123,0,429
KMA,194,0,549
KMR,57,0,68
KMW,317,0,525
KPN,190,0,500
KPNZ,190,0,500
KRD,57,0,79
KRG,178,0,470
KTR,109,0,164
KW,289,0,574
KZ,188,0,539
LAA,189,0,620
LC,145,0,410
LDL,186,0,348
LDM,125,0,228
LEDN,187,0,355
LG,52,0,68
LLS,210,0,401
LLZM,182,0,342
LP,307,0,580
LTN,124,0,430
LTV,163,0,412
LUT,34,0,51
LW,270,0,500
LWC,273,0,517
MAS,144,0,257
MDB,208,0,470
MES,57,0,53
MG,280,0,517
MMLH,70,35.32258064516129,118
MP,203,0,500
MRB,202,0,547
MRN,153,0,461
MT,51,0,51
MTH,290,0,576
MTN,54,0,53
MTR,52,0,53
MZ,36,0,49
NDB,161,0,258
NH,42,0,82
NKK,161,0,687
NM,80,35.32258064516129,129
NMD,85,0,150
NMGO,83,0,150
NMH,77,35.32258064516129,129
NML,81,0,150
NS,189,0,687
NSCH,325,0,583
NVD,186,0,483
NVP,193,0,449
NWK,178,0,342
O,104,0,150
OBD,228,0,628
ODB,146,0,439
ODZ,184,0,477
OMN,198,0,507
OP,105,0,164
OST,154,0,476
OT,86,0,230
OTB,103,0,407
OVN,197,0,552
OW,105,0,171
PMO,201,0,537
PMR,200,0,536
PMW,199,0,539
PT,168,0,690
RAI,171,0,260
RAT,193,0,500
RB,168,0,470
RD,319,0,584
RH,109,0,410
RHN,176,0,464
RL,150,0,412
RLB,158,0,650
RM,5,37.354838709677416,0
RS,96,0,187
RSD,139,0,434
RSN,170,0,476
RSW,184,0,605
RTA,175,0,504
RTB,164,0,551
RTD,165,0,434
RTN,170,0,504
RTST,160,0,656
RTZ,161,0,656
RV,6,37.32258064516129,0
RVS,96,0,150
SBK,37,0,81
SD,157,0,281
SDA,308,0,574
SDM,169,0,504
SDT,150,0,258
SDTB,152,0,553
SGL,61,0,67
SGN,236,0,628
SHL,183,0,271
SK,292,0,517
SKND,291,0,517
SM,0,0,0
SN,39,0,82
SOG,59,0,68
SPTN,202,0,570
SPTZ,200,0,570
SRN,23,0,78
SSH,195,0,365
ST,156,0,281
STD,30,0,49
STM,303,0,580
STV,321,0,525
STZ,155,0,281
SWD,292,0,568
SWK,217,0,550
TB,94,0,111
