Station Code,Distance from PT,Services from/to PT,Disruptions on path to PT
GVM,100,0.0,433
GVMW,101,0.0,413
GW,130,0.0,71
GZ,120,0.0,401
HAD,86,0.0,533
HB,211,0.0,533
HBZM,103,0.0,387
HD,9,36.67741935483871,14
HDB,90,0.0,21
HDE,30,36.67741935483871,17
HDG,153,0.0,31
HDR,144,0.0,634
HDRZ,143,0.0,634
HFD,78,0.0,315
HGL,107,0.0,105
HGLG,109,0.0,124
HGLO,109,0.0,124
HGV,96,0.0,14
HGZ,165,0.0,90
HIL,93,0.0,533
HK,89,0.0,572
HKS,116,0.0,589
HLG,169,0.0,32
HLGH,170,0.0,36
HLM,82,0.0,512
HLMS,81,0.0,533
HLO,97,0.0,539
HM,132,0.0,451
HMBH,133,0.0,455
HMBV,129,0.0,451
HMH,131,0.0,451
HMN,94,0.0,551
HN,106,0.0,533
HNK,107,0.0,589
HNO,60,0.0,14
HNP,185,0.0,34
HON,95,0.0,275
HOR,40,0.0,241
HR,114,0.0,71
HRL,215,0.0,502
HRLW,217,0.0,519
HRN,148,0.0,67
HRT,158,0.0,396
HT,87,0.0,313
HTN,47,0.0,313
HTNC,48,0.0,341
HTO,88,0.0,386
HVL,24,0.0,240
HVS,34,0.0,240
HVSM,35,0.0,241
HVSP,35,0.0,241
HWD,109,0.0,615
HWZB,74,0.0,533
HZE,130,0.0,457
IJT,168,0.0,32
KBD,184,0.0,510
KBK,70,0.0,276
KLP,59,0.0,280
KMA,81,0.0,546
KMR,223,0.0,519
KMW,190,0.0,39
KPN,63,0.0,14
KPNZ,63,0.0,14
KRD,223,0.0,530
KRG,191,0.0,510
KTR,89,0.0,356
KW,162,0.0,88
KZ,75,0.0,536
LAA,100,0.0,345
LC,96,0.0,275
LDL,88,0.0,331
LDM,79,0.0,357
LEDN,89,0.0,338
LG,218,0.0,519
LLS,89,0.0,384
LLZM,84,0.0,398
LP,180,0.0,94
LTN,44,0.0,257
LTV,114,0.0,277
LUT,200,0.0,502
LW,143,0.0,14
LWC,146,0.0,31
MAS,46,0.0,313
MDB,221,0.0,537
MES,223,0.0,504
MG,153,0.0,31
MMLH,98,0.0,301
MP,76,0.0,14
MRB,82,0.0,21
MRN,59,0.0,345
MT,217,0.0,502
MTH,163,0.0,90
MTN,220,0.0,504
MTR,218,0.0,504
MZ,140,0.0,462
NDB,40,0.0,241
NH,208,0.0,533
NKK,7,35.83870967741935,0
NM,88,0.0,280
NMD,93,0.0,301
NMGO,91,0.0,301
NMH,91,0.0,301
NML,87,0.0,551
NS,21,36.67741935483871,17
NSCH,198,0.0,97
NVD,80,0.0,23
NVP,83,0.0,443
NWK,80,0.0,398
O,106,0.0,386
OBD,115,0.0,533
ODB,145,0.0,510
ODZ,118,0.0,124
OMN,71,0.0,21
OP,93,0.0,359
OST,69,0.0,14
OT,108,0.0,429
OTB,65,0.0,280
OVN,84,0.0,549
OW,105,0.0,386
PMO,88,0.0,512
PMR,87,0.0,533
PMW,86,0.0,536
PT,0,0.0,0
RAI,61,0.0,244
RAT,66,0.0,14
RB,181,0.0,510
RD,192,0.0,98
RH,79,0.0,538
RHN,82,0.0,348
RL,101,0.0,277
RLB,102,0.0,468
RM,171,0.0,451
RS,94,0.0,386
RSD,152,0.0,505
RSN,96,0.0,35
RSW,103,0.0,413
RTA,85,0.032258064516129,398
RTB,96,0.0,468
RTD,95,0.032258064516129,398
RTN,90,0.0,400
RTST,100,0.0,468
RTZ,99,0.0,468
RV,162,0.0,416
RVS,104,0.0,537
SBK,203,0.0,532
SD,31,0.0,254
SDA,181,0.0,88
SDM,99,0.0,468
SDT,104,0.0,387
SDTB,107,0.0,388
SGL,227,0.0,518
SGN,123,0.0,625
SHL,73,0.0,315
SK,165,0.0,31
SKND,164,0.0,31
SM,168,0.0,430
SN,205,0.0,533
SOG,225,0.0,519
SPTN,89,0.0,549
SPTZ,87,0.0,549
SRN,189,0.0,529
SSH,94,0.0,443
ST,32,0.0,254
STD,196,0.0,500
STM,176,0.0,94
STV,194,0.0,39
STZ,33,0.0,244
SWD,165,0.0,82
SWK,90,0.0,64
TB,109,0.0,386
TBG,105,0.0,574
TBR,114,0.0,399
TBU,110,0.0,399
TG,155,0.0,397
TL,77,0.0,356
TPSW,75,0.0,356
TWL,71,0.0,275
UHM,189,0.0,98
UHZ,186,0.0,98
UST,181,0.0,97
UT,39,35.58064516129032,240
UTG,86,0.0,571
UTLN,43,0.0,313
UTLR,42,0.0,313
UTO,36,35.483870967741936,240
UTT,44,0.0,313
UTVR,40,0.0,313
UTZL,41,0.0,313
VB,96,0.0,398
VD,91,0.0,275
VDL,219,0.0,519
VDM,181,0.0,95
VEM,75,0.0,277
VG,91,0.0,386
VH,97,0.0,348
VHP,88,0.0,24
VK,228,0.0,519
VL,150,0.0,396
VLB,120,0.0,343
VNDC,74,0.0,347
VNDW,73,0.0,347
VP,75,0.0,538
VRY,127,0.0,344
VS,227,0.0,537
VSS,226,0.0,510
VST,94,0.0,433
VSV,112,0.0,574
VTN,46,0.0,318
VZ,95,0.0,25
WAD,79,0.0,398
WADN,80,0.0,398
WADT,78,0.0,398
WC,97,0.0,537
WD,55,0.0,240
WDN,88,0.0,35
WF,61,0.0,280
WFM,178,0.0,97
WH,62,0.0,14
WK,181,0.0,34
WL,94,0.0,557
WM,79,0.0,536
WP,49,0.0,252
WR,208,0.0,106
WS,186,0.0,97
WSM,170,0.0,83
WT,147,0.0,451
WTV,74,0.0,539
WV,103,0.0,14
WW,124,0.0,289
WWW,123,0.0,289
WZ,39,36.67741935483871,30
YPB,92,0.0,316
