Station Code,Distance from SN,Services from/to SN,Disruptions on path to SN
NSCH,364,0.0,665
NVD,225,0.0,499
NVP,193,0.0,42
NWK,193,0.0,246
O,137,0.0,198
OBD,251,0.0,168
ODB,175,0.0,472
ODZ,223,0.0,559
OMN,237,0.0,589
OP,144,0.0,246
OST,193,0.0,558
OT,115,0.0,125
OTB,142,0.0,489
OVN,205,0.0,42
OW,136,0.0,198
PMO,230,0.0,529
PMR,229,0.0,550
PMW,228,0.0,553
PT,205,0.0,511
RAI,200,0.0,274
RAT,232,0.0,582
RB,197,0.0,503
RD,358,0.0,666
RH,148,0.0,490
RHN,207,0.0,401
RL,189,0.0,494
RLB,185,0.0,188
RM,34,0.0,33
RS,125,0.0,198
RSD,168,0.0,467
RSN,209,0.0,492
RSW,159,0.0,17
RTA,188,0.0,188
RTB,179,0.0,188
RTD,178,0.0,118
RTN,183,0.0,188
RTST,183,0.0,188
RTZ,182,0.0,188
RV,45,0.0,82
RVS,135,0.0,232
SBK,2,26.64516129032258,0
SD,186,0.0,295
SDA,347,0.0,656
SDM,174,0.0,118
SDT,179,0.0,272
SDTB,181,0.0,584
SGL,26,0.0,17
SGN,259,0.0,168
SHL,203,0.0,61
SK,331,0.0,599
SKND,330,0.0,599
SM,39,0.0,82
SN,0,0.0,0
SOG,20,0.0,17
SPTN,210,0.0,42
SPTZ,208,0.0,42
SRN,16,0.0,33
SSH,182,0.0,42
ST,185,0.0,295
STD,9,26.64516129032258,31
STM,342,0.0,662
STV,360,0.0,607
STZ,184,0.0,295
SWD,331,0.0,650
SWK,256,0.0,632
TB,123,0.0,125
TBG,174,0.0,526
TBR,128,0.0,138
TBU,124,0.0,138
TG,52,0.0,96
TL,152,0.0,241
TPSW,150,0.0,241
TWL,188,0.0,558
UHM,355,0.0,666
UHZ,352,0.0,666
UST,347,0.0,665
UT,166,0.0,198
UTG,222,0.0,62
UTLN,162,0.0,322
UTLR,169,0.0,271
UTO,169,0.0,271
UTT,171,0.0,271
UTVR,165,0.0,322
UTZL,168,0.0,271
VB,162,0.0,61
VD,179,0.0,492
VDL,14,0.0,17
VDM,347,0.0,663
VEM,171,0.0,492
VG,114,0.0,125
VH,182,0.0,42
VHP,235,0.0,629
VK,23,0.0,17
VL,57,0.0,115
VLB,87,0.0,168
VNDC,199,0.0,400
VNDW,198,0.0,400
VP,144,0.0,490
VRY,80,0.0,168
VS,243,0.0,499
VSS,242,0.0,472
VST,169,0.0,35
VSV,181,0.0,526
VTN,173,0.0,276
VZ,228,0.0,628
WAD,195,0.0,117
WADN,196,0.0,117
WADT,194,0.0,117
WC,128,0.0,232
WD,182,0.0,271
WDN,217,0.0,499
WF,146,0.0,232
WFM,344,0.0,665
WH,200,0.0,568
WK,347,0.0,602
WL,163,0.0,509
WM,221,0.0,553
WP,199,0.0,283
WR,374,0.0,674
WS,352,0.0,665
WSM,336,0.0,651
WT,58,0.0,82
WTV,143,0.0,491
WV,269,0.0,582
WW,202,0.0,545
WWW,203,0.0,545
WZ,223,0.0,582
YPB,166,0.0,64
ZA,138,0.0,246
ZB,339,0.0,659
ZBM,131,0.0,198
ZD,215,0.0,550
ZDK,218,0.0,553
ZH,332,0.0,650
ZL,214,0.0,568
ZLSH,219,0.0,582
ZLW,159,0.0,485
ZP,167,0.0,492
ZTM,171,0.0,61
ZTMO,172,0.0,61
ZV,152,0.0,489
ZVB,167,0.0,490
ZVT,211,0.0,42
ZWD,176,0.0,584
ZZS,218,0.0,553
