Station Code,Distance from LC,Services from/to LC,Disruptions on path to LC
HR,130,0.0,90
HRL,194,0.0,461
HRLW,196,0.0,478
HRN,164,0.0,143
HRT,135,0.0,376
HT,108,0.0,302
HTN,107,0.0,348
HTNC,108,0.0,376
HTO,107,0.0,302
HVL,84,0.0,275
HVS,94,0.0,275
HVSM,95,0.0,276
HVSP,95,0.0,276
HWD,169,0.0,637
HWZB,134,0.0,555
HZE,151,0.0,443
IJT,184,0.0,108
KBD,207,0.0,747
KBK,26,0.0,0
KLP,70,0.0,282
KMA,141,0.0,568
KMR,202,0.0,478
KMW,206,0.0,115
KPN,79,0.0,90
KPNZ,79,0.0,90
KRD,202,0.0,489
KRG,214,0.0,747
KTR,78,0.0,274
KW,178,0.0,164
KZ,135,0.0,558
LAA,160,0.0,462
LC,0,0.0,0
LDL,148,0.0,366
LDM,116,0.0,321
LEDN,149,0.0,373
LG,197,0.0,478
LLS,121,0.0,90
LLZM,144,0.0,433
LP,196,0.0,170
LTN,71,0.0,283
LTV,52,0.0,2
LUT,179,0.0,461
LW,159,0.0,90
LWC,162,0.0,107
MAS,106,0.0,348
MDB,244,0.0,747
MES,202,0.0,463
MG,169,0.0,107
MMLH,75,0.0,281
MP,92,0.0,90
MRB,61,0.0,131
MRN,100,0.0,314
MT,196,0.0,461
MTH,179,0.0,166
MTN,199,0.0,463
MTR,197,0.0,463
MZ,161,0.0,448
NDB,100,0.0,276
NH,187,0.0,492
NKK,89,0.0,275
NM,65,0.0,260
NMD,70,0.0,281
NMGO,68,0.0,281
NMH,68,0.0,281
NML,64,0.0,274
NS,91,0.0,90
NSCH,214,0.0,173
NVD,55,0.0,130
NVP,143,0.0,531
NWK,140,0.0,433
O,89,0.0,281
OBD,175,0.0,647
ODB,182,0.0,716
ODZ,39,32.83870967741935,60
OMN,72,0.0,134
OP,74,0.0,274
OST,43,0.0,66
OT,129,0.0,418
OTB,50,0.0,260
OVN,144,0.0,571
OW,90,0.0,302
PMO,148,0.0,556
PMR,147,0.0,555
PMW,146,0.0,558
PT,96,0.0,278
RAI,121,0.0,279
RAT,69,0.0,142
RB,204,0.0,747
RD,208,0.0,174
RH,36,0.0,3
RHN,123,0.0,317
RL,39,0.0,2
RLB,162,0.0,512
RM,150,0.0,410
RS,101,0.0,302
RSD,175,0.0,711
RSN,55,0.0,130
RSW,163,0.0,448
RTA,145,0.0,433
RTB,156,0.0,503
RTD,155,0.0,433
RTN,150,0.0,435
RTST,160,0.0,512
RTZ,159,0.0,512
RV,139,0.0,396
RVS,81,0.0,260
SBK,182,0.0,491
SD,91,0.0,289
SDA,197,0.0,164
SDM,159,0.0,503
SDT,141,0.0,351
SDTB,144,0.0,352
SGL,206,0.0,477
SGN,183,0.0,647
SHL,133,0.0,353
SK,181,0.0,107
SKND,180,0.0,107
SM,145,0.0,410
SN,184,0.0,492
SOG,204,0.0,478
SPTN,149,0.0,589
SPTZ,147,0.0,589
SRN,168,0.0,488
SSH,154,0.0,531
ST,92,0.0,289
STD,175,0.0,459
STM,192,0.0,170
STV,210,0.0,115
STZ,93,0.0,279
SWD,181,0.0,158
SWK,106,0.0,140
TB,130,0.0,375
TBG,80,0.0,49
TBR,135,0.0,388
TBU,131,0.0,388
TG,132,0.0,377
TL,90,0.0,277
TPSW,92,0.0,277
TWL,38,0.0,66
UHM,205,0.0,174
UHZ,202,0.0,174
UST,197,0.0,173
UT,99,0.0,275
UTG,146,0.0,593
UTLN,103,0.0,348
UTLR,102,0.0,348
UTO,96,0.0,299
UTT,104,0.0,348
UTVR,100,0.0,348
UTZL,101,0.0,348
VB,156,0.0,433
VD,29,0.0,0
VDL,198,0.0,478
VDM,197,0.0,171
VEM,21,0.0,0
VG,112,0.0,375
VH,157,0.0,383
VHP,55,0.0,131
VK,207,0.0,478
VL,127,0.0,376
VLB,97,0.0,323
VNDC,115,0.0,316
VNDW,114,0.0,316
VP,40,0.0,6
VRY,104,0.0,324
VS,250,0.0,749
VSS,249,0.0,749
VST,154,0.0,468
VSV,83,0.0,33
VTN,106,0.0,353
VZ,48,0.0,130
WAD,139,0.0,433
WADN,140,0.0,433
WADT,138,0.0,433
WC,74,0.0,260
WD,115,0.0,275
WDN,47,0.0,130
WF,54,0.0,260
WFM,194,0.0,173
WH,50,0.0,76
WK,197,0.0,110
WL,69,0.0,32
WM,139,0.0,558
WP,109,0.0,287
WR,224,0.0,182
WS,202,0.0,173
WSM,186,0.0,159
WT,168,0.0,437
WTV,49,0.0,9
WV,119,0.0,90
WW,62,0.0,14
WWW,61,0.0,14
WZ,73,0.0,90
YPB,152,0.0,433
ZA,68,0.0,274
ZB,189,0.0,167
ZBM,111,0.0,320
ZD,133,0.0,555
ZDK,136,0.0,558
ZH,182,0.0,158
ZL,64,0.0,76
ZLSH,69,0.0,90
ZLW,166,0.0,729
ZP,17,33.16129032258065,0
ZTM,147,0.0,433
ZTMO,146,0.0,433
ZV,58,0.0,12
ZVB,174,0.0,734
ZVT,150,0.0,572
ZWD,153,0.0,471
ZZS,136,0.0,558
