Station Code,Distance from KZ,Services from/to KZ,Disruptions on path to KZ
DDRS,113,0.0,261
DDZD,111,0.0,261
DEI,222,0.0,553
DID,127,0.0,833
DL,135,0.0,296
DLD,60,0.0,297
DLN,182,0.0,330
DMN,19,0.0,282
DMNZ,22,0.0,322
DN,153,0.0,497
DR,124,0.0,833
DRH,22,0.0,54
DRON,91,0.0,427
DRP,229,0.0,567
DT,76,0.0,42
DTC,138,0.0,853
DTCH,136,0.0,853
DTCP,77,0.0,143
DV,115,0.0,536
DVC,119,0.0,571
DVD,20,44.354838709677416,319
DVN,117,0.0,835
DVNK,55,0.0,24
DWE,235,0.0,553
DZ,267,0.0,394
DZW,266,0.0,394
EC,196,0.0,542
ED,91,0.0,554
EDC,89,0.0,553
EDN,238,0.0,546
EEM,274,0.0,393
EGH,221,0.0,59
EGHM,222,0.0,59
EHS,130,0.0,431
EHV,131,0.0,431
EKZ,53,0.0,75
EML,80,0.0,536
EMN,198,0.0,331
EMNZ,194,0.0,330
ES,171,0.0,638
ESK,167,0.0,638
EST,119,0.0,833
ETN,151,0.0,467
FN,235,0.0,553
FWD,232,0.0,553
GBG,171,0.0,316
GD,74,35.45161290322581,283
GDG,71,35.45161290322581,283
GDM,77,0.0,355
GDR,143,0.0,870
GERP,227,0.0,349
GK,248,0.0,364
GLN,212,0.0,544
GN,229,0.0,349
GND,112,0.0,419
GNN,233,0.0,364
GO,148,0.0,578
GP,137,0.0,493
GR,103,0.0,417
GS,198,0.0,149
GV,68,0.0,27
GVC,67,0.0,27
GVM,63,0.0,24
GVMW,69,0.0,42
GW,205,0.0,353
GZ,132,0.0,443
HAD,27,0.0,24
HB,220,0.0,59
HBZM,115,0.0,429
HD,84,0.0,539
HDB,165,0.0,303
HDE,105,0.0,536
HDG,228,0.0,553
HDR,69,0.935483870967742,108
HDRZ,68,0.935483870967742,108
HFD,28,0.0,74
HGL,163,0.0,619
HGLG,161,0.0,619
HGLO,165,0.0,638
HGV,171,0.0,296
HGZ,240,0.0,372
HIL,34,0.0,24
HK,14,0.0,36
HKS,45,0.0,59
HLG,244,0.0,554
HLGH,245,0.0,558
HLM,23,0.0,3
HLMS,22,0.0,24
HLO,22,4.419354838709677,13
HM,144,0.0,493
HMBH,145,0.0,497
HMBV,141,0.0,493
HMH,143,0.0,493
HMN,108,0.0,401
HN,35,0.0,3
HNK,36,0.0,59
HNO,135,0.0,296
HNP,260,0.0,556
HON,134,0.0,571
HOR,47,0.0,282
HR,189,0.0,353
HRL,216,0.0,42
HRLW,218,0.0,59
HRN,223,0.0,349
HRT,171,0.0,525
HT,99,0.0,355
HTN,59,0.0,355
HTNC,60,0.0,383
HTO,100,0.0,428
HVL,63,0.0,536
HVS,41,0.0,282
HVSM,40,0.0,333
HVSP,42,0.0,283
HWD,34,0.935483870967742,89
HWZB,15,0.0,24
HZE,142,0.0,499
IJT,243,0.0,554
KBD,180,0.0,149
KBK,109,0.0,572
KLP,85,0.0,355
KMA,6,47.064516129032256,10
KMR,224,0.0,59
KMW,265,0.0,561
KPN,138,0.0,3
KPNZ,108,0.0,428
KRD,224,0.0,70
KRG,187,0.0,149
KTR,101,0.0,398
KW,237,0.0,370
KZ,0,0.0,0
LAA,66,0.0,27
LC,135,0.0,571
LDL,53,0.0,34
LDM,91,0.0,399
LEDN,52,0.0,24
LG,219,0.0,59
LLS,66,0.0,413
LLZM,82,0.0,56
LP,255,0.0,376
LTN,83,0.0,553
LTV,153,0.0,573
LUT,212,0.0,544
LW,218,0.0,536
LWC,221,0.0,553
MAS,44,8.903225806451612,296
MDB,217,0.0,176
MES,235,0.0,546
MG,228,0.0,553
MMLH,137,0.0,597
MP,151,0.0,296
MRB,157,0.0,303
MRN,71,1.064516129032258,387
MT,229,0.0,544
MTH,238,0.0,372
MTN,232,0.0,546
MTR,230,0.0,546
MZ,152,0.0,504
NDB,35,0.0,289
NH,220,0.0,575
NKK,68,0.0,536
NM,127,0.0,576
NMD,132,0.0,597
NMGO,130,0.0,597
NMH,130,0.0,597
NML,126,0.0,847
NS,96,0.0,536
NSCH,273,0.0,379
NVD,155,0.0,305
NVP,33,0.0,74
NWK,83,35.45161290322581,368
O,118,0.0,428
OBD,40,0.0,99
ODB,141,0.0,266
ODZ,174,0.0,638
OMN,146,0.0,303
OP,105,0.0,401
OST,125,0.0,602
OT,120,0.0,471
OTB,104,0.0,576
OVN,25,0.0,40
OW,117,0.0,428
PMO,17,0.0,3
PMR,16,0.0,5
PMW,15,0.0,3
PT,75,0.0,536
RAI,23,0.0,322
RAT,141,0.0,296
RB,177,0.0,266
RD,267,0.0,380
RH,118,0.0,834
RHN,94,1.064516129032258,390
RL,140,0.0,573
RLB,97,0.0,144
RM,183,0.0,493
RS,106,0.0,428
RSD,148,0.0,144
RSN,141,0.0,571
RSW,71,0.0,42
RTA,88,35.45161290322581,368
RTB,91,0.0,144
RTD,90,35.45161290322581,74
RTN,93,35.45161290322581,370
RTST,95,0.0,144
RTZ,94,0.0,144
RV,194,0.0,542
RVS,126,0.0,449
SBK,215,0.0,574
SD,52,0.0,297
SDA,256,0.0,370
SDM,86,0.0,143
SDT,116,0.0,429
SDTB,117,0.0,261
SGL,232,0.0,59
SGN,48,0.935483870967742,99
SHL,23,0.0,24
SK,240,0.0,553
SKND,239,0.0,553
SM,188,0.0,542
SN,217,0.0,575
SOG,226,0.0,59
SPTN,23,0.0,55
SPTZ,25,0.0,56
SRN,201,0.0,571
SSH,44,0.0,74
ST,53,0.0,297
STD,208,0.0,542
STM,251,0.0,376
STV,269,0.0,561
STZ,54,0.0,297
SWD,240,0.0,364
SWK,165,0.0,346
TB,121,0.0,428
TBG,144,0.0,870
TBR,126,0.0,441
TBU,122,0.0,441
TG,188,0.0,494
TL,89,0.0,398
TPSW,87,0.0,398
TWL,110,0.0,571
UHM,264,0.0,380
UHZ,261,0.0,380
UST,256,0.0,379
UT,51,8.903225806451612,282
UTG,11,47.064516129032256,35
UTLN,55,0.0,355
UTLR,54,0.0,355
UTO,54,0.0,355
UTT,56,0.0,355
UTVR,52,6.096774193548387,355
UTZL,49,8.903225806451612,299
VB,70,0.0,56
VD,130,0.0,571
VDL,220,0.0,59
VDM,256,0.0,377
VEM,114,0.0,573
VG,103,0.0,428
VH,44,0.0,24
VHP,163,0.0,306
VK,229,0.0,59
VL,183,0.0,493
VLB,159,0.0,639
VNDC,86,1.064516129032258,389
VNDW,85,1.064516129032258,389
VP,114,0.0,834
VRY,166,0.0,640
VS,223,0.0,176
VSS,222,0.0,149
VST,57,0.0,24
VSV,151,0.0,870
VTN,58,0.0,360
VZ,160,0.0,672
WAD,77,0.0,145
WADN,76,0.0,145
WADT,78,0.0,145
WC,133,0.0,452
WD,58,35.45161290322581,282
WDN,149,0.0,578
WF,100,0.0,576
WFM,253,0.0,379
WH,132,0.0,612
WK,256,0.0,556
WL,133,0.0,853
WM,4,47.064516129032256,0
WP,26,0.0,283
WR,283,0.0,388
WS,261,0.0,379
WSM,245,0.0,365
WT,159,0.0,493
WTV,113,0.0,835
WV,178,0.0,296
WW,163,0.0,585
WWW,162,0.0,585
WZ,114,0.0,549
YPB,74,0.0,59
ZA,111,0.0,401
ZB,248,0.0,373
ZBM,86,0.0,398
ZD,2,47.80645161290322,0
ZDK,5,0.0,3
ZH,241,0.0,364
ZL,123,0.0,282
ZLSH,128,0.0,3
ZLW,125,0.0,261
ZP,118,0.0,571
ZTM,79,0.0,56
ZTMO,80,0.0,56
ZV,122,0.0,833
ZVB,133,0.0,266
ZVT,31,0.0,40
ZWD,108,0.0,249
ZZS,1,47.064516129032256,0
