Station Code,Distance from ZTM,Services from/to ZTM,Disruptions on path to ZTM
HLO,86,0.0,59
HM,141,0.0,211
HMBH,142,0.0,215
HMBV,138,0.0,211
HMH,140,0.0,211
HMN,105,0.0,119
HN,110,0.0,60
HNK,111,0.0,116
HNO,147,0.0,327
HNP,272,0.0,333
HON,146,0.0,348
HOR,60,0.0,73
HR,201,0.0,384
HRL,161,0.0,44
HRLW,163,0.0,61
HRN,235,0.0,380
HRT,168,0.0,243
HT,96,0.0,73
HTN,56,27.06451612903226,73
HTNC,57,27.06451612903226,101
HTO,97,0.0,146
HVL,75,0.0,313
HVS,66,0.0,73
HVSM,67,0.0,74
HVSP,65,0.0,73
HWD,98,0.0,155
HWZB,64,0.0,39
HZE,139,0.0,217
IJT,255,0.0,331
KBD,125,0.0,205
KBK,121,0.0,349
KLP,82,0.0,73
KMA,80,0.0,60
KMR,169,0.0,61
KMW,277,0.0,338
KPN,150,0.0,327
KPNZ,150,0.0,327
KRD,169,0.0,72
KRG,132,0.0,205
KTR,98,0.0,116
KW,249,0.0,401
KZ,79,0.0,63
LAA,13,0.0,29
LC,147,0.0,348
LDL,28,0.0,39
LDM,88,0.0,117
LEDN,27,0.0,29
LG,164,0.0,61
LLS,119,0.0,233
LLZM,3,36.903225806451616,0
LP,267,0.0,407
LTN,95,0.0,330
LTV,165,0.0,350
LUT,184,0.0,63
LW,230,0.0,313
LWC,233,0.0,330
MAS,55,0.0,73
MDB,162,0.0,232
MES,181,0.0,61
MG,240,0.0,330
MMLH,135,0.0,351
MP,163,0.0,327
MRB,169,0.0,334
MRN,68,0.0,105
MT,187,0.0,61
MTH,250,0.0,403
MTN,184,0.0,75
MTR,188,0.0,63
MZ,149,0.0,222
NDB,72,0.0,74
NH,168,0.0,61
NKK,80,0.0,313
NM,125,0.0,330
NMD,130,0.0,351
NMGO,128,0.0,351
NMH,128,0.0,351
NML,124,0.0,344
NS,108,0.0,313
NSCH,285,0.0,410
NVD,167,0.0,336
NVP,46,0.0,39
NWK,25,0.0,85
O,115,0.0,146
OBD,104,0.0,165
ODB,86,0.0,252
ODZ,186,0.0,415
OMN,158,0.0,334
OP,102,0.0,119
OST,137,0.0,379
OT,114,0.0,536
OTB,102,0.0,95
OVN,58,0.0,39
OW,114,0.0,146
PMO,92,0.0,60
PMR,91,0.0,60
PMW,90,0.0,63
PT,87,0.0,313
RAI,68,0.0,153
RAT,153,0.0,327
RB,122,0.0,252
RD,279,0.0,411
RH,116,0.0,331
RHN,91,0.0,108
RL,152,0.0,350
RLB,42,0.0,200
RM,180,0.0,211
RS,103,0.0,146
RSD,93,0.0,200
RSN,153,0.0,348
RSW,16,0.0,29
RTA,30,0.0,85
RTB,36,0.0,200
RTD,35,0.0,130
RTN,35,0.0,87
RTST,40,0.0,200
RTZ,39,0.0,200
RV,191,0.0,260
RVS,123,0.0,167
SBK,173,0.0,61
SD,68,0.0,97
SDA,268,0.0,401
SDM,31,0.0,130
SDT,65,0.0,247
SDTB,62,0.0,247
SGL,177,0.0,61
SGN,112,0.0,165
SHL,56,0.0,29
SK,252,0.0,330
SKND,251,0.0,330
SM,185,0.0,260
SN,171,0.0,61
SOG,171,0.0,61
SPTN,63,0.0,39
SPTZ,61,0.0,39
SRN,187,0.0,63
SSH,35,0.0,39
ST,67,0.0,97
STD,180,0.0,61
STM,263,0.0,407
STV,281,0.0,338
STZ,66,0.0,97
SWD,252,0.0,395
SWK,177,0.0,377
TB,106,0.0,523
TBG,142,0.0,367
TBR,101,0.0,542
TBU,105,0.0,544
TG,185,0.0,212
TL,86,27.06451612903226,116
TPSW,84,27.06451612903226,116
TWL,122,0.0,348
UHM,276,0.0,411
UHZ,273,0.0,411
UST,268,0.0,410
UT,48,27.41935483870968,0
UTG,75,0.0,59
UTLN,52,27.06451612903226,73
UTLR,45,27.387096774193548,100
UTO,51,0.0,73
UTT,43,27.387096774193548,95
UTVR,49,27.06451612903226,73
UTZL,50,0.0,73
VB,9,36.70967741935484,4
VD,142,0.0,348
VDL,165,0.0,61
VDM,268,0.0,408
VEM,126,0.0,350
VG,100,0.0,146
VH,35,0.0,39
VHP,175,0.0,337
VK,174,0.0,61
VL,180,0.0,211
VLB,157,0.0,393
VNDC,83,0.0,107
VNDW,82,0.0,107
VP,112,0.0,331
VRY,164,0.0,394
VS,168,0.0,232
VSS,167,0.0,205
VST,22,0.0,32
VSV,149,0.0,367
VTN,41,27.387096774193548,86
VZ,172,0.0,449
WAD,24,0.0,85
WADN,25,0.0,85
WADT,23,0.0,85
WC,130,0.0,170
WD,32,27.387096774193548,85
WDN,161,0.0,355
WF,98,0.0,95
WFM,265,0.0,410
WH,144,0.0,389
WK,268,0.0,333
WL,131,0.0,350
WM,82,0.0,85
WP,79,0.0,246
WR,295,0.0,419
WS,273,0.0,410
WSM,257,0.0,396
WT,156,0.0,211
WTV,111,0.0,332
WV,190,0.0,327
WW,170,0.0,386
WWW,171,0.0,386
WZ,126,0.0,326
YPB,5,36.70967741935484,0
ZA,108,0.0,119
ZB,260,0.0,404
ZBM,83,0.0,116
ZD,77,0.0,60
ZDK,80,0.0,63
ZH,253,0.0,395
ZL,135,0.0,313
ZLSH,140,0.0,327
ZLW,70,0.0,247
ZP,130,0.0,348
ZTM,0,0.0,0
ZTMO,1,36.903225806451616,0
ZV,120,0.0,330
ZVB,78,0.0,252
ZVT,64,0.0,39
ZWD,53,0.0,305
ZZS,80,0.0,63
