Station Code,Distance from EMN,Services from/to EMN,Disruptions on path to EMN
UHM,216,0.0,133
UHZ,213,0.0,133
UST,208,0.0,132
UT,162,0.0,289
UTG,209,0.0,366
UTLN,166,0.0,362
UTLR,165,0.0,362
UTO,159,0.0,289
UTT,167,0.0,362
UTVR,163,0.0,362
UTZL,164,0.0,362
VB,219,0.0,447
VD,127,0.0,168
VDL,296,0.0,646
VDM,208,0.0,130
VEM,119,0.0,168
VG,210,0.0,543
VH,220,0.0,397
VHP,47,0.0,31
VK,305,0.0,646
VL,225,0.0,544
VLB,195,0.0,491
VNDC,197,0.0,396
VNDW,196,0.0,396
VP,138,0.0,174
VRY,202,0.0,492
VS,348,0.0,911
VSS,347,0.0,884
VST,217,0.0,482
VSV,181,0.0,201
VTN,169,0.0,367
VZ,54,0.0,32
WAD,202,0.0,447
WADN,203,0.0,447
WADT,201,0.0,447
WC,172,0.0,428
WD,178,0.0,289
WDN,65,0.0,102
WF,152,0.0,428
WFM,205,0.0,132
WH,89,0.0,49
WK,208,0.0,69
WL,167,0.0,200
WM,202,0.0,331
WP,172,0.0,61
WR,235,0.0,141
WS,213,0.0,132
WSM,197,0.0,118
WT,266,0.0,586
WTV,147,0.0,177
WV,130,0.0,49
WW,160,0.0,182
WWW,159,0.0,182
WZ,84,0.0,49
YPB,215,0.0,365
ZA,166,0.0,442
ZB,200,0.0,126
ZBM,197,0.0,405
ZD,196,0.0,328
ZDK,199,0.0,331
ZH,193,0.0,117
ZL,75,38.516129032258064,35
ZLSH,80,0.0,49
ZLW,252,0.0,554
ZP,115,0.0,168
ZTM,210,0.0,362
ZTMO,209,0.0,447
ZV,156,0.0,180
ZVB,260,0.0,559
ZVT,213,0.0,344
ZWD,236,0.0,622
ZZS,199,0.0,331
