Station Code,Distance from WP,Services from/to WP,Disruptions on path to WP
LTV,127,0.0,289
LUT,194,0.0,271
LW,192,0.0,146
LWC,195,0.0,163
MAS,33,0.0,26
MDB,215,0.0,396
MES,217,0.0,273
MG,202,0.0,163
MMLH,111,0.0,570
MP,125,0.0,266
MRB,131,0.0,273
MRN,53,0.0,117
MT,211,0.0,271
MTH,212,0.0,342
MTN,214,0.0,273
MTR,212,0.0,273
MZ,134,0.0,231
NDB,9,55.03225806451613,0
NH,202,0.0,302
NKK,42,0.0,252
NM,101,0.0,549
NMD,106,0.0,570
NMGO,104,0.0,570
NMH,104,0.0,570
NML,100,0.0,563
NS,70,0.0,252
NSCH,247,0.0,349
NVD,129,0.0,266
NVP,34,36.87096774193548,264
NWK,74,0.0,170
O,100,0.0,158
OBD,66,0.0,386
ODB,139,0.0,365
ODZ,148,0.0,354
OMN,120,0.0,273
OP,87,0.0,212
OST,99,0.0,318
OT,102,0.0,201
OTB,78,0.0,292
OVN,35,0.0,310
OW,99,0.0,161
PMO,39,0.0,295
PMR,38,0.0,294
PMW,37,0.0,297
PT,49,0.0,255
RAI,12,52.54838709677419,12
RAT,115,0.0,266
RB,175,0.0,396
RD,241,0.0,350
RH,92,0.0,552
RHN,76,0.0,120
RL,114,0.0,289
RLB,96,0.0,249
RM,165,0.0,220
RS,88,0.0,161
RSD,146,0.0,360
RSN,115,0.0,318
RSW,72,0.0,180
RTA,79,0.0,170
RTB,90,0.0,240
RTD,89,0.0,170
RTN,84,0.0,172
RTST,94,0.0,249
RTZ,93,0.0,249
RV,175,0.0,685
RVS,108,0.0,179
SBK,197,0.0,301
SD,26,0.0,26
SDA,230,0.0,340
SDM,87,0.0,281
SDT,98,0.0,240
SDTB,101,0.0,241
SGL,221,0.0,287
SGN,74,0.0,386
SHL,24,105.38709677419357,86
SK,214,0.0,163
SKND,213,0.0,163
SM,170,0.0,269
SN,199,0.0,302
SOG,219,0.0,288
SPTN,40,0.0,328
SPTZ,38,0.0,328
SRN,183,0.0,298
SSH,45,36.87096774193548,264
ST,27,0.0,26
STD,190,0.0,269
STM,225,0.0,346
STV,243,0.0,171
STZ,28,0.0,26
SWD,214,0.0,334
SWK,139,0.0,316
TB,103,0.0,158
TBG,118,0.0,586
TBR,108,0.0,171
TBU,104,0.0,171
TG,168,0.0,666
TL,71,0.0,209
TPSW,69,0.0,209
TWL,84,0.0,287
UHM,238,0.0,350
UHZ,235,0.0,350
UST,230,0.0,349
UT,33,16.774193548387096,12
UTG,37,0.0,332
UTLN,37,0.0,85
UTLR,36,0.0,85
UTO,30,16.774193548387096,12
UTT,38,0.0,85
UTVR,34,0.0,85
UTZL,35,0.0,85
VB,71,0.0,165
VD,104,0.0,287
VDL,213,0.0,288
VDM,230,0.0,347
VEM,88,0.0,289
VG,85,0.0,158
VH,54,0.0,353
VHP,137,0.0,276
VK,222,0.0,288
VL,163,0.0,665
VLB,133,0.0,612
VNDC,68,0.0,119
VNDW,67,0.0,119
VP,88,0.0,552
VRY,140,0.0,613
VS,221,0.0,398
VSS,220,0.0,398
VST,58,21.806451612903224,231
VSV,125,0.0,586
VTN,40,0.0,90
VZ,134,0.0,388
WAD,73,0.0,170
WADN,74,0.0,170
WADT,72,0.0,170
WC,110,0.0,549
WD,49,0.0,85
WDN,123,0.0,325
WF,74,0.0,292
WFM,227,0.0,349
WH,106,0.0,328
WK,230,0.0,166
WL,107,0.0,569
WM,30,0.0,297
WP,0,0.0,0
WR,257,0.0,358
WS,235,0.0,349
WSM,219,0.0,335
WT,141,0.0,220
WTV,87,0.0,551
WV,152,0.0,146
WW,137,0.0,301
WWW,136,0.0,301
WZ,88,0.0,265
YPB,75,0.0,168
ZA,93,0.0,212
ZB,222,0.0,343
ZBM,68,0.0,209
ZD,24,0.0,294
ZDK,27,0.0,297
ZH,215,0.0,334
ZL,97,36.87096774193548,252
ZLSH,102,0.0,266
ZLW,123,0.0,360
ZP,92,0.0,287
ZTM,80,0.0,165
ZTMO,80,0.0,170
ZV,96,0.0,549
ZVB,131,0.0,365
ZVT,41,0.0,311
ZWD,107,0.0,354
ZZS,27,0.0,297
