Station Code,Distance from EML,Services from/to EML,Disruptions on path to EML
EDC,55,0.0,257
EDN,231,0.0,504
EEM,194,0.0,114
EGH,225,0.0,519
EGHM,226,0.0,519
EHS,123,0.0,389
EHV,124,0.0,389
EKZ,129,0.0,605
EML,0,0.0,0
EMN,118,0.0,52
EMNZ,114,0.0,51
ES,110,0.0,127
ESK,106,0.0,127
EST,85,0.0,537
ETN,146,0.0,722
FN,155,0.0,34
FWD,152,0.0,34
GBG,91,0.0,37
GD,76,0.032258064516129,313
GDG,73,0.0,313
GDM,70,0.0,313
GDR,109,0.0,574
GERP,147,0.0,70
GK,168,0.0,85
GLN,205,0.0,502
GN,149,0.0,70
GND,105,0.0,377
GNN,153,0.0,85
GO,114,0.0,282
GP,130,0.0,451
GR,96,0.0,375
GS,207,0.0,510
GV,105,0.0,398
GVC,104,0.0,316
GVM,105,0.0,433
GVMW,106,0.0,413
GW,125,0.0,74
GZ,125,0.0,401
HAD,91,0.0,533
HB,216,0.0,533
HBZM,108,0.0,387
HD,4,36.67741935483871,0
HDB,85,0.0,24
HDE,25,36.67741935483871,3
HDG,148,0.0,34
HDR,149,0.0,634
HDRZ,148,0.0,634
HFD,83,0.0,315
HGL,102,0.0,108
HGLG,104,0.0,127
HGLO,104,0.0,127
HGV,91,0.0,17
HGZ,160,0.0,93
HIL,98,0.0,533
HK,94,0.0,572
HKS,121,0.0,589
HLG,164,0.0,35
HLGH,165,0.0,39
HLM,87,0.0,512
HLMS,86,0.0,533
HLO,102,0.0,539
HM,137,0.0,451
HMBH,138,0.0,455
HMBV,134,0.0,451
HMH,136,0.0,451
HMN,99,0.0,551
HN,111,0.0,533
HNK,112,0.0,589
HNO,55,0.0,17
HNP,180,0.0,37
HON,93,0.0,93
HOR,45,0.0,241
HR,109,0.0,74
HRL,220,0.0,502
HRLW,222,0.0,519
HRN,143,0.0,70
HRT,163,0.0,396
HT,92,0.0,313
HTN,52,0.0,313
HTNC,53,0.0,341
HTO,93,0.0,386
HVL,29,0.0,240
HVS,39,0.0,240
HVSM,40,0.0,241
HVSP,40,0.0,241
HWD,114,0.0,615
HWZB,79,0.0,533
HZE,135,0.0,457
IJT,163,0.0,35
KBD,189,0.0,510
KBK,75,0.0,276
KLP,64,0.0,280
KMA,86,0.0,546
KMR,228,0.0,519
KMW,185,0.0,42
KPN,58,0.0,17
KPNZ,58,0.0,17
KRD,228,0.0,530
KRG,196,0.0,510
KTR,94,0.0,356
KW,157,0.0,91
KZ,80,0.0,536
LAA,105,0.0,345
LC,101,0.0,275
LDL,93,0.0,331
LDM,84,0.0,357
LEDN,94,0.0,338
LG,223,0.0,519
LLS,94,0.0,384
LLZM,89,0.0,398
LP,175,0.0,97
LTN,49,0.0,257
LTV,119,0.0,277
LUT,205,0.0,502
LW,138,0.0,17
LWC,141,0.0,34
MAS,51,0.0,313
MDB,226,0.0,537
MES,228,0.0,504
MG,148,0.0,34
MMLH,103,0.0,301
MP,71,0.0,17
MRB,77,0.0,24
MRN,64,0.0,345
MT,222,0.0,502
MTH,158,0.0,93
MTN,225,0.0,504
MTR,223,0.0,504
MZ,145,0.0,462
NDB,45,0.0,241
NH,213,0.0,533
NKK,12,35.83870967741935,0
NM,93,0.0,280
NMD,98,0.0,301
NMGO,96,0.0,301
NMH,96,0.0,301
NML,92,0.0,551
NS,16,36.67741935483871,3
NSCH,193,0.0,100
NVD,75,0.0,26
NVP,88,0.0,443
NWK,85,0.0,398
O,111,0.0,386
OBD,120,0.0,533
ODB,150,0.0,510
ODZ,113,0.0,127
OMN,66,0.0,24
OP,98,0.0,359
OST,64,0.0,17
OT,113,0.0,429
OTB,70,0.0,280
OVN,89,0.0,549
OW,110,0.0,386
PMO,93,0.0,512
PMR,92,0.0,533
PMW,91,0.0,536
PT,5,35.83870967741935,0
RAI,66,0.0,244
RAT,61,0.0,17
RB,186,0.0,510
RD,187,0.0,101
RH,84,0.0,538
RHN,87,0.0,348
RL,106,0.0,277
RLB,107,0.0,468
RM,176,0.0,451
RS,99,0.0,386
RSD,157,0.0,505
RSN,91,0.0,38
RSW,108,0.0,413
RTA,90,0.032258064516129,398
RTB,101,0.0,468
RTD,100,0.032258064516129,398
RTN,95,0.0,400
RTST,105,0.0,468
RTZ,104,0.0,468
RV,167,0.0,416
RVS,109,0.0,537
SBK,208,0.0,532
SD,36,0.0,254
SDA,176,0.0,91
SDM,104,0.0,468
SDT,109,0.0,387
SDTB,112,0.0,388
SGL,232,0.0,518
SGN,128,0.0,625
SHL,78,0.0,315
SK,160,0.0,34
SKND,159,0.0,34
SM,173,0.0,430
SN,210,0.0,533
SOG,230,0.0,519
SPTN,94,0.0,549
SPTZ,92,0.0,549
SRN,194,0.0,529
SSH,99,0.0,443
ST,37,0.0,254
STD,201,0.0,500
STM,171,0.0,97
STV,189,0.0,42
STZ,38,0.0,244
SWD,160,0.0,85
SWK,85,0.0,67
TB,114,0.0,386
TBG,110,0.0,574
TBR,119,0.0,399
TBU,115,0.0,399
TG,160,0.0,397
TL,82,0.0,356
TPSW,80,0.0,356
TWL,76,0.0,275
UHM,184,0.0,101
UHZ,181,0.0,101
UST,176,0.0,100
UT,44,35.516129032258064,240
UTG,91,0.0,571
UTLN,48,0.0,313
UTLR,47,0.0,313
UTO,41,35.483870967741936,240
UTT,49,0.0,313
UTVR,45,0.0,313
UTZL,46,0.0,313
VB,101,0.0,398
VD,96,0.0,275
VDL,224,0.0,519
VDM,176,0.0,98
VEM,80,0.0,277
VG,96,0.0,386
VH,102,0.0,348
VHP,83,0.0,27
VK,233,0.0,519
VL,155,0.0,396
VLB,125,0.0,343
VNDC,79,0.0,347
VNDW,78,0.0,347
VP,80,0.0,538
VRY,132,0.0,344
VS,232,0.0,537
VSS,231,0.0,510
VST,99,0.0,433
VSV,117,0.0,574
VTN,51,0.0,318
VZ,90,0.0,28
WAD,84,0.0,398
WADN,85,0.0,398
WADT,83,0.0,398
WC,102,0.0,537
WD,60,0.0,240
WDN,83,0.0,38
WF,66,0.0,280
WFM,173,0.0,100
WH,57,0.0,17
WK,176,0.0,37
WL,99,0.0,557
WM,84,0.0,536
WP,54,0.0,252
WR,203,0.0,109
WS,181,0.0,100
WSM,165,0.0,86
WT,152,0.0,451
WTV,79,0.0,539
WV,98,0.0,17
WW,129,0.0,289
WWW,128,0.0,289
WZ,34,36.67741935483871,16
YPB,97,0.0,316
ZA,96,0.0,551
ZB,168,0.0,94
ZBM,79,0.0,356
ZD,78,0.0,533
ZDK,81,0.0,536
ZH,161,0.0,85
ZL,43,36.67741935483871,3
ZLSH,48,0.0,17
ZLW,134,0.0,505
ZP,84,0.0,275
ZTM,92,0.0,313
ZTMO,91,0.0,398
ZV,88,0.0,537
ZVB,142,0.0,510
ZVT,95,0.0,549
ZWD,118,0.0,573
ZZS,81,0.0,536
