Station Code,Distance from BSKS,Services from/to BSKS,Disruptions on path to BSKS
LDM,82,0.0,231
LEDN,22,0.0,111
LG,189,0.0,153
LLS,113,0.0,262
LLZM,24,0.0,85
LP,261,0.0,448
LTN,89,0.0,371
LTV,159,0.0,391
LUT,203,0.0,376
LW,224,0.0,354
LWC,227,0.0,371
MAS,49,0.0,187
MDB,162,0.0,187
MES,206,0.0,153
MG,234,0.0,371
MMLH,129,0.0,465
MP,157,0.0,368
MRB,163,0.0,375
MRN,62,0.0,219
MT,212,0.0,153
MTH,244,0.0,444
MTN,209,0.0,167
MTR,213,0.0,155
MZ,143,0.0,336
NDB,66,0.0,188
NH,193,0.0,153
NKK,74,0.0,354
NM,119,0.0,444
NMD,124,0.0,465
NMGO,122,0.0,465
NMH,122,0.0,465
NML,118,0.0,458
NS,102,0.0,354
NSCH,279,0.0,451
NVD,161,0.0,377
NVP,41,0.0,121
NWK,20,0.0,85
O,109,0.0,260
OBD,99,0.0,247
ODB,86,0.0,277
ODZ,180,0.0,456
OMN,152,0.0,375
OP,96,0.0,233
OST,131,0.0,420
OT,111,0.0,303
OTB,96,0.0,209
OVN,53,0.0,121
OW,108,0.0,260
PMO,87,0.0,142
PMR,86,0.0,142
PMW,85,0.0,145
PT,81,0.0,354
RAI,63,0.0,245
RAT,147,0.0,368
RB,122,0.0,277
RD,273,0.0,452
RH,110,0.0,445
RHN,85,0.0,222
RL,146,0.0,391
RLB,42,0.0,155
RM,174,0.0,325
RS,97,0.0,260
RSD,93,0.0,155
RSN,147,0.0,389
RSW,41,0.0,136
RTA,25,0.0,85
RTB,36,0.0,155
RTD,35,0.0,85
RTN,30,0.0,87
RTST,40,0.0,155
RTZ,39,0.0,155
RV,185,0.0,374
RVS,117,0.0,281
SBK,198,0.0,153
SD,62,0.0,211
SDA,262,0.0,442
SDM,39,0.0,155
SDT,65,0.0,272
SDTB,62,0.0,272
SGL,202,0.0,153
SGN,107,0.0,247
SHL,51,0.0,121
SK,246,0.0,371
SKND,245,0.0,371
SM,179,0.0,374
SN,196,0.0,153
SOG,196,0.0,153
SPTN,58,0.0,121
SPTZ,56,0.0,121
SRN,192,0.0,403
SSH,30,0.0,121
ST,61,0.0,211
STD,199,0.0,374
STM,257,0.0,448
STV,275,0.0,379
STZ,60,0.0,211
SWD,246,0.0,436
SWK,171,0.0,418
TB,106,0.0,478
TBG,136,0.0,481
TBR,101,0.0,497
TBU,105,0.0,499
TG,179,0.0,326
TL,80,0.0,230
TPSW,78,0.0,230
TWL,116,0.0,389
UHM,270,0.0,452
UHZ,267,0.0,452
UST,262,0.0,451
UT,42,0.0,114
UTG,70,0.0,141
UTLN,46,0.0,187
UTLR,39,0.0,128
UTO,45,0.0,187
UTT,37,0.0,123
UTVR,43,0.0,187
UTZL,44,0.0,187
VB,36,0.0,85
VD,136,0.0,389
VDL,190,0.0,153
VDM,262,0.0,449
VEM,120,0.0,391
VG,94,0.0,260
VH,30,0.0,121
VHP,169,0.0,378
VK,199,0.0,153
VL,174,0.0,325
VLB,151,0.0,507
VNDC,77,0.0,221
VNDW,76,0.0,221
VP,106,0.0,445
VRY,158,0.0,508
VS,168,0.0,187
VSS,167,0.0,160
VST,27,0.0,206
VSV,143,0.0,481
VTN,35,0.0,114
VZ,166,0.0,490
WAD,3,56.58064516129032,0
WADN,2,56.58064516129032,0
WADT,4,56.58064516129032,0
WC,124,0.0,284
WD,26,0.0,113
WDN,155,0.0,396
WF,92,0.0,209
WFM,259,0.0,451
WH,138,0.0,430
WK,262,0.0,374
WL,125,0.0,464
WM,77,0.0,167
WP,73,0.0,274
WR,289,0.0,460
WS,267,0.0,451
WSM,251,0.0,437
WT,150,0.0,325
WTV,105,0.0,446
WV,184,0.0,368
WW,164,0.0,500
WWW,165,0.0,500
WZ,120,0.0,367
YPB,32,0.0,88
ZA,102,0.0,233
ZB,254,0.0,445
ZBM,77,0.0,230
ZD,72,0.0,142
ZDK,75,0.0,145
ZH,247,0.0,436
ZL,129,0.0,354
ZLSH,134,0.0,368
ZLW,70,0.0,272
ZP,124,0.0,389
ZTM,27,0.0,85
ZTMO,26,0.0,85
ZV,114,0.0,444
ZVB,78,0.0,277
ZVT,59,0.0,121
ZWD,53,0.0,260
ZZS,75,0.0,145
