Station Code,Distance from VP,Services from/to VP,Disruptions on path to VP
HAD,125,0.0,831
HB,150,0.0,490
HBZM,100,0.0,349
HD,84,0.0,541
HDB,105,0.0,146
HDE,88,0.0,96
HDG,175,0.0,113
HDR,183,0.0,932
HDRZ,182,0.0,932
HFD,115,0.0,419
HGL,68,0.0,54
HGLG,66,0.0,54
HGLO,70,0.0,73
HGV,118,0.0,96
HGZ,187,0.0,172
HIL,132,0.0,439
HK,128,0.0,870
HKS,155,0.0,887
HLG,191,0.0,114
HLGH,192,0.0,118
HLM,121,0.0,810
HLMS,120,0.0,831
HLO,136,0.0,837
HM,113,0.0,416
HMBH,114,0.0,420
HMBV,110,0.0,435
HMH,112,0.0,435
HMN,31,0.0,272
HN,145,0.0,831
HNK,146,0.0,887
HNO,82,0.0,96
HNP,207,0.0,116
HON,58,0.0,6
HOR,76,0.0,331
HR,136,0.0,153
HRL,154,0.0,459
HRLW,156,0.0,476
HRN,170,0.0,149
HRT,95,0.0,374
HT,68,0.032258064516129,300
HTN,70,0.0,356
HTNC,71,0.0,384
HTO,67,0.0,300
HVL,51,0.0,298
HVS,73,0.0,538
HVSM,74,0.0,539
HVSP,74,0.0,539
HWD,148,0.0,913
HWZB,113,0.0,831
HZE,111,0.0,441
IJT,190,0.0,114
KBD,167,0.0,714
KBK,32,0.0,6
KLP,30,0.0,280
KMA,120,0.0,844
KMR,162,0.0,476
KMW,212,0.0,121
KPN,85,0.0,96
KPNZ,85,0.0,96
KRD,162,0.0,487
KRG,174,0.0,714
KTR,38,0.0,272
KW,184,0.0,170
KZ,114,0.0,834
LAA,125,0.0,363
LC,40,0.0,6
LDL,113,0.0,422
LDM,76,0.0,319
LEDN,114,0.0,429
LG,157,0.0,476
LLS,127,0.0,96
LLZM,109,0.0,416
LP,202,0.0,176
LTN,31,0.0,281
LTV,58,0.0,8
LUT,139,0.0,459
LW,165,0.0,96
LWC,168,0.0,113
MAS,71,0.0,331
MDB,204,0.0,741
MES,162,0.0,461
MG,175,0.0,113
MMLH,35,0.0,279
MP,98,0.0,96
MRB,97,0.0,143
