Station Code,Distance from ASB,Services from/to ASB,Disruptions on path to ASB
UT,29,78.70967741935483,0
UTG,33,43.41935483870968,317
UTLN,33,0.0,73
UTLR,32,0.0,73
UTO,32,0.0,73
UTT,34,0.0,73
UTVR,30,6.580645161290323,73
UTZL,27,10.225806451612904,3
VB,64,0.0,231
VD,115,0.0,279
VDL,209,0.0,227
VDM,241,0.0,99
VEM,99,0.0,281
VG,81,0.0,116
VH,50,0.0,279
VHP,148,0.0,28
VK,218,0.0,227
VL,161,30.741935483870968,116
VLB,138,0.0,117
VNDC,64,1.5483870967741935,34
VNDW,63,1.5483870967741935,34
VP,93,0.0,312
VRY,145,0.0,118
VS,209,0.0,187
VSS,208,0.0,160
VST,51,0.0,297
VSV,130,0.0,348
VTN,36,0.0,78
VZ,145,0.0,380
WAD,60,0.0,85
WADN,61,0.0,85
WADT,59,0.0,85
WC,111,0.0,140
WD,36,36.516129032258064,0
WDN,134,0.0,286
WF,79,0.0,54
WFM,238,0.0,101
WH,117,0.0,320
WK,241,0.0,264
WL,112,0.0,331
WM,26,43.41935483870968,282
WP,11,0.0,12
WR,268,0.0,110
WS,246,0.0,101
WSM,230,0.0,87
WT,137,9.67741935483871,159
WTV,92,0.0,313
WV,163,0.0,18
WW,148,0.0,293
WWW,147,0.0,293
WZ,99,0.0,257
YPB,68,0.0,234
ZA,89,0.0,46
ZB,233,0.0,95
ZBM,64,0.0,43
ZD,20,43.774193548387096,279
ZDK,23,0.0,282
ZH,226,0.0,86
ZL,108,0.0,4
ZLSH,113,0.0,18
ZLW,111,0.0,272
ZP,103,0.0,279
ZTM,68,0.0,85
ZTMO,67,0.0,85
ZV,101,0.0,311
ZVB,119,0.0,277
ZVT,37,0.0,295
ZWD,94,0.0,260
ZZS,23,43.41935483870968,282
