Station Code,Distance from WF,Services from/to WF,Disruptions on path to WF
KRD,164,0.0,486
KRG,176,0.0,744
KTR,40,0.0,271
KW,198,0.0,424
KZ,100,0.0,563
LAA,111,0.0,209
LC,54,0.0,260
LDL,99,0.0,186
LDM,78,0.0,318
LEDN,100,0.0,193
LG,159,0.0,475
LLS,114,0.0,424
LLZM,95,0.0,180
LP,216,0.0,430
LTN,17,0.0,23
LTV,72,0.0,262
LUT,141,0.0,458
LW,179,0.0,350
LWC,182,0.0,367
MAS,57,0.0,95
MDB,206,0.0,744
MES,164,0.0,460
MG,189,0.0,367
MMLH,37,0.0,278
MP,112,0.0,350
MRB,111,0.0,397
MRN,46,0.0,54
MT,158,0.0,458
MTH,199,0.0,426
MTN,161,0.0,460
MTR,159,0.0,460
MZ,123,0.0,445
NDB,65,0.0,281
NH,149,0.0,489
NKK,54,0.0,280
NM,27,0.0,257
NMD,32,0.0,278
NMGO,30,0.0,278
NMH,30,0.0,278
NML,26,0.0,271
NS,82,0.0,280
NSCH,234,0.0,433
NVD,95,0.0,333
NVP,106,0.0,287
NWK,91,0.0,180
O,51,0.0,278
OBD,140,0.0,652
ODB,144,0.0,713
ODZ,93,0.0,327
OMN,107,0.0,357
OP,36,0.0,271
OST,63,0.0,326
OT,91,0.0,415
OTB,4,29.387096774193548,0
OVN,109,0.0,576
OW,52,0.0,299
PMO,113,0.0,561
PMR,112,0.0,560
PMW,111,0.0,563
PT,61,0.0,283
RAI,84,0.0,98
RAT,102,0.0,350
RB,166,0.0,744
RD,228,0.0,434
RH,18,0.0,260
RHN,69,0.0,57
RL,59,0.0,262
RLB,113,0.0,259
RM,112,0.0,407
RS,63,0.0,299
RSD,137,0.0,708
RSN,79,0.0,326
RSW,114,0.0,195
RTA,96,0.0,180
RTB,107,0.0,250
RTD,106,0.0,180
RTN,101,0.0,182
RTST,111,0.0,259
RTZ,110,0.0,259
RV,101,0.0,393
RVS,43,0.0,257
SBK,144,0.0,488
SD,56,0.0,294
SDA,217,0.0,424
SDM,110,0.0,250
SDT,103,0.0,348
SDTB,106,0.0,349
SGL,168,0.0,474
SGN,148,0.032258064516129,652
SHL,96,0.0,109
SK,201,0.0,367
SKND,200,0.0,367
SM,107,0.0,407
SN,146,0.0,489
SOG,166,0.0,475
SPTN,114,0.0,594
SPTZ,112,0.0,594
SRN,130,0.0,485
SSH,108,0.0,203
ST,57,0.0,294
STD,137,0.0,456
STM,212,0.0,430
STV,230,0.0,375
STZ,58,0.0,284
SWD,201,0.0,418
SWK,126,0.0,400
TB,92,0.0,372
TBG,44,0.0,294
TBR,97,0.0,385
TBU,93,0.0,385
TG,94,0.0,374
TL,52,0.0,274
TPSW,54,0.0,274
TWL,58,0.0,326
UHM,225,0.0,434
UHZ,222,0.0,434
UST,217,0.0,433
UT,50,0.032258064516129,22
UTG,111,0.0,598
UTLN,52,0.0,98
UTLR,53,0.0,95
UTO,53,0.0,95
UTT,55,0.0,95
UTVR,49,0.0,98
UTZL,52,0.0,95
VB,107,0.0,180
VD,49,0.0,260
VDL,160,0.0,475
VDM,217,0.0,431
VEM,41,0.0,260
VG,74,0.0,372
VH,108,0.0,203
VHP,105,0.0,397
VK,169,0.0,475
VL,89,0.0,373
VLB,59,0.0,320
VNDC,61,0.0,56
VNDW,60,0.0,56
VP,14,0.0,260
VRY,66,0.0,321
VS,212,0.0,746
VSS,211,0.0,746
VST,105,0.0,288
VSV,51,0.0,294
VTN,57,0.0,100
VZ,98,0.0,396
WAD,90,0.0,180
WADN,91,0.0,180
WADT,89,0.0,180
WC,36,0.0,257
WD,66,0.0,95
WDN,87,0.0,333
WF,0,0.0,0
WFM,214,0.0,433
WH,70,0.0,336
WK,217,0.0,370
WL,33,0.0,277
WM,104,0.0,563
WP,74,0.0,292
WR,244,0.0,442
WS,222,0.0,433
WSM,206,0.0,419
WT,130,0.0,434
WTV,13,0.0,259
WV,139,0.0,350
WW,72,0.0,313
WWW,73,0.0,313
WZ,93,0.0,350
YPB,103,0.0,180
ZA,30,0.0,271
ZB,209,0.0,427
ZBM,73,0.0,317
ZD,98,0.032258064516129,560
ZDK,101,0.0,563
ZH,202,0.0,418
ZL,84,0.0,336
ZLSH,89,0.0,350
ZLW,128,0.0,726
ZP,37,0.0,260
ZTM,98,0.0,180
ZTMO,97,0.0,180
ZV,22,0.0,257
ZVB,136,0.0,731
ZVT,115,0.0,577
ZWD,115,0.0,468
ZZS,101,0.0,563
