Station Code,Distance from DID,Services from/to DID,Disruptions on path to DID
OT,102,0.0,415
OTB,23,0.0,257
OVN,136,0.0,833
OW,63,0.0,299
PMO,140,0.0,818
PMR,139,0.0,817
PMW,138,0.0,820
PT,88,0.0,540
RAI,111,0.0,333
RAT,111,0.0,102
RB,177,0.0,744
RD,237,0.0,186
RH,27,0.0,6
RHN,96,0.0,314
RL,68,0.0,48
RLB,137,0.0,567
RM,123,0.0,407
RS,74,0.0,299
RSD,148,0.0,708
RSN,88,0.0,78
RSW,141,0.0,430
RTA,123,0.0,415
RTB,134,0.0,485
RTD,133,0.0,415
RTN,128,0.0,417
RTST,138,0.0,494
RTZ,137,0.0,494
RV,112,0.0,393
RVS,54,0.0,257
SBK,155,0.0,488
SD,83,0.0,551
SDA,226,0.0,176
SDM,137,0.0,485
SDT,114,0.0,348
SDTB,117,0.0,349
SGL,179,0.0,474
SGN,175,0.0,909
SHL,123,0.0,344
SK,210,0.0,119
SKND,209,0.0,119
SM,118,0.0,407
SN,157,0.0,489
SOG,177,0.0,475
SPTN,141,0.0,851
SPTZ,139,0.0,851
SRN,141,0.0,485
SSH,135,0.0,438
ST,84,0.0,551
STD,148,0.0,456
STM,221,0.0,182
STV,239,0.0,127
STZ,85,0.0,541
SWD,210,0.0,170
SWK,135,0.0,152
TB,103,0.0,372
TBG,17,36.354838709677416,17
TBR,108,0.0,385
TBU,104,0.0,385
TG,105,0.0,374
TL,63,0.0,274
TPSW,65,0.0,274
TWL,67,0.0,78
UHM,234,0.0,186
UHZ,231,0.0,186
UST,226,0.0,185
UT,77,0.0,257
UTG,138,0.0,855
UTLN,79,0.0,355
UTLR,80,0.0,330
UTO,80,0.0,330
UTT,82,0.0,330
UTVR,76,0.0,355
UTZL,79,0.0,330
VB,134,0.0,415
VD,58,0.0,12
VDL,171,0.0,475
VDM,226,0.0,183
VEM,50,0.0,12
VG,85,0.0,372
VH,135,0.0,438
VHP,114,0.0,149
VK,180,0.0,475
VL,100,0.0,373
VLB,70,0.0,320
VNDC,88,0.0,313
VNDW,87,0.0,313
VP,23,0.0,6
VRY,77,0.0,321
VS,223,0.0,746
VSS,222,0.0,746
VST,132,0.0,523
VSV,24,35.54838709677419,17
VTN,84,0.0,335
VZ,107,0.0,148
WAD,117,0.0,415
WADN,118,0.0,415
WADT,116,0.0,415
WC,47,0.0,257
WD,93,0.0,330
WDN,96,0.0,85
WF,27,0.0,257
WFM,223,0.0,185
WH,79,0.0,88
WK,226,0.0,122
WL,6,57.83870967741935,0
WM,131,0.0,820
WP,101,0.0,549
WR,253,0.0,194
WS,231,0.0,185
WSM,215,0.0,171
WT,141,0.0,434
WTV,14,55.483870967741936,3
WV,148,0.0,102
WW,45,35.54838709677419,36
WWW,46,0.0,36
WZ,102,0.0,102
YPB,130,0.0,415
ZA,41,0.0,271
ZB,218,0.0,179
ZBM,84,0.0,317
ZD,125,0.0,817
ZDK,128,0.0,820
ZH,211,0.0,170
ZL,93,0.0,88
ZLSH,98,0.0,102
ZLW,139,0.0,726
ZP,46,0.0,12
ZTM,125,0.0,415
ZTMO,124,0.0,415
ZV,5,55.483870967741936,0
ZVB,147,0.0,731
ZVT,142,0.0,834
ZWD,126,0.0,468
ZZS,128,0.0,820
