Station Code,Distance from NMH,Services from/to NMH,Disruptions on path to NMH
NMGO,6,0.0,21
NMH,0,0.0,0
NML,4,0.0,21
NS,112,0.0,301
NSCH,248,0.0,454
NVD,109,0.0,288
NVP,136,0.0,567
NWK,121,0.0,436
O,27,0.0,21
OBD,170,0.0,594
ODB,120,0.0,456
ODZ,107,0.0,348
OMN,121,0.0,378
OP,28,0.0,35
OST,77,0.0,347
OT,67,0.0,158
OTB,26,0.0,278
OVN,139,0.0,610
OW,28,0.0,42
PMO,143,0.0,573
PMR,142,0.0,594
PMW,141,0.0,597
PT,91,0.0,301
RAI,114,0.0,354
RAT,116,0.0,371
RB,142,0.0,487
RD,242,0.0,455
RH,32,0.0,279
RHN,99,0.0,78
RL,73,0.0,283
RLB,118,0.0,329
RM,82,34.354838709677416,129
RS,39,0.0,42
RSD,113,0.0,451
RSN,93,0.0,281
RSW,144,0.0,451
RTA,126,0.0,436
RTB,124,0.0,230
RTD,125,0.0,230
RTN,130,0.0,300
RTST,120,0.0,230
RTZ,121,0.0,230
RV,71,34.354838709677416,115
RVS,19,0.0,21
SBK,114,0.0,210
SD,86,0.0,315
SDA,231,0.0,445
SDM,129,0.0,300
SDT,95,0.0,112
SDTB,98,0.0,113
SGL,138,0.0,196
SGN,178,0.0,686
SHL,126,0.0,365
SK,215,0.0,388
SKND,214,0.0,388
SM,77,34.354838709677416,129
SN,116,0.0,211
SOG,136,0.0,197
SPTN,144,0.0,610
SPTZ,142,0.0,610
SRN,100,0.0,207
SSH,138,0.0,459
ST,87,0.0,315
STD,107,0.0,178
STM,226,0.0,451
STV,244,0.0,396
STZ,88,0.0,305
SWD,215,0.0,439
SWK,140,0.0,421
TB,68,0.0,115
TBG,58,0.0,315
TBR,73,0.0,128
TBU,69,0.0,128
TG,64,34.354838709677416,96
TL,44,0.0,38
TPSW,46,0.0,38
TWL,72,0.0,347
UHM,239,0.0,455
UHZ,236,0.0,455
UST,231,0.0,454
UT,80,0.0,278
UTG,141,0.0,632
UTLN,78,0.0,162
UTLR,83,0.0,351
UTO,83,0.0,351
UTT,85,0.0,351
UTVR,79,0.0,119
UTZL,82,0.0,351
VB,137,0.0,436
VD,63,0.0,281
VDL,130,0.0,197
VDM,231,0.0,452
VEM,55,0.0,281
VG,50,0.0,115
VH,138,0.0,459
VHP,119,0.0,418
VK,139,0.0,197
VL,59,38.45161290322581,95
VLB,29,47.2258064516129,42
VNDC,91,0.0,77
VNDW,90,0.0,77
VP,28,0.0,279
VRY,36,47.2258064516129,43
VS,188,0.0,483
VSS,187,0.0,456
VST,135,0.0,544
VSV,65,0.0,315
VTN,87,0.0,356
VZ,112,0.0,417
WAD,120,0.0,436
WADN,121,0.0,436
WADT,119,0.0,436
WC,12,0.0,21
WD,96,0.0,351
WDN,101,0.0,288
WF,30,0.0,21
WFM,228,0.0,454
WH,84,0.0,357
WK,231,0.0,391
WL,47,0.0,298
WM,134,0.0,597
WP,104,0.0,313
WR,258,0.0,463
WS,236,0.0,454
WSM,220,0.0,440
WT,106,0.0,158
WTV,27,0.0,280
WV,153,0.0,371
WW,86,0.0,334
WWW,87,0.0,334
WZ,107,0.0,371
YPB,133,0.0,354
ZA,22,0.0,35
ZB,223,0.0,448
ZBM,59,0.0,115
ZD,128,0.0,594
ZDK,131,0.0,597
ZH,216,0.0,439
ZL,98,0.0,357
ZLSH,103,0.0,371
ZLW,104,0.0,469
ZP,51,0.0,281
ZTM,128,0.0,351
ZTMO,127,0.0,436
ZV,36,0.0,278
ZVB,112,0.0,474
ZVT,145,0.0,610
ZWD,107,0.0,230
ZZS,131,0.0,597
