Station Code,Distance from GW,Services from/to GW,Disruptions on path to GW
WSM,83,0.0,56
WT,277,0.0,469
WTV,161,0.0,106
WV,27,28.93548387096774,7
WW,174,0.0,111
WWW,173,0.0,111
WZ,91,0.0,21
YPB,222,0.0,419
ZA,180,0.0,371
ZB,90,0.0,79
ZBM,204,0.0,458
ZD,203,0.0,431
ZDK,206,0.0,434
ZH,55,0.0,17
ZL,82,23.06451612903226,7
ZLSH,87,0.0,21
ZLW,259,0.0,609
ZP,129,0.0,97
ZTM,217,0.0,419
ZTMO,216,0.0,419
ZV,170,0.0,109
ZVB,267,0.0,614
ZVT,220,0.0,448
ZWD,243,0.0,603
ZZS,206,0.0,434
