Station Code,Distance from BK,Services from/to BK,Disruptions on path to BK
FN,325,0.0,569
FWD,322,0.0,569
GBG,254,0.0,615
GD,197,0.0,241
GDG,194,0.0,241
GDM,139,0.0,168
GDR,172,0.0,496
GERP,317,0.0,605
GK,338,0.0,620
GLN,12,0.0,3
GN,319,0.0,605
GND,174,0.0,232
GNN,323,0.0,620
GO,196,0.0,469
GP,79,0.0,59
GR,165,0.0,230
GS,217,0.0,442
GV,175,0.0,20
GVC,176,0.0,35
GVM,180,0.0,35
GVMW,174,0.0,20
GW,295,0.0,609
GZ,133,0.0,110
HAD,216,0.0,45
HB,23,0.0,34
HBZM,177,0.0,242
HD,213,0.0,484
HDB,248,0.0,602
HDE,231,0.0,552
HDG,318,0.0,569
HDR,285,0.0,621
HDRZ,284,0.0,621
HFD,215,0.0,35
HGL,211,0.0,510
HGLG,209,0.0,510
HGLO,213,0.0,529
HGV,261,0.0,552
HGZ,330,0.0,628
HIL,209,0.0,45
HK,230,0.0,559
HKS,257,0.0,576
HLG,334,0.0,570
HLGH,335,0.0,574
HLM,220,0.0,45
HLMS,221,0.0,45
HLO,238,0.0,526
HM,95,0.0,114
HMBH,94,0.0,114
HMBV,95,0.0,114
HMH,96,0.0,118
HMN,140,0.0,216
HN,247,0.0,520
HNK,248,0.0,576
HNO,225,0.0,552
HNP,350,0.0,572
HON,201,0.0,462
HOR,177,0.0,241
HR,279,0.0,609
HRL,27,0.0,3
HRLW,29,0.0,20
HRN,313,0.0,605
HRT,68,0.0,138
HT,117,0.0,95
HTN,157,0.0,264
HTNC,156,0.0,264
HTO,118,0.0,168
HVL,182,0.0,242
HVS,183,0.0,241
HVSM,184,0.0,242
HVSP,182,0.0,241
HWD,250,0.0,602
HWZB,215,0.0,520
HZE,74,0.0,54
IJT,333,0.0,570
KBD,199,0.0,442
KBK,175,0.0,462
KLP,161,0.0,224
KMA,222,0.0,533
KMR,31,0.0,47
KMW,355,0.0,577
KPN,228,0.0,552
KPNZ,228,0.0,552
KRD,35,0.0,31
KRG,206,0.0,442
KTR,147,0.0,216
KW,327,0.0,626
KZ,216,0.0,523
LAA,177,0.0,35
LC,183,0.0,462
LDL,192,0.0,45
LDM,153,0.0,212
LEDN,191,0.0,35
LG,30,0.0,20
LLS,238,0.0,385
LLZM,191,0.0,64
LP,345,0.0,632
LTN,162,0.0,225
LTV,201,0.0,464
LUT,4,37.64516129032258,0
LW,308,0.0,552
LWC,311,0.0,569
MAS,172,0.0,241
MDB,236,0.0,469
MES,19,0.0,33
MG,318,0.0,569
MMLH,108,0.0,170
MP,241,0.0,552
MRB,240,0.0,599
MRN,183,0.0,368
MT,13,37.67741935483871,31
MTH,328,0.0,628
MTN,16,0.0,33
MTR,14,37.67741935483871,33
MZ,64,0.0,52
NDB,189,0.0,242
NH,20,0.0,34
NKK,197,0.0,481
NM,118,0.0,181
NMD,123,0.0,202
NMGO,121,0.0,202
NMH,115,0.0,181
NML,119,0.0,202
NS,225,0.0,481
NSCH,363,0.0,635
NVD,224,0.0,469
NVP,210,0.0,45
NWK,206,0.0,326
O,136,0.0,168
OBD,256,0.0,520
ODB,174,0.0,442
ODZ,222,0.0,529
OMN,236,0.0,559
OP,143,0.0,216
OST,192,0.0,528
OT,114,0.0,95
OTB,141,0.0,459
OVN,222,0.0,45
OW,135,0.0,168
PMO,229,0.0,499
PMR,228,0.0,520
PMW,227,0.0,523
PT,204,0.0,481
RAI,199,0.0,244
RAT,231,0.0,552
RB,196,0.0,473
RD,357,0.0,636
RH,147,0.0,460
RHN,206,0.0,371
RL,188,0.0,464
RLB,186,0.0,653
RM,33,35.645161290322584,3
RS,124,0.0,168
RSD,167,0.0,437
RSN,208,0.0,462
RSW,176,0.0,20
RTA,203,0.0,507
RTB,192,0.0,554
RTD,193,0.0,437
RTN,198,0.0,507
RTST,188,0.0,554
RTZ,189,0.0,437
RV,44,0.0,52
RVS,134,0.0,202
SBK,15,0.0,33
SD,185,0.0,265
SDA,346,0.0,626
SDM,191,0.0,121
SDT,178,0.0,242
SDTB,180,0.0,554
SGL,23,0.0,47
SGN,264,0.0,612
SHL,211,0.0,255
SK,330,0.0,569
SKND,329,0.0,569
SM,38,0.0,52
SN,17,0.0,34
SOG,29,0.0,47
SPTN,227,0.0,45
SPTZ,225,0.0,45
SRN,15,35.645161290322584,3
SSH,199,0.0,45
ST,184,0.0,265
STD,8,37.64516129032258,1
STM,341,0.0,632
STV,359,0.0,577
STZ,183,0.0,265
SWD,330,0.0,620
SWK,255,0.0,602
TB,122,0.0,95
TBG,173,0.0,496
TBR,127,0.0,108
TBU,123,0.0,108
TG,51,0.0,66
TL,151,0.0,211
TPSW,149,0.0,211
TWL,187,0.0,528
UHM,354,0.0,636
UHZ,351,0.0,636
UST,346,0.0,635
UT,165,0.0,168
UTG,227,0.0,558
UTLN,161,0.0,292
UTLR,168,0.0,241
UTO,168,0.0,241
UTT,170,0.0,241
UTVR,164,0.0,292
UTZL,167,0.0,241
VB,179,0.0,64
VD,178,0.0,462
VDL,31,0.0,20
VDM,346,0.0,633
VEM,170,0.0,462
VG,113,0.0,95
VH,199,0.0,45
VHP,234,0.0,599
VK,26,0.0,47
VL,56,0.0,85
VLB,86,0.0,138
VNDC,198,0.0,370
VNDW,197,0.0,370
VP,143,0.0,460
VRY,79,0.0,138
VS,242,0.0,469
VSS,241,0.0,442
VST,186,0.0,38
VSV,180,0.0,496
VTN,172,0.0,246
VZ,227,0.0,598
WAD,205,0.0,326
WADN,206,0.0,326
WADT,204,0.0,326
WC,127,0.0,202
WD,181,0.0,241
WDN,216,0.0,469
WF,145,0.0,202
WFM,343,0.0,635
WH,199,0.0,538
WK,346,0.0,572
WL,162,0.0,479
WM,220,0.0,523
WP,198,0.0,253
WR,373,0.0,644
WS,351,0.0,635
WSM,335,0.0,621
WT,57,0.0,52
WTV,142,0.0,461
WV,268,0.0,552
WW,201,0.0,515
WWW,202,0.0,515
WZ,222,0.0,552
YPB,183,0.0,67
ZA,137,0.0,216
ZB,338,0.0,629
ZBM,130,0.0,168
ZD,214,0.0,520
ZDK,217,0.0,523
ZH,331,0.0,620
ZL,213,0.0,538
ZLSH,218,0.0,552
ZLW,158,0.0,455
ZP,166,0.0,462
ZTM,188,0.0,64
ZTMO,189,0.0,64
ZV,151,0.0,459
ZVB,166,0.0,460
ZVT,228,0.0,45
ZWD,175,0.0,554
ZZS,217,0.0,523
