station,distance,services_per_day,n_of_disruptions
HGZ,257,0,438
HIL,21,17.612903225806452,10
HK,48,0,125
HKS,96,0,137
HLG,261,0,380
HLGH,262,0,384
HLM,32,17.64516129032258,50
HLMS,33,0.03225806451612903,87
HLO,62,0,129
HM,146,0,316
HMBH,147,0,320
HMBV,143,0,316
HMH,145,0,316
HMN,110,0,308
HN,86,18.483870967741936,81
HNK,87,18.483870967741936,137
HNO,152,0,362
HNP,277,0,382
HON,151,0,414
HOR,65,0,181
HR,206,0,362
HRL,229,0,367
HRLW,231,0,384
HRN,240,0,415
HRT,173,0,348
[HRY,inf,0,0
HT,101,0,181
HTN,61,0,181
HTNC,62,0,209
HTO,102,0,254
HVL,80,0,348
HVS,71,0,137
HVSM,70,0,196
HVSP,70,0,181
HWD,74,0,205
HWZB,40,0,87
HZE,144,0,322
IJT,260,0,380
KBD,125,0,225
KBK,126,0,384
KLP,87,0,181
KMA,56,0,126
KMR,237,0,384
KMW,282,0,387
KPN,155,0,362
KPNZ,138,18.258064516129032,280
KRD,237,0,395
KRG,132,0,225
KTR,103,0,305
KW,254,0,436
KZ,55,0,84
LAA,11,60.225806451612904,3
LC,152,0,383
LDL,4,0,10
LDM,90,0,339
LEDN,3,61.25806451612903,0
LEER,315,0,454
LG,232,0,384
LLS,96,19.741935483870968,265
LLZM,27,0,35
LP,272,0,442
LTN,100,0,365
LTV,170,0,385
LUT,214,0,367
LW,235,0,362
LWC,238,0,379
MAS,60,0,181
MDB,162,0,225
MES,237,0,369
MG,245,0,379
MMLH,140,0,459
MP,168,0,362
MRB,174,0,369
MRN,73,0,213
MT,231,0,367
MTH,255,0,438
MTN,234,0,369
MTR,232,0,369
MZ,154,0,327
[NEA,inf,0,0
NDB,65,0,152
NH,222,0,398
NKK,85,0,348
NM,130,0,438
NMD,135,0,459
NMGO,133,0,459
NMH,133,0,459
NML,129,0,452
NS,113,0,348
NSCH,290,0,445
NVD,172,0,362
NVP,22,43.16129032258065,10
NWK,45,0,206
O,120,0,254
OBD,80,0,215
ODB,86,0,311
ODZ,191,0,450
OMN,163,0,369
OP,107,0,308
OST,142,0,414
OT,114,0,525
OTB,107,0,203
OVN,34,0,87
OW,119,0,257
PMO,68,18.483870967741936,82
PMR,67,18.483870967741936,81
PMW,66,18.483870967741936,84
PT,92,0,351
RAI,44,3.4193548387096775,134
RAT,158,0,362
RB,122,0,225
RD,284,0,446
RH,121,0,441
RHN,96,0,216
RL,157,0,385
RLB,42,0,198
RM,185,0,316
RS,108,0,257
RSD,93,0,189
RSN,158,0,414
RSW,16,0,18
RTA,45,0,189
RTB,36,0,189
RTD,35,0,119
RTN,40,0,189
RTST,40,0,198
RTZ,39,0,198
RV,196,0,365
RVS,128,0,275
SBK,217,0,397
SD,73,0,205
SDA,273,0,436
SDM,31,0,119
SDT,65,0,308
SDTB,62,0,308
SGL,241,0,383
SGN,88,0,215
SHL,32,43.193548387096776,10
SK,257,0,379
SKND,256,0,379
SM,190,0,365
SN,219,0,398
SOG,239,0,384
SPTN,39,0,105
SPTZ,37,0,105
SRN,203,0,394
SSH,11,43.16129032258065,10
ST,72,0,205
STD,210,0,365
STM,268,0,442
STV,286,0,387
STZ,71,0,205
SWD,257,0,430
SWK,182,0,412
TB,106,0,512
TBG,147,0,475
TBR,101,0,531
TBU,105,0,533
TG,190,0,401
TL,91,0,305
TPSW,89,0,305
TWL,127,0,383
UHM,281,0,446
UHZ,278,0,446
UST,273,0,445
UT,53,0,108
UTG,51,0,125
UTLN,57,0,181
UTLR,50,0,122
UTM,61,0,181
UTO,56,0,181
UTT,48,0,117
UTVR,54,0,181
UTZL,55,0,181
VB,15,0,32
VD,147,0,383
VDL,233,0,384
VDM,273,0,443
VEM,131,0,385
VG,105,0,254
VH,11,17.612903225806452,10
VHP,180,0,372
VK,242,0,384
VL,185,0,400
VLB,162,0,501
VNDC,88,0,215
VNDW,87,0,215
VP,117,0,441
VRY,169,0,502
VS,168,0,227
VSS,167,0,227
VST,2,60.225806451612904,0
VSV,154,0,475
VTN,46,0,108
VZ,177,0,484
WAD,28,0,121
WADN,27,0,121
WADT,29,0,121
WC,135,0,278
WD,37,0,107
WDN,166,0,421
WF,103,0,203
WFM,270,0,445
WH,149,0,424
WK,273,0,382
WL,136,0,458
WM,58,0,151
WP,56,23.161290322580644,146
WR,300,0,454
