Station Code,distance_VSV,services_per_day_VSV,n_of_disruptions_VSV
KTR,75,0,308
KW,227,0,197
KZ,151,0,857
LAA,162,0,481
LC,83,0,33
LDL,150,0,458
LDM,113,0,355
LEDN,151,0,465
LG,194,0,512
LLS,165,0,718
LLZM,146,0,452
LP,245,0,203
LTN,68,0,317
LTV,31,0,19
LUT,176,0,495
LW,208,0,123
LWC,211,0,140
MAS,108,0,367
MDB,241,0,781
MES,199,0,497
MG,218,0,140
MMLH,72,0,315
MP,141,0,123
MRB,140,0,170
MRN,97,0,348
MT,193,0,495
MTH,228,0,199
MTN,196,0,497
MTR,194,0,497
MZ,158,0,482
NDB,116,0,575
NH,184,0,526
NKK,105,0,574
NM,62,0,294
NMD,67,0,315
NMGO,65,0,315
NMH,65,0,315
NML,61,0,308
NS,133,0,574
NSCH,263,0,206
NVD,124,0,106
NVP,157,0,559
NWK,142,0,452
O,86,0,315
OBD,191,0,946
ODB,179,0,750
ODZ,122,0,100
OMN,136,0,130
OP,71,0,308
OST,92,0,99
OT,126,0,452
OTB,47,0,294
OVN,160,0,870
OW,87,0,336
PMO,164,0,855
PMR,163,0,854
PMW,162,0,857
PT,112,0,577
RAI,135,0,370
RAT,131,0,123
RB,201,0,781
RD,257,0,207
RH,51,0,43
RHN,120,0,351
RL,44,0,31
RLB,161,0,604
RM,147,0,444
RS,98,0,336
RSD,172,0,745
RSN,108,0,99
RSW,165,0,467
RTA,147,0,452
RTB,158,0,522
RTD,157,0,452
RTN,152,0,454
RTST,162,0,531
RTZ,161,0,531
RV,136,0,430
RVS,78,0,294
SBK,179,0,525
SD,107,0,588
SDA,246,0,197
SDM,161,0,522
SDT,138,0,385
SDTB,141,0,386
SGL,203,0,511
SGN,199,0,946
SHL,147,0,381
SK,230,0,140
SKND,229,0,140
SM,142,0,444
SN,181,0,526
SOG,201,0,512
SPTN,165,0,888
SPTZ,163,0,888
SRN,165,0,522
SSH,159,0,475
ST,108,0,588
STD,172,0,493
STM,241,0,203
STV,259,0,148
STZ,109,0,578
SWD,230,0,191
SWK,155,0,173
TB,127,0,409
TBG,7,35.58064516129032,0
TBR,132,0,422
TBU,128,0,422
TG,129,0,411
TL,87,0,311
TPSW,89,0,311
TWL,87,0,99
UHM,254,0,207
UHZ,251,0,207
UST,246,0,206
UT,101,0,294
UTG,162,0,892
UTLN,103,0,392
UTLR,104,0,367
UTO,104,0,367
UTT,106,0,367
UTVR,100,0,392
UTZL,103,0,367
VB,158,0,452
VD,54,0,31
VDL,195,0,512
VDM,246,0,204
VEM,70,0,33
VG,109,0,409
VH,159,0,475
VHP,134,0,170
VK,204,0,512
VL,124,0,410
VLB,94,0,357
VNDC,112,0,350
VNDW,111,0,350
VP,47,0,43
VRY,101,0,358
VS,247,0,783
VSS,246,0,783
VST,156,0,560
VSV,0,0,0
VTN,108,0,372
VZ,127,0,169
WAD,141,0,452
WADN,142,0,452
WADT,140,0,452
WC,71,0,294
WD,117,0,367
WDN,116,0,106
WF,51,0,294
WFM,243,0,206
WH,99,0,109
WK,246,0,143
WL,18,35.58064516129032,17
WM,155,0,857
WP,125,0,586
WR,273,0,215
WS,251,0,206
WSM,235,0,192
WT,165,0,471
WTV,38,35.58064516129032,40
WV,168,0,123
WW,21,35.54838709677419,19
WWW,22,0,19
WZ,122,0,123
YPB,154,0,452
ZA,65,0,308
ZB,238,0,200
ZBM,108,0,354
ZD,149,0,854
ZDK,152,0,857
ZH,231,0,191
ZL,113,0,109
ZLSH,118,0,123
ZLW,163,0,763
ZP,66,0,33
ZTM,149,0,452
ZTMO,148,0,452
ZV,29,35.58064516129032,37
ZVB,171,0,768
ZVT,166,0,871
ZWD,150,0,505
ZZS,152,0,857
