Station Code,Distance from AMF,Services from/to AMF,Disruptions on path to AMF
NKK,11,36.67741935483871,0
NM,70,0.0,297
NMD,75,0.0,318
NMGO,73,0.0,318
NMH,73,0.0,318
NML,69,0.0,311
NS,39,36.80645161290322,0
NSCH,216,0.0,97
NVD,98,0.0,14
NVP,65,0.0,256
NWK,62,0.0,158
O,88,0.0,146
OBD,97,0.0,372
ODB,127,0.0,353
ODZ,117,0.0,102
OMN,89,0.0,21
OP,75,0.0,200
OST,68,0.0,66
OT,90,0.0,189
OTB,47,0.0,40
OVN,66,0.0,296
OW,87,0.0,149
PMO,70,0.0,281
PMR,69,0.0,280
PMW,68,0.0,283
PT,18,36.70967741935484,3
RAI,43,0.0,4
RAT,84,0.0,14
RB,163,0.0,384
RD,210,0.0,98
RH,61,0.0,300
RHN,64,0.0,108
RL,83,0.0,37
RLB,84,0.0,237
RM,153,0.0,208
RS,76,0.0,149
RSD,134,0.0,348
RSN,84,0.0967741935483871,66
RSW,85,0.0,173
RTA,67,36.83870967741935,158
RTB,78,0.0,228
RTD,77,36.83870967741935,158
RTN,72,0.0,160
RTST,82,0.0,237
RTZ,81,0.0,237
RV,144,0.0,433
RVS,86,0.0,297
SBK,185,0.0,289
SD,13,0.0,14
SDA,199,0.0,88
SDM,81,0.0,228
SDT,86,0.0,228
SDTB,89,0.0,229
SGL,209,0.0,275
SGN,105,0.0,372
SHL,55,52.32258064516129,78
SK,183,0.0,31
SKND,182,0.0,31
SM,150,0.0,447
SN,187,0.0,290
SOG,207,0.0,276
SPTN,71,0.0,314
SPTZ,69,0.0,314
SRN,171,0.0,286
SSH,76,0.0,256
ST,14,0.032258064516129,14
STD,178,0.0,257
STM,194,0.0,94
STV,212,0.0,39
STZ,15,0.0,4
SWD,183,0.0,82
SWK,108,18.516129032258064,64
TB,91,0.0,146
TBG,87,0.0,334
TBR,96,0.0,159
TBU,92,0.0,159
TG,137,0.0,414
TL,59,0.0,197
TPSW,57,0.0,197
TWL,53,0.0,35
UHM,207,0.0,98
UHZ,204,0.0,98
UST,199,0.0,97
UT,21,112.58064516129032,0
UTG,68,0.0,318
UTLN,25,0.0,73
UTLR,24,0.0,73
UTO,18,35.58064516129032,24
UTT,26,0.0,73
UTVR,22,0.0,73
UTZL,23,0.0,73
VB,78,0.064516129032258,158
VD,73,0.0,35
VDL,201,0.0,276
VDM,199,0.0,95
VEM,57,0.0,37
VG,73,0.0,146
VH,79,0.0,108
VHP,106,0.0,24
VK,210,0.0,276
VL,132,0.0,413
VLB,102,0.0,360
VNDC,56,0.0,107
VNDW,55,0.0,107
VP,57,0.0,300
VRY,109,0.0,361
VS,209,0.0,386
VSS,208,0.0,386
VST,76,0.0,193
VSV,94,0.0,334
VTN,28,0.0,78
VZ,103,0.0,136
WAD,61,0.0,158
WADN,62,0.0,158
WADT,60,0.0,158
WC,79,0.0,297
WD,37,0.032258064516129,0
WDN,92,0.0,73
WF,43,0.0,40
WFM,196,0.0,97
WH,75,0.0,76
WK,199,0.0,34
WL,76,0.0,317
WM,61,0.0,283
WP,31,37.61290322580645,12
WR,226,0.0,106
WS,204,0.0,97
WSM,188,0.0,83
WT,129,0.0,208
WTV,56,0.0,299
WV,121,1.1935483870967742,14
WW,106,0.0,49
WWW,105,0.0,49
WZ,57,36.67741935483871,13
YPB,74,0.0,158
ZA,73,0.0,311
ZB,191,0.0,91
ZBM,56,0.0,197
ZD,55,0.0,280
ZDK,58,0.0,283
ZH,184,0.0,82
ZL,66,74.6774193548387,0
ZLSH,71,0.0,14
ZLW,111,0.0,348
ZP,61,0.0,35
ZTM,69,0.032258064516129,158
ZTMO,68,0.0,158
ZV,65,0.0,297
ZVB,119,0.0,353
ZVT,72,0.0,297
ZWD,95,0.0,342
ZZS,58,0.0,283
