Station Code,Distance from TPSW,Services from/to TPSW,Disruptions on path to TPSW
GDG,65,34.41935483870968,116
GDM,10,36.64516129032258,0
GDR,81,0.0,311
GERP,226,0.0,420
GK,247,0.0,435
GLN,145,0.0,210
GN,228,0.0,420
GND,45,0.0,64
GNN,232,0.0,435
GO,105,0.0,284
GP,70,0.0,178
GR,36,0.0,62
GS,147,0.0,197
GV,97,0.0,201
GVC,96,34.41935483870968,119
GVM,97,0.0,309
GVMW,98,0.0,216
GW,204,0.0,424
GZ,65,0.0,131
HAD,98,0.0,395
HB,156,0.0,241
HBZM,48,0.0,74
HD,84,0.0,359
HDB,157,0.0,417
HDE,105,0.0,356
HDG,227,0.0,384
HDR,156,0.0,496
HDRZ,155,0.0,496
HFD,87,0.0,131
HGL,120,0.0,325
HGLG,118,0.0,325
HGLO,122,0.0,344
HGV,170,0.0,367
HGZ,239,0.0,443
HIL,104,0.0,224
HK,101,0.0,434
HKS,128,0.0,451
HLG,243,0.0,385
HLGH,244,0.0,389
HLM,94,0.0,374
HLMS,93,0.0,395
HLO,109,0.0,401
HM,77,0.0,159
HMBH,78,0.0,163
HMBV,74,0.0,178
HMH,76,0.0,178
HMN,21,0.0,3
HN,118,0.0,395
HNK,119,0.0,451
HNO,134,0.0,367
HNP,259,0.0,387
HON,110,0.0,277
HOR,48,0.0,116
HR,188,0.0,424
HRL,160,0.0,210
HRLW,162,0.0,227
HRN,222,0.0,420
HRT,104,0.0,191
HT,32,0.0,43
HTN,28,36.64516129032258,96
HTNC,27,36.64516129032258,96
HTO,33,0.0,116
HVL,63,0.0,356
HVS,54,0.0,116
HVSM,55,0.0,117
HVSP,53,0.0,116
HWD,121,0.0,477
HWZB,86,0.0,395
HZE,75,0.0,184
IJT,242,0.0,385
KBD,129,0.0,197
KBK,84,0.0,277
KLP,68,0.0,200
KMA,93,0.0,408
KMR,168,0.0,227
KMW,264,0.0,392
KPN,137,0.0,367
KPNZ,137,0.0,367
KRD,168,0.0,238
KRG,136,0.0,197
KTR,14,0.0,0
KW,236,0.0,441
KZ,87,0.0,398
LAA,97,0.0,148
LC,92,0.0,277
LDL,85,0.0,207
LDM,24,0.0,44
LEDN,86,0.0,214
LG,163,0.0,227
LLS,109,0.0,260
LLZM,81,34.41935483870968,201
LP,254,0.0,447
LTN,71,0.0,297
LTV,110,0.0,279
LUT,145,0.0,210
LW,217,0.0,367
LWC,220,0.0,384
MAS,43,0.0,116
MDB,166,0.0,224
MES,168,0.0,212
MG,227,0.0,384
MMLH,53,0.0,38
MP,150,0.0,367
MRB,149,0.0,414
MRN,54,0.0,200
MT,162,0.0,210
MTH,237,0.0,443
MTN,165,0.0,212
MTR,163,0.0,212
MZ,85,0.0,189
NDB,60,0.0,117
NH,153,0.0,241
NKK,68,0.0,356
NM,43,0.0,17
NMD,48,0.0,38
NMGO,46,0.0,38
NMH,46,0.0,38
NML,42,0.0,17
NS,96,0.0,356
NSCH,272,0.0,450
NVD,133,0.0,284
NVP,92,0.0,259
NWK,77,0.0,201
O,51,0.0,116
OBD,127,0.0,395
ODB,90,0.0,197
ODZ,131,0.0,344
OMN,145,0.0,374
OP,18,0.0,3
OST,101,0.0,343
OT,53,0.0,159
OTB,50,0.0,274
OVN,96,0.0,411
OW,50,0.0,116
PMO,100,0.0,374
PMR,99,0.0,395
PMW,98,0.0,398
PT,75,0.0,356
RAI,70,0.0,119
RAT,140,0.0,367
RB,126,0.0,197
RD,266,0.0,451
RH,56,0.0,275
RHN,77,0.0,203
RL,97,0.0,279
RLB,72,0.0,291
RM,116,0.0,159
RS,39,0.0,116
RSD,97,0.0,192
RSN,117,0.0,277
RSW,98,0.0,293
RTA,82,0.0,201
RTB,78,0.0,192
RTD,79,0.0,192
RTN,84,0.0,262
RTST,74,0.0,192
RTZ,75,0.0,192
RV,117,0.0,153
RVS,59,0.0,137
SBK,148,0.0,240
SD,56,0.0,140
SDA,255,0.0,441
SDM,83,0.0,262
SDT,49,0.0,74
SDTB,52,0.0,75
SGL,172,0.0,226
SGN,135,0.0,487
SHL,82,0.0,57
SK,239,0.0,384
SKND,238,0.0,384
SM,121,0.0,208
SN,150,0.0,241
SOG,170,0.0,227
SPTN,101,0.0,411
SPTZ,99,0.0,411
SRN,134,0.0,237
SSH,94,0.0,224
ST,55,0.0,140
STD,141,0.0,208
STM,250,0.0,447
STV,268,0.0,392
STZ,54,0.0,140
SWD,239,0.0,435
SWK,164,0.0,417
TB,54,0.0,116
TBG,82,0.0,311
TBR,59,0.0,129
TBU,55,0.0,129
TG,110,0.0,134
TL,2,37.25806451612903,0
TPSW,0,0.0,0
TWL,96,0.0,343
UHM,263,0.0,451
UHZ,260,0.0,451
UST,255,0.0,450
UT,36,36.64516129032258,43
UTG,98,0.0,433
UTLN,32,36.64516129032258,124
UTLR,39,34.41935483870968,116
UTO,39,0.0,116
UTT,41,34.41935483870968,116
UTVR,35,36.64516129032258,124
UTZL,38,0.0,116
VB,93,34.41935483870968,201
VD,87,0.0,277
VDL,164,0.0,227
VDM,255,0.0,448
VEM,79,0.0,277
VG,36,0.0,116
VH,94,0.0,224
VHP,143,0.0,414
VK,173,0.0,227
VL,105,0.0,133
VLB,75,0.0,80
VNDC,69,0.0,202
VNDW,68,0.0,202
VP,52,0.0,275
VRY,82,0.0,81
VS,172,0.0,224
VSS,171,0.0,197
VST,91,0.0,309
VSV,89,0.0,311
VTN,43,34.41935483870968,121
VZ,136,0.0,413
WAD,76,0.0,201
WADN,77,0.0,201
WADT,75,0.0,201
WC,52,0.0,38
WD,52,34.41935483870968,116
WDN,125,0.0,284
WF,54,0.0,274
WFM,252,0.0,450
WH,108,0.0,353
WK,255,0.0,387
WL,71,0.0,294
WM,91,0.0,398
WP,69,0.0,128
WR,282,0.0,459
WS,260,0.0,450
WSM,244,0.0,436
WT,92,0.0,159
WTV,51,0.0,276
WV,177,0.0,367
WW,110,0.0,330
WWW,111,0.0,330
WZ,114,0.0,369
YPB,89,34.41935483870968,119
ZA,24,0.0,3
ZB,247,0.0,444
ZBM,19,0.0,43
ZD,85,0.0,395
ZDK,88,0.0,398
ZH,240,0.0,435
ZL,122,0.0,353
ZLSH,127,0.0,367
ZLW,74,0.0,192
ZP,75,0.0,277
ZTM,84,26.451612903225808,116
ZTMO,83,34.41935483870968,201
ZV,60,0.0,274
ZVB,82,0.0,197
ZVT,102,0.0,411
ZWD,61,0.0,192
ZZS,88,0.0,398
