Station Code,Distance from SPTZ,Services from/to SPTZ,Disruptions on path to SPTZ
VHP,175,0.0,319
VK,211,0.0,42
VL,195,0.0,506
VLB,171,0.0,652
VNDC,98,0.0,402
VNDW,97,0.0,402
VP,126,0.0,847
VRY,178,0.0,653
VS,205,0.0,228
VSS,204,0.0,201
VST,39,0.0,95
VSV,163,0.0,883
VTN,70,0.0,373
VZ,172,0.0,685
WAD,59,0.0,121
WADN,58,0.0,121
WADT,60,0.0,121
WC,145,0.0,465
WD,68,0.0,107
WDN,161,0.0,591
WF,112,0.0,589
WFM,265,0.0,392
WH,144,0.0,625
WK,268,0.0,569
WL,145,0.0,866
WM,21,0.0,46
WP,38,0.0,296
WR,295,0.0,401
WS,273,0.0,392
WSM,257,0.0,378
WT,171,0.0,506
WTV,125,0.0,848
WV,190,0.0,309
WW,175,0.0,598
WWW,174,0.0,598
WZ,126,0.0,562
YPB,56,0.0,42
ZA,123,0.0,414
ZB,260,0.0,386
ZBM,98,0.0,411
ZD,26,0.0,37
ZDK,29,0.0,40
ZH,253,0.0,377
ZL,135,0.0,295
ZLSH,140,0.0,309
ZLW,107,0.0,243
ZP,130,0.0,584
ZTM,61,0.0,39
ZTMO,62,0.0,39
ZV,134,0.0,846
ZVB,115,0.0,248
ZVT,13,7.193548387096774,37
ZWD,90,0.0,301
ZZS,24,0.0,56
