Station Code,Distance from EDC,Services from/to EDC,Disruptions on path to EDC
ED,2,38.25806451612903,0
EDC,0,0.0,0
EDN,178,0.0,225
EEM,246,0.0,469
EGH,172,0.0,240
EGHM,173,0.0,240
EHS,112,0.0,213
EHV,113,0.0,137
EKZ,138,0.0,622
EML,55,0.0,257
EMN,163,0.0,450
EMNZ,159,0.0,449
ES,101,0.0,349
ESK,97,0.0,349
EST,30,0.0,279
ETN,135,0.0,473
FN,207,0.0,389
FWD,204,0.0,389
GBG,136,0.0,435
GD,75,0.0,95
GDG,72,0.0,95
GDM,67,0.0,179
GDR,54,0.0,316
GERP,199,0.0,425
GK,220,0.0,440
GLN,152,0.0,223
GN,201,0.0,425
GND,102,0.0,243
GNN,205,0.0,440
GO,78,0.0,289
GP,119,0.0,199
GR,93,0.0,241
GS,198,0.0,478
GV,104,0.0,180
GVC,103,0.0,98
GVM,104,0.0,288
GVMW,105,0.0,195
GW,177,0.0,429
GZ,114,0.0,152
HAD,100,0.0,550
HB,163,0.0,254
HBZM,105,0.0,253
HD,59,0.0,260
HDB,130,0.0,422
HDE,80,0.0,257
HDG,200,0.0,389
HDR,158,0.0,651
HDRZ,157,0.0,651
HFD,92,0.0,332
HGL,93,0.0,330
HGLG,91,0.0,330
HGLO,95,0.0,349
HGV,143,0.0,372
HGZ,212,0.0,448
HIL,107,0.0,550
HK,103,0.0,589
HKS,130,0.0,606
HLG,216,0.0,390
HLGH,217,0.0,394
HLM,96,0.0,529
HLMS,95,0.0,550
HLO,111,0.0,556
HM,126,0.0,180
HMBH,127,0.0,184
HMBV,123,0.0,199
HMH,125,0.0,199
HMN,44,0.0,293
HN,120,0.0,550
HNK,121,0.0,606
HNO,107,0.0,372
HNP,232,0.0,392
HON,83,0.0,282
HOR,54,0.0,258
HR,161,0.0,429
HRL,167,0.0,223
HRLW,169,0.0,240
HRN,195,0.0,425
HRT,108,0.0,138
HT,81,0.0,64
HTN,49,0.0,98
HTNC,50,0.0,126
HTO,80,0.0,64
HVL,26,38.064516129032256,17
HVS,48,0.0,257
HVSM,49,0.0,258
HVSP,49,0.0,258
HWD,123,0.0,632
HWZB,88,0.0,550
HZE,124,0.0,205
IJT,215,0.0,390
KBD,180,0.0,478
KBK,57,0.0,282
KLP,9,0.0,22
KMA,95,0.0,563
KMR,175,0.0,240
KMW,237,0.0,397
KPN,110,0.0,372
KPNZ,110,0.0,372
KRD,175,0.0,251
KRG,187,0.0,478
KTR,51,0.0,293
KW,209,0.0,446
KZ,89,0.0,553
LAA,104,0.0,127
LC,65,0.0,282
LDL,92,0.0,186
LDM,81,0.0,223
LEDN,93,0.0,193
LG,170,0.0,240
LLS,103,0.0,401
LLZM,88,0.0,180
LP,227,0.0,452
LTN,6,38.064516129032256,0
LTV,83,0.0,284
LUT,152,0.0,223
LW,190,0.0,372
LWC,193,0.0,389
MAS,50,0.0,95
MDB,217,0.0,505
MES,175,0.0,225
MG,200,0.0,389
MMLH,48,0.0,43
MP,123,0.0,372
MRB,122,0.0,419
MRN,39,0.0,54
MT,169,0.0,223
MTH,210,0.0,448
MTN,172,0.0,225
MTR,170,0.0,225
MZ,134,0.0,210
NDB,54,0.0,258
NH,160,0.0,254
NKK,43,0.0,257
NM,38,0.0,22
NMD,43,0.0,43
NMGO,41,0.0,43
NMH,41,0.0,43
NML,37,0.0,293
NS,71,0.0,257
NSCH,245,0.0,455
NVD,106,0.0,289
NVP,97,0.0,460
NWK,84,0.0,180
O,62,0.0,43
OBD,129,0.0,550
ODB,147,0.0,376
ODZ,104,0.0,349
OMN,118,0.0,379
OP,47,0.0,293
OST,74,0.0,348
OT,102,0.0,180
OTB,15,0.0,22
OVN,98,0.0,566
OW,63,0.0,64
PMO,102,0.0,529
PMR,101,0.0,550
PMW,100,0.0,553
PT,50,0.0,257
RAI,75,0.0,261
RAT,113,0.0,372
RB,177,0.0,509
RD,239,0.0,456
RH,29,0.0,280
RHN,62,0.0,57
RL,70,0.0,284
RLB,106,0.0,250
RM,123,0.0,172
RS,74,0.0,64
RSD,148,0.0,473
RSN,90,0.0,282
RSW,107,0.0,195
RTA,89,0.0,180
RTB,100,0.0,250
RTD,99,0.0,180
RTN,94,0.0,182
RTST,104,0.0,250
RTZ,103,0.0,250
RV,112,0.0,158
RVS,54,0.0,279
SBK,155,0.0,253
SD,45,0.0,271
SDA,228,0.0,446
SDM,103,0.0,250
SDT,106,0.0,253
SDTB,109,0.0,254
SGL,179,0.0,239
SGN,137,0.0,642
SHL,87,0.0,332
SK,212,0.0,389
SKND,211,0.0,389
SM,118,0.0,172
SN,157,0.0,254
SOG,177,0.0,240
SPTN,103,0.0,566
SPTZ,101,0.0,566
SRN,141,0.0,250
SSH,101,0.0,203
ST,46,0.0,271
STD,148,0.0,221
STM,223,0.0,452
STV,241,0.0,397
STZ,47,0.0,261
SWD,212,0.0,440
SWK,137,0.0,422
TB,103,0.0,137
TBG,55,0.0,316
TBR,108,0.0,150
TBU,104,0.0,150
TG,105,0.0,139
TL,63,0.0,296
TPSW,65,0.0,296
TWL,69,0.0,348
UHM,236,0.0,456
UHZ,233,0.0,456
UST,228,0.0,455
UT,43,0.0,22
UTG,100,0.0,588
UTLN,45,0.0,98
UTLR,46,0.0,95
UTO,46,0.0,95
UTT,48,0.0,95
UTVR,42,0.0,98
UTZL,45,0.0,95
VB,100,0.0,180
VD,60,0.0,282
VDL,171,0.0,240
VDM,228,0.0,453
VEM,52,0.0,282
VG,85,0.0,137
VH,101,0.0,203
VHP,116,0.0,419
VK,180,0.0,240
VL,100,0.0,138
VLB,70,0.0,85
VNDC,54,0.0,56
VNDW,53,0.0,56
VP,25,0.0,280
VRY,77,0.0,86
VS,223,0.0,505
VSS,222,0.0,478
VST,98,0.0,288
VSV,62,0.0,316
VTN,50,0.0,100
VZ,109,0.0,418
WAD,83,0.0,180
WADN,84,0.0,180
WADT,82,0.0,180
WC,47,0.0,279
WD,59,0.0,95
WDN,98,0.0,289
WF,11,0.0,22
WFM,225,0.0,455
WH,81,0.0,358
WK,228,0.0,392
WL,44,0.0,299
WM,93,0.0,553
WP,63,0.0,269
WR,255,0.0,464
WS,233,0.0,455
WSM,217,0.0,441
WT,141,0.0,180
WTV,24,0.0,281
WV,150,0.0,372
WW,83,0.0,335
WWW,84,0.0,335
WZ,89,0.0,270
YPB,96,0.0,98
ZA,41,0.0,293
ZB,220,0.0,449
ZBM,76,0.0,222
ZD,87,0.0,550
ZDK,90,0.0,553
ZH,213,0.0,440
ZL,95,0.0,358
ZLSH,100,0.0,372
ZLW,131,0.0,371
ZP,48,0.0,282
ZTM,91,0.0,95
ZTMO,90,0.0,180
ZV,33,0.0,279
ZVB,139,0.0,376
ZVT,104,0.0,566
ZWD,117,0.0,355
ZZS,90,0.0,553
