Station Code,Distance from TWL,Services from/to TWL,Disruptions on path to TWL
DLN,88,0.0,167
DMN,91,0.0,293
DMNZ,91,0.0,293
DN,157,0.0,442
DR,34,0.0,66
DRH,125,0.0,590
DRON,68,0.0,90
DRP,142,0.0,121
DT,143,0.0,448
DTC,78,0.0,98
DTCH,76,0.0,98
DTCP,143,0.0,503
DV,5,32.16129032258065,0
DVC,9,27.516129032258064,66
DVD,93,0.0,276
DVN,57,0.0,75
DVNK,127,0.0,383
DWE,148,0.0,107
DZ,180,0.0,188
DZW,179,0.0,188
EC,167,0.0,525
ED,67,0.0,326
EDC,69,0.0,348
EDN,209,0.0,529
EEM,187,0.0,187
EGH,203,0.0,544
EGHM,204,0.0,544
EHS,143,0.0,560
EHV,144,0.0,441
EKZ,159,0.0,627
EML,76,0.0,278
EMN,104,0.0,168
EMNZ,100,0.0,167
ES,66,6.419354838709677,155
ESK,62,6.419354838709677,155
EST,61,0.0,326
ETN,166,0.0,777
FN,148,0.0,107
FWD,145,0.0,107
GBG,77,0.0,153
GD,106,0.032258064516129,348
GDG,103,0.0,276
GDM,100,0.0,429
GDR,83,0.0,115
GERP,140,0.0,143
GK,161,0.0,158
GLN,183,0.0,527
GN,142,0.0,143
GND,135,0.0,493
GNN,146,0.0,158
GO,51,0.0,73
GP,150,0.0,503
GR,126,0.0,491
GS,229,0.0,813
GV,135,0.0,433
GVC,134,0.032258064516129,433
GVM,135,0.0,468
GVMW,136,0.0,448
GW,118,0.0,97
GZ,145,0.0,456
HAD,121,0.0,571
HB,194,0.0,558
HBZM,138,0.0,503
HD,75,0.0,90
HDB,71,0.0,140
HDE,54,0.0,90
HDG,141,0.0,107
HDR,179,0.0,656
HDRZ,178,0.0,656
HFD,113,0.0,403
HGL,58,6.419354838709677,136
HGLG,60,0.0,155
HGLO,60,0.0,155
HGV,84,0.0,90
HGZ,153,0.0,166
HIL,128,0.0,611
HK,124,0.0,594
HKS,151,0.0,611
HLG,157,0.0,108
HLGH,158,0.0,112
HLM,117,0.0,534
HLMS,116,0.0,555
HLO,132,0.0,561
HM,157,0.0,503
HMBH,158,0.0,507
HMBV,154,0.0,503
HMH,156,0.0,503
HMN,75,0.0,340
HN,141,0.0,555
HNK,142,0.0,611
HNO,48,0.0,90
HNP,173,0.0,110
HON,24,27.451612903225808,66
HOR,75,0.0,276
HR,102,0.0,90
HRL,198,0.0,527
HRLW,200,0.0,544
HRN,136,0.0,143
HRT,139,0.0,442
HT,112,0.0,368
HTN,82,0.0,348
HTNC,83,0.0,376
HTO,111,0.0,368
HVL,59,0.0,275
HVS,69,0.0,275
HVSM,70,0.0,276
HVSP,70,0.0,276
HWD,144,0.0,637
HWZB,109,0.0,555
HZE,155,0.0,509
IJT,156,0.0,108
KBD,211,0.0,813
KBK,19,0.0,36
KLP,74,0.0,348
KMA,116,0.0,568
KMR,206,0.0,544
KMW,178,0.0,115
KPN,51,0.0,90
KPNZ,51,0.0,90
KRD,206,0.0,555
KRG,218,0.0,813
KTR,82,0.0,340
KW,150,0.0,164
KZ,110,0.0,558
LAA,135,0.0,462
LC,38,0.0,66
LDL,123,0.0,366
LDM,114,0.0,473
LEDN,124,0.0,373
LG,201,0.0,544
LLS,93,0.0,90
LLZM,119,0.0,433
LP,168,0.0,170
LTN,75,0.0,349
LTV,56,0.0,68
LUT,183,0.0,527
LW,131,0.0,90
LWC,134,0.0,107
MAS,81,0.0,348
MDB,248,0.0,813
MES,206,0.0,529
MG,141,0.0,107
MMLH,79,0.0,347
MP,64,0.0,90
MRB,63,0.0,137
MRN,94,0.0,380
MT,200,0.0,527
MTH,151,0.0,166
MTN,203,0.0,529
MTR,201,0.0,529
MZ,165,0.0,514
NDB,75,0.0,276
NH,191,0.0,558
NKK,64,0.0,275
NM,69,0.0,326
NMD,74,0.0,347
NMGO,72,0.0,347
NMH,72,0.0,347
NML,68,0.0,340
NS,63,0.0,90
NSCH,186,0.0,173
NVD,47,0.0,73
NVP,118,0.0,531
NWK,115,0.0,433
O,93,0.0,347
OBD,150,0.0,647
ODB,180,0.0,628
ODZ,69,0.0,155
OMN,59,0.0,97
OP,78,0.0,340
OST,15,0.0,66
OT,133,0.0,484
OTB,54,0.0,326
OVN,119,0.0,571
OW,94,0.0,368
PMO,123,0.0,556
PMR,122,0.0,555
PMW,121,0.0,558
PT,71,0.0,278
RAI,96,0.0,279
RAT,54,0.0,90
RB,208,0.0,813
RD,180,0.0,174
RH,40,0.0,69
RHN,117,0.0,383
RL,43,0.0,68
RLB,137,0.0,512
RM,154,0.0,476
RS,105,0.0,368
RSD,179,0.0,777
RSN,31,27.451612903225808,66
RSW,138,0.0,448
RTA,120,0.0,433
RTB,131,0.0,503
RTD,130,0.0,433
RTN,125,0.0,435
RTST,135,0.0,512
RTZ,134,0.0,512
RV,143,0.0,462
RVS,85,0.0,326
SBK,186,0.0,557
SD,66,0.0,289
SDA,169,0.0,164
SDM,134,0.0,503
SDT,139,0.0,503
SDTB,142,0.0,504
SGL,210,0.0,543
SGN,158,0.0,647
SHL,108,0.0,353
SK,153,0.0,107
SKND,152,0.0,107
SM,149,0.0,476
SN,188,0.0,558
SOG,208,0.0,544
SPTN,124,0.0,589
SPTZ,122,0.0,589
SRN,172,0.0,554
SSH,129,0.0,531
ST,67,0.0,289
STD,179,0.0,525
STM,164,0.0,170
STV,182,0.0,115
STZ,68,0.0,279
SWD,153,0.0,158
SWK,78,0.0,140
TB,134,0.0,441
TBG,84,0.0,115
TBR,139,0.0,454
TBU,135,0.0,454
TG,136,0.0,443
TL,94,0.0,343
TPSW,96,0.0,343
TWL,0,0.0,0
UHM,177,0.0,174
UHZ,174,0.0,174
UST,169,0.0,173
UT,74,0.032258064516129,275
UTG,121,0.0,593
UTLN,78,0.0,348
UTLR,77,0.0,348
UTO,71,0.0,299
UTT,79,0.0,348
UTVR,75,0.0,348
UTZL,76,0.0,348
VB,131,0.0,433
VD,33,0.0,66
VDL,202,0.0,544
VDM,169,0.0,171
VEM,24,0.0,37
VG,116,0.0,441
VH,132,0.0,383
VHP,57,0.0,137
VK,211,0.0,544
VL,131,0.0,442
VLB,101,0.0,389
VNDC,109,0.0,382
VNDW,108,0.0,382
VP,44,0.0,72
VRY,108,0.0,390
VS,254,0.0,815
VSS,253,0.0,815
VST,129,0.0,468
VSV,87,0.0,99
VTN,81,0.0,353
VZ,50,0.0,136
WAD,114,0.0,433
WADN,115,0.0,433
WADT,113,0.0,433
WC,78,0.0,326
WD,90,0.0,275
WDN,39,27.451612903225808,73
WF,58,0.0,326
WFM,166,0.0,173
WH,22,0.0,76
WK,169,0.0,110
WL,73,0.0,98
WM,114,0.0,558
WP,84,0.0,287
WR,196,0.0,182
WS,174,0.0,173
WSM,158,0.0,159
WT,172,0.0,503
WTV,53,0.0,75
WV,91,0.0,90
WW,66,0.0,80
WWW,65,0.0,80
WZ,45,0.0,90
YPB,127,0.0,433
ZA,72,0.0,340
ZB,161,0.0,167
ZBM,109,0.0,472
ZD,108,0.0,555
ZDK,111,0.0,558
ZH,154,0.0,158
ZL,36,0.0,76
ZLSH,41,0.0,90
ZLW,164,0.0,623
ZP,21,0.0,66
ZTM,122,0.0,433
ZTMO,121,0.0,433
ZV,62,0.0,78
ZVB,172,0.0,628
ZVT,125,0.0,572
ZWD,148,0.0,617
ZZS,111,0.0,558
