station,distance,services_per_day,n_of_disruptions
VDL,4,38.41935483870968,0
VDM,365,0,649
VEM,189,0,478
VG,132,0,249
VH,242,0,384
VHP,253,0,615
VK,5,38.41935483870968,0
VL,75,0,101
VLB,105,0,154
VNDC,217,0,405
VNDW,216,0,405
VP,162,0,478
VRY,98,0,154
VS,261,0,491
VSS,260,0,491
VST,239,0,469
VSV,199,0,512
VTN,191,0,281
VZ,246,0,614
WAD,224,0,361
WADN,225,0,361
WADT,223,0,361
WC,146,0,218
WD,200,0,276
WDN,235,0,551
WF,164,0,475
WFM,362,0,651
WH,218,0,554
WK,365,0,588
WL,181,0,495
WM,239,0,558
WP,217,0,288
WR,392,0,660
WS,370,0,651
WSM,354,0,637
WT,76,0,68
WTV,161,0,477
WV,287,0,568
WW,220,0,531
WWW,221,0,531
WZ,241,0,568
YPB,237,0,361
ZA,156,0,232
ZB,357,0,645
ZBM,149,0,203
ZD,233,0,555
ZDK,236,0,558
ZH,350,0,636
ZL,232,0,554
ZLSH,237,0,568
ZLW,177,0,471
ZP,185,0,478
ZTM,232,0,361
ZTMO,231,0,361
ZV,170,0,475
ZVB,185,0,476
ZVT,250,0,572
ZWD,194,0,570
ZZS,236,0,558
