Station Code,Distance from AML,Services from/to AML,Disruptions on path to AML
SDT,179,0.0,417
SDTB,182,0.0,418
SGL,244,0.0,543
SGN,202,0.0,691
SHL,152,15.935483870967742,381
SK,162,0.0,43
SKND,161,0.0,43
SM,183,0.0,476
SN,222,0.0,558
SOG,242,0.0,544
SPTN,168,0.0,615
SPTZ,166,0.0,615
SRN,206,0.0,554
SSH,173,0.0,509
ST,111,0.0,320
STD,213,0.0,525
STM,173,0.0,106
STV,191,0.0,51
STZ,112,0.0,310
SWD,162,0.0,94
SWK,87,0.0,76
TB,168,0.0,441
TBG,118,0.0,115
TBR,173,0.0,454
TBU,169,0.0,454
TG,170,0.0,443
TL,128,0.0,343
TPSW,130,0.0,343
TWL,44,27.967741935483872,66
UHM,186,0.0,110
UHZ,183,0.0,110
UST,178,0.0,109
UT,118,17.580645161290324,306
UTG,165,0.0,637
UTLN,122,0.0,379
UTLR,121,0.0,379
UTO,115,0.0,306
UTT,123,0.0,379
UTVR,119,0.0,379
UTZL,120,0.0,379
VB,175,0.032258064516129,464
VD,67,0.0,66
VDL,236,0.0,544
VDM,178,0.0,107
VEM,59,0.0,66
VG,150,0.0,441
VH,176,0.0,414
VHP,13,25.32258064516129,1
VK,245,0.0,544
VL,165,0.0,442
VLB,135,0.0,389
VNDC,153,0.0,413
VNDW,152,0.0,413
VP,78,0.0,72
VRY,142,0.0,390
VS,288,0.0,809
VSS,287,0.0,782
VST,173,0.0,499
VSV,121,0.0,99
VTN,125,0.0,384
VZ,6,25.32258064516129,0
WAD,158,0.0,464
WADN,159,0.0,464
WADT,157,0.0,464
WC,112,0.0,326
WD,134,0.0,306
WDN,5,70.2258064516129,0
WF,92,0.0,326
WFM,175,0.0,109
WH,56,0.0,76
WK,178,0.0,46
WL,107,0.0,98
WM,158,0.0,602
WP,128,0.0,318
WR,205,0.0,118
WS,183,0.0,109
WSM,167,0.0,95
WT,206,0.0,484
WTV,87,0.0,75
WV,100,0.0,26
WW,100,0.0,80
WWW,99,0.0,80
WZ,54,0.0,26
YPB,171,0.0,382
ZA,106,0.0,340
ZB,170,0.0,103
ZBM,149,0.0,386
ZD,152,0.0,599
ZDK,155,0.0,602
ZH,163,0.0,94
ZL,45,47.25806451612903,12
ZLSH,50,0.0,26
ZLW,204,0.0,795
ZP,55,0.0,66
ZTM,166,0.0,379
ZTMO,165,0.0,464
ZV,96,0.0,78
ZVB,212,0.0,800
ZVT,169,0.0,615
ZWD,191,0.0,535
ZZS,155,0.0,602
