Station Code,Distance from HGLG,Services from/to HGLG,Disruptions on path to HGLG
UHM,202,0.0,199
UHZ,199,0.0,199
UST,194,0.0,198
UT,125,0.0,323
UTG,172,0.0,641
UTLN,129,0.0,396
UTLR,128,0.0,396
UTO,122,0.0,347
UTT,130,0.0,396
UTVR,126,0.0,396
UTZL,127,0.0,396
VB,182,0.0,481
VD,55,0.0,48
VDL,224,0.0,526
VDM,194,0.0,196
VEM,47,0.0,48
VG,138,0.0,423
VH,183,0.0,431
VHP,29,0.0,90
VK,233,0.0,526
VL,153,0.0,424
VLB,123,0.0,371
VNDC,141,0.0,364
VNDW,140,0.0,364
VP,66,0.0,54
VRY,130,0.0,372
VS,276,0.0,797
VSS,275,0.0,797
VST,180,0.0,516
VSV,109,0.0,81
VTN,132,0.0,401
VZ,22,0.0,89
WAD,165,0.0,481
WADN,166,0.0,481
WADT,164,0.0,481
WC,100,0.0,308
WD,141,0.0,323
WDN,21,0.0,89
WF,80,0.0,308
WFM,191,0.0,198
WH,72,0.0,165
WK,194,0.0,135
WL,95,0.0,80
WM,165,0.0,606
WP,135,0.0,335
WR,221,0.0,207
WS,199,0.0,198
WSM,183,0.0,184
WT,194,0.0,485
WTV,75,0.0,57
WV,116,0.0,115
WW,88,0.0,62
WWW,87,0.0,62
WZ,70,0.0,115
YPB,178,0.0,481
ZA,94,0.0,322
ZB,186,0.0,192
ZBM,137,0.0,368
ZD,159,0.0,603
ZDK,162,0.0,606
ZH,179,0.0,183
ZL,61,0.0,101
ZLSH,66,0.0,115
ZLW,192,0.0,777
ZP,43,32.193548387096776,48
ZTM,173,0.0,481
ZTMO,172,0.0,481
ZV,84,0.0,60
ZVB,200,0.0,782
ZVT,176,0.0,620
ZWD,179,0.0,519
ZZS,162,0.0,606
