Station Code,Distance from OST,Services from/to OST,Disruptions on path to OST
LUT,188,0.0,527
LW,116,0.0,14
LWC,119,0.0,31
MAS,96,0.0,379
MDB,253,0.0,809
MES,211,0.0,529
MG,126,0.0,31
MMLH,84,0.0,347
MP,49,0.0,14
MRB,55,0.0,21
MRN,109,0.0,411
MT,205,0.0,527
MTH,136,0.0,90
MTN,208,0.0,529
MTR,206,0.0,529
MZ,170,0.0,514
NDB,90,0.0,307
NH,196,0.0,558
NKK,76,0.0,17
NM,74,33.29032258064516,326
NMD,79,0.0,347
NMGO,77,0.0,347
NMH,77,0.0,347
NML,73,0.0,340
NS,48,0.0,14
NSCH,171,0.0,97
NVD,52,0.0,73
NVP,133,0.0,509
NWK,130,0.0,464
O,98,32.41935483870968,347
OBD,165,0.0,599
ODB,191,0.0,782
ODZ,74,0.0,92
OMN,44,0.0,21
OP,83,0.0,340
OST,0,0.0,0
OT,138,0.0,484
OTB,59,0.0,326
OVN,134,0.0,615
OW,99,0.0,368
PMO,138,0.0,578
PMR,137,0.0,599
PMW,136,0.0,602
PT,69,0.0,14
RAI,111,0.0,310
RAT,39,0.0,14
RB,213,0.0,813
RD,165,0.0,98
RH,45,0.8387096774193549,69
RHN,132,0.0,414
RL,48,0.0,68
RLB,152,0.0,534
RM,159,0.0,476
RS,110,0.032258064516129,368
RSD,184,32.38709677419355,777
RSN,36,0.0,66
RSW,153,0.0,479
RTA,135,0.0,464
RTB,146,0.0,534
RTD,145,0.0,464
RTN,140,0.0,466
RTST,150,0.0,534
RTZ,149,0.0,534
RV,148,0.0,462
RVS,90,0.0,326
SBK,191,0.0,557
SD,81,0.0,320
SDA,154,0.0,88
SDM,149,0.0,534
SDT,150,0.0,417
SDTB,153,0.0,418
SGL,215,0.0,543
SGN,173,0.0,691
SHL,123,0.0,381
SK,138,0.0,31
SKND,137,0.0,31
SM,154,0.0,476
SN,193,0.0,558
SOG,213,0.0,544
SPTN,139,0.0,615
SPTZ,137,0.0,615
SRN,177,0.0,554
SSH,144,0.0,509
ST,82,0.0,320
STD,184,0.0,525
STM,149,0.0,94
STV,167,0.0,39
STZ,83,0.0,310
SWD,138,0.0,82
SWK,63,0.0,64
TB,139,32.38709677419355,441
TBG,89,0.0,115
TBR,144,0.1935483870967742,454
TBU,140,0.0967741935483871,454
TG,141,0.0,443
TL,99,0.0,343
TPSW,101,0.0,343
TWL,15,0.0,66
UHM,162,0.0,98
UHZ,159,0.0,98
UST,154,0.0,97
UT,89,0.0,306
UTG,136,0.0,637
UTLN,93,0.0,379
UTLR,92,0.0,379
UTO,86,0.0,306
UTT,94,0.0,379
UTVR,90,0.0,379
UTZL,91,0.0,379
VB,146,0.0,464
VD,38,0.0,66
VDL,207,0.0,544
VDM,154,0.0,95
VEM,30,0.0,66
VG,121,0.0,441
VH,147,0.0,414
VHP,61,0.0,24
VK,216,0.0,544
VL,136,0.0,442
VLB,106,0.0,389
VNDC,124,0.0,413
VNDW,123,0.0,413
VP,49,0.8387096774193549,72
VRY,113,0.0,390
VS,259,0.0,809
VSS,258,0.0,782
VST,144,0.0,499
VSV,92,0.0,99
VTN,96,0.0,384
VZ,55,0.0,136
WAD,129,0.0,464
WADN,130,0.0,464
WADT,128,0.0,464
WC,83,0.032258064516129,326
WD,105,0.0,306
WDN,44,0.0,73
WF,63,0.0,326
WFM,151,0.0,97
WH,7,36.58064516129032,0
WK,154,0.0,34
WL,78,0.0,98
WM,129,0.0,602
WP,99,0.0,318
WR,181,0.0,106
WS,159,0.0,97
WSM,143,0.0,83
WT,177,0.0,484
WTV,58,0.0,75
WV,76,0.0,14
WW,71,0.0,80
WWW,70,0.0,80
WZ,30,0.0,14
YPB,142,0.0,382
ZA,77,0.0,340
ZB,146,0.0,91
ZBM,120,0.0,386
ZD,123,0.0,599
ZDK,126,0.0,602
ZH,139,0.0,82
ZL,21,36.58064516129032,0
ZLSH,26,0.0,14
ZLW,175,0.0,795
ZP,26,35.12903225806452,66
ZTM,137,0.0,379
ZTMO,136,0.0,464
ZV,67,0.0,78
ZVB,183,0.0,800
ZVT,140,0.0,615
ZWD,162,0.0,535
ZZS,126,0.0,602
