Station Code,Distance from SDTB,Services from/to SDTB,Disruptions on path to SDTB
WF,106,0.0,349
WFM,285,0.0,485
WH,160,0.0,428
WK,288,0.0,408
WL,123,0.0,369
WM,120,0.0,289
WP,101,0.0,160
WR,315,0.0,494
WS,293,0.0,485
WSM,277,0.0,471
WT,123,0.0,502
WTV,103,0.0,351
WV,210,0.0,402
WW,162,0.0,405
WWW,163,0.0,405
WZ,146,0.0,401
YPB,57,0.0,265
ZA,76,0.0,78
ZB,280,0.0,479
ZBM,51,0.0,75
ZD,115,0.0,264
ZDK,118,0.0,267
ZH,273,0.0,470
ZL,155,0.0,388
ZLSH,160,0.0,402
ZLW,22,0.0,117
ZP,127,0.0,352
ZTM,62,0.0,262
ZTMO,63,0.0,262
ZV,112,0.0,349
ZVB,30,0.0,122
ZVT,102,0.0,243
ZWD,9,0.0,117
ZZS,118,0.0,267
