Station Code,Distance from HTN,Services from/to HTN,Disruptions on path to HTN
WD,24,35.483870967741936,73
WDN,121,0.0,386
WF,56,0.0,98
WFM,225,0.0,410
WH,104,0.0,389
WK,228,0.0,347
WL,89,0.0,375
WM,63,0.0,355
WP,41,0.0,85
WR,255,0.0,419
WS,233,0.0,410
WSM,217,0.0,396
WT,100,0.0,231
WTV,69,0.0,357
WV,150,0.0,327
WW,128,0.0,411
WWW,129,0.0,411
WZ,86,0.0,326
YPB,61,34.41935483870968,158
ZA,52,0.0,99
ZB,220,0.0,404
ZBM,27,36.935483870967744,96
ZD,57,0.0,352
ZDK,60,0.0,355
ZH,213,0.0,395
ZL,95,0.0,313
ZLSH,100,0.0,327
ZLW,82,0.0,247
ZP,90,0.0,348
ZTM,56,26.451612903225808,158
ZTMO,55,34.41935483870968,158
ZV,78,0.0,355
ZVB,90,0.0,252
ZVT,74,0.0,369
ZWD,69,0.0,247
ZZS,60,0.0,355
